tx_time,tx_slot,tx_time_ms,h_id,tbs,rv,nrtx,success,outcome,reason
2025-12-05 21:23:50.657384,678.0,6780.0,0,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:50.667432,679.0,6790.0,0,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:50.687394,681.0,6810.0,0,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:50.787373,691.0,6910.0,0,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:50.847377,697.0,6970.0,0,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:50.917361,704.0,7040.0,0,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.037421,716.0,7160.0,0,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.063887,718.13,7186.5,0,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.077448,720.0,7200.0,0,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.157389,728.0,7280.0,0,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.177431,730.0,7300.0,0,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.202384,732.1,7320.5,0,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.217332,734.0,7340.0,0,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.217945,734.1,7340.5,1,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.237427,736.0,7360.0,1,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.237860,736.1,7360.5,0,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.277417,740.0,7400.0,0,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.297391,742.0,7420.0,0,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.317335,744.0,7440.0,0,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.337415,746.0,7460.0,0,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.337858,746.1,7460.5,1,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.357340,748.0,7480.0,1,3521.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.357921,748.1,7480.5,0,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.358392,748.2,7481.0,2,4352.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.358876,748.3,7481.5,3,421.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.377427,750.0,7500.0,3,3521.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.377887,750.1,7500.5,2,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
