time,ue,rnti,h_id,slot,ack,tbs,type
2025-12-05 21:23:46.841400,0,0x4601,0,295.18,1,317.0,HARQ-ACK
2025-12-05 21:23:46.886340,0,0x4601,0,300.8,2,,HARQ-ACK
2025-12-05 21:23:46.886340,0,0x4601,0,300.8,1,177.0,HARQ-ACK
2025-12-05 21:23:46.896368,0,0x4601,0,301.8,1,15.0,HARQ-ACK
2025-12-05 21:23:46.926376,0,0x4601,0,304.9,1,26.0,HARQ-ACK
2025-12-05 21:23:46.976427,0,0x4601,0,309.8,1,63.0,HARQ-ACK
2025-12-05 21:23:46.976427,0,0x4601,1,309.8,1,10.0,HARQ-ACK
2025-12-05 21:23:47.006398,0,0x4601,1,312.8,2,,HARQ-ACK
2025-12-05 21:23:47.006398,0,0x4601,1,312.8,1,10.0,HARQ-ACK
2025-12-05 21:23:47.101351,0,0x4601,1,321.18,1,66.0,HARQ-ACK
2025-12-05 21:23:47.366364,0,0x4601,1,348.8,2,,HARQ-ACK
2025-12-05 21:23:47.366364,0,0x4601,1,348.8,1,10.0,HARQ-ACK
2025-12-05 21:23:47.391379,0,0x4601,1,350.18,1,123.0,HARQ-ACK
2025-12-05 21:23:47.391379,0,0x4601,0,350.18,1,106.0,HARQ-ACK
2025-12-05 21:23:47.426317,0,0x4601,0,354.8,2,,HARQ-ACK
2025-12-05 21:23:47.426317,0,0x4601,0,354.8,1,161.0,HARQ-ACK
2025-12-05 21:23:47.566333,0,0x4601,0,368.8,2,,HARQ-ACK
2025-12-05 21:23:47.566333,0,0x4601,0,368.8,1,161.0,HARQ-ACK
2025-12-05 21:23:47.656414,0,0x4601,0,377.8,1,161.0,HARQ-ACK
2025-12-05 21:23:47.686397,0,0x4601,0,380.8,1,161.0,HARQ-ACK
2025-12-05 21:23:47.686397,0,0x4601,1,380.8,1,161.0,HARQ-ACK
2025-12-05 21:23:47.686397,0,0x4601,0,380.8,2,,HARQ-ACK
2025-12-05 21:23:47.686397,0,0x4601,1,380.8,2,,HARQ-ACK
2025-12-05 21:23:47.706335,0,0x4601,1,382.8,2,,HARQ-ACK
2025-12-05 21:23:47.706335,0,0x4601,1,382.8,1,161.0,HARQ-ACK
