time,ue,rnti,h_id,slot,ack,tbs,type
2025-12-05 21:24:10.016411,0,0x4601,0,565.8,0,,HARQ-ACK
2025-12-05 21:24:10.016411,0,0x4601,5,565.8,1,2817.0,HARQ-ACK
2025-12-05 21:24:10.016411,0,0x4601,8,565.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:10.016411,0,0x4601,10,565.8,1,5252.0,HARQ-ACK
2025-12-05 21:23:59.776420,0,0x4601,8,565.8,1,5889.0,HARQ-ACK
2025-12-05 21:23:59.776420,0,0x4601,4,565.8,1,5889.0,HARQ-ACK
2025-12-05 21:23:59.776420,0,0x4601,15,565.8,1,5889.0,HARQ-ACK
2025-12-05 21:23:59.776420,0,0x4601,11,565.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:10.016411,0,0x4601,4,565.8,0,,HARQ-ACK
2025-12-05 21:23:59.776420,0,0x4601,9,565.8,1,3521.0,HARQ-ACK
2025-12-05 21:23:59.776420,0,0x4601,5,565.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:20.256426,0,0x4601,7,565.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:20.256426,0,0x4601,14,565.8,1,233.0,HARQ-ACK
2025-12-05 21:24:20.256426,0,0x4601,8,565.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:20.256426,0,0x4601,2,565.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:20.256426,0,0x4601,1,565.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:20.256426,0,0x4601,4,565.8,1,5889.0,HARQ-ACK
2025-12-05 21:23:59.776420,0,0x4601,0,565.8,1,2817.0,HARQ-ACK
2025-12-05 21:24:10.016411,0,0x4601,2,565.8,0,,HARQ-ACK
2025-12-05 21:24:11.921373,0,0x4601,15,755.19,1,5889.0,HARQ-ACK
2025-12-05 21:24:22.161944,0,0x4601,8,755.19,1,5889.0,HARQ-ACK
2025-12-05 21:24:01.681913,0,0x4601,7,755.19,1,5889.0,HARQ-ACK
2025-12-05 21:24:01.676374,0,0x4601,3,755.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:22.155958,0,0x4601,2,755.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:22.155958,0,0x4601,7,755.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:22.155958,0,0x4601,10,755.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:22.155958,0,0x4601,12,755.8,1,3521.0,HARQ-ACK
2025-12-05 21:24:22.155958,0,0x4601,13,755.8,1,5889.0,HARQ-ACK
2025-12-05 21:23:51.436322,0,0x4601,7,755.8,1,2817.0,HARQ-ACK
2025-12-05 21:23:51.436322,0,0x4601,8,755.8,0,,HARQ-ACK
2025-12-05 21:23:51.436322,0,0x4601,9,755.8,0,,HARQ-ACK
2025-12-05 21:23:51.436322,0,0x4601,10,755.8,1,5889.0,HARQ-ACK
2025-12-05 21:23:51.436322,0,0x4601,11,755.8,1,5889.0,HARQ-ACK
2025-12-05 21:23:51.436322,0,0x4601,12,755.8,0,,HARQ-ACK
2025-12-05 21:24:01.676374,0,0x4601,0,755.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:11.916405,0,0x4601,7,755.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:11.916405,0,0x4601,4,755.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:11.916405,0,0x4601,2,755.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:11.916405,0,0x4601,10,755.8,1,3521.0,HARQ-ACK
2025-12-05 21:24:11.916405,0,0x4601,8,755.8,1,2817.0,HARQ-ACK
2025-12-05 21:24:11.916405,0,0x4601,9,755.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:01.676374,0,0x4601,11,755.8,1,3521.0,HARQ-ACK
2025-12-05 21:24:01.676374,0,0x4601,15,755.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:01.676374,0,0x4601,2,755.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:22.155958,0,0x4601,6,755.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:01.676374,0,0x4601,1,755.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:11.916405,0,0x4601,6,755.8,1,5889.0,HARQ-ACK
2025-12-05 21:23:51.436322,0,0x4601,14,755.8,1,5889.0,HARQ-ACK
