pw,mean,std,count,median
5.0,37.55898809523809,21.489363965142445,84,32.4
10.0,35.65733766233766,20.539366658360944,77,30.0
15.0,35.94231168831169,22.18190114548093,77,26.0
20.0,32.89238961038961,21.366402383646403,77,26.0
25.0,40.549644736842104,23.04838490868226,76,45.9
30.0,39.22362337662338,23.48585605156239,77,32.8
35.0,37.29354545454545,23.85815198789529,77,36.0
40.0,31.46923684210526,22.62400676441932,76,24.0
45.0,32.60493421052632,21.58359006179496,76,28.65
50.0,32.29325,22.866759168787635,76,21.0
55.0,40.648342105263154,24.066648426707374,76,46.2
60.0,39.09713157894737,24.74515196550204,76,39.05
65.0,32.179220779220785,22.799216464851188,77,23.8
70.0,29.747223684210525,22.878003396333163,76,20.4
75.0,27.60890909090909,23.32076832950555,77,16.0
80.0,31.43641558441558,23.394964418455668,77,22.6
84.99999999999999,37.72744871794872,27.017433898473314,78,55.95
89.99999999999999,31.64307894736842,23.475177237677052,76,24.450000000000003
95.0,28.317857142857143,23.76161328128465,77,16.9
100.0,25.560657894736842,23.869048530430995,76,15.0
104.9999999999,32.81142857142857,22.450527355445214,77,29.9
109.9999999999,31.463844155844154,23.17420384714602,77,22.4
114.9999999999,30.810519480519478,23.123606353231764,77,24.0
119.9999999999,28.83959210526316,22.68685027950634,76,18.95
125.0,28.322844155844155,23.71343508661223,77,24.0
130.0,27.240714285714283,23.56428477080088,77,16.5
135.0,36.2534025974026,23.014905471786246,77,38.9
140.0,44.77154545454545,23.016923934554995,77,57.1
145.0,31.145454545454545,22.56574426014693,77,21.5
150.0,29.42746753246753,22.49436029646005,77,20.4
155.0,39.44045454545454,26.63368147494992,77,62.8
159.99999999989998,27.496276315789476,24.72169566438822,76,17.8
165.0,26.12690909090909,23.77450668046598,77,13.3
169.99999999989998,28.835558441558444,23.609606719173435,77,17.5
175.0,38.7834025974026,26.5763811431265,77,55.9
179.99999999989998,24.817102564102562,24.250475010257226,78,13.55
185.0,26.100116883116883,23.94602501568784,77,15.7
189.99999999989998,29.983493506493502,23.294274847573586,77,28.8
195.0,32.411386666666665,24.761413497122806,75,30.8
199.99999999989998,32.22373076923077,23.81471371640033,78,37.650000000000006
205.0,25.744324324324324,24.064253410291844,74,11.75
209.99999999989998,31.008566666666663,24.991475340750586,60,33.45
215.0,28.323302631578947,23.672605412456388,76,20.55
219.99999999989998,43.23757142857143,22.82652839952751,77,52.6
225.0,36.774389610389605,28.409576135315916,77,59.2
229.99999999989998,23.523274193548385,26.025542323238287,62,11.4
235.0,33.00873684210526,23.32666453331518,76,26.1
239.99999999989998,31.057605263157896,24.02939796725611,76,33.2
245.0,34.59148051948052,24.93060767178538,77,45.4
250.0,33.38410526315789,21.96060380625812,76,27.85
254.9999999999,23.779786666666666,23.874191874419047,75,9.18
260.0,24.309615384615384,24.67212698374621,78,10.5
265.0,26.165692307692307,23.441911340731014,78,19.05
270.0,28.910324675324674,23.200143935829335,77,19.1
274.9999999999,22.175038461538463,24.94844376295457,78,8.86
280.0,25.736065789473685,24.153893447550317,76,11.4
285.0,24.72088157894737,24.776878220344656,76,10.649999999999999
290.0,28.56009210526316,22.825067945676235,76,25.75
294.9999999999,22.72182051282051,23.79631354443432,78,17.35
300.0,22.884675324675325,23.903756482172177,77,9.16
305.0,24.59690789473684,24.932042071293253,76,10.2
310.0,26.76834210526316,23.390175056236828,76,17.25
314.9999999999,24.696883116883114,24.642867181405023,77,11.0
319.9999999999,23.894935064935066,24.48252557348311,77,11.5
325.0,23.11974358974359,24.141909018887816,78,9.175
330.0,36.94080519480519,24.889192208476732,77,48.9
335.0,37.376597402597405,27.82085447402236,77,60.7
339.9999999999,34.72985714285714,23.014273389580996,77,32.1
345.0,24.84268421052632,23.550425607596722,76,13.95
350.0,29.651355263157896,23.564252616030608,76,23.25
355.0,33.77905194805195,26.38118966228145,77,28.0
359.9999999999,33.701896103896104,24.838061971278346,77,38.1
365.0,33.61226923076923,22.152410249488394,78,30.6
370.0,26.50926923076923,23.716119184224464,78,16.7
375.0,29.53761842105263,23.2894795710951,76,29.05
379.9999999999,19.641520547945206,24.72063468829093,73,8.77
385.0,38.565402597402596,27.94201717573269,77,62.8
390.0,28.332623376623378,23.334574638369915,77,18.6
395.0,23.793597402597403,24.794873241447853,77,9.41
399.9999999999,33.14194805194805,22.891537677937315,77,23.6
405.0,26.45205194805195,23.727576540752445,77,18.4
410.0,27.48435064935065,23.472991764762007,77,20.8
415.0,26.728641025641025,24.104454399994452,78,17.95
419.9999999999,25.035753246753245,23.949533000147493,77,12.8
425.0,24.66496052631579,23.981538515250037,76,11.45
430.0,20.992644736842106,24.419826062554964,76,11.149999999999999
435.0,23.61820512820513,24.847252961315654,78,9.075
439.9999999999,30.718740259740258,24.1300156375517,77,29.2
445.0,40.349636363636364,20.415184645973365,77,40.9
