pw,mean,std,count
5.0,43.789884868421055,2.4296328562118767,2
10.0,41.09417613636363,0.8181948635718124,2
15.0,41.304545454545455,3.9705117137535497,2
20.0,37.94256628787879,0.3773244992411255,2
25.0,36.284375000000004,,1
30.0,51.739393939393935,,1
35.0,42.919318181818184,12.507754722670226,2
40.0,36.592424242424244,0.3449823993061618,2
45.0,36.82973484848485,3.3477756280494915,2
50.0,36.7601893939394,4.910588751862848,2
55.0,46.175757575757586,14.952094300362814,2
60.0,44.47679924242425,16.274839315093793,2
65.0,37.07178977272727,6.609560107576278,2
70.0,33.80501893939394,2.582680733936095,2
75.0,31.76666666666666,,1
80.0,36.58848484848485,6.403387590599644,2
84.99999999999999,44.09484848484848,22.420427558385818,2
89.99999999999999,35.721875,7.795852262581689,2
95.0,32.94742424242424,1.4984235517689501,2
100.0,29.362230113636365,3.0758542333789918,2
104.9999999999,38.02333333333333,0.6312535082956257,2
109.9999999999,36.70954545454545,5.25466048334476,2
114.9999999999,35.65510416666666,5.5745057722666935,2
119.9999999999,32.4875,,1
125.0,29.958181818181814,,1
130.0,31.61272727272727,1.2076526723537528,2
135.0,41.60875946969697,12.488403031404795,2
140.0,51.811505681818176,1.1990682888927535,2
145.0,36.41121212121212,1.7300545913030905,2
150.0,34.32878787878788,0.9578082763345058,2
155.0,45.597575757575754,20.60380595508293,2
159.99999999989998,31.521178977272726,4.18131122680785,2
165.0,31.47454545454545,,1
169.99999999989998,35.357575757575766,,1
175.0,44.650606060606066,18.546339496612255,2
179.99999999989998,29.55712121212121,2.07482271582707,2
185.0,30.290662878787877,1.3054423260701173,2
189.99999999989998,34.584554924242425,9.848484146279477,2
195.0,30.616060606060604,,1
199.99999999989998,45.86060606060607,,1
205.0,29.230757575757572,1.0977297090965683,2
209.99999999989998,27.815624999999997,20.302803454818747,2
215.0,36.78484848484848,,1
219.99999999989998,59.94848484848484,,1
225.0,42.35621212121212,24.883516179518956,2
229.99999999989998,21.815142045454547,11.859265486583178,2
235.0,37.72727272727272,9.410948433246412,2
239.99999999989998,35.31085700757576,16.693793386859877,2
245.0,40.19621212121212,14.168919971503168,2
250.0,38.54333333333333,2.2597418528464583,2
254.9999999999,25.600625,,1
260.0,28.82242424242424,0.6621090769292225,2
265.0,30.88212121212121,5.784990569234669,2
270.0,33.87863636363636,0.4313351365237911,2
274.9999999999,26.435454545454547,2.7041477510831013,2
280.0,30.00484848484848,,1
285.0,29.637807765151514,1.0359047383513513,2
290.0,32.91530303030303,8.62220296005015,2
294.9999999999,34.08787878787879,,1
300.0,26.557447916666668,0.16138239141455746,2
305.0,28.924848484848486,1.2599357192051157,2
310.0,31.208939393939396,3.408468960101338,2
314.9999999999,29.629090909090905,,1
319.9999999999,27.9710606060606,2.982062143567627,2
325.0,27.526515151515152,1.3822866198286103,2
330.0,42.41257575757576,17.252762636605233,2
335.0,43.09030303030303,23.69107701669983,2
339.9999999999,40.25454545454545,9.766644571661459,2
345.0,28.47743371212121,4.167416846401011,2
350.0,34.819848484848485,0.7493189132755644,2
355.0,38.95818181818182,17.376399185921787,2
359.9999999999,38.983030303030304,13.733299339335817,2
365.0,39.56651515151515,1.3844293676503885,2
370.0,31.990909090909092,1.1827967976211298,2
375.0,33.970757575757574,9.33659508383074,2
379.9999999999,22.327904911180774,7.650858428510481,2
385.0,44.41378787878787,22.115085993782536,2
390.0,32.999848484848485,3.4971787199229265,2
395.0,27.705909090909092,1.1937248115121986,2
399.9999999999,38.415151515151514,7.4010509764191985,2
405.0,27.65090909090909,,1
410.0,32.00969696969697,6.063119236501377,2
415.0,31.82712121212121,3.5957451197246835,2
419.9999999999,29.32,3.1678383797157372,2
425.0,28.406666666666666,2.763716140528512,2
430.0,23.171060606060607,9.319453101256515,2
435.0,27.918030303030307,1.2305800740467705,2
439.9999999999,35.636818181818185,10.601673397808122,2
445.0,46.25969696969697,0.6226825170085137,2
450.0,36.25181818181818,4.983602883889918,2
455.0,34.094545454545454,2.153461560886297,2
459.9999999999,38.66681818181818,14.150492340235884,2
464.9999999999,36.87166666666667,14.915024763046066,2
470.0,36.35499999999999,4.670547427128231,2
475.0,36.36151515151515,,1
479.9999999999,34.626060606060605,7.295627783587746,2
484.9999999999,35.04924242424242,19.32651397852141,2
490.0,46.20454545454545,0.5978266422758982,2
495.0,34.964090909090906,7.111565745697071,2
500.0,26.528787878787877,0.1319932658214894,2
505.0,33.60106060606061,8.877618500406014,2
509.99999999989996,28.029545454545453,1.0540176535323122,2
514.9999999999,32.36090909090909,4.685332387098495,2
520.0,29.84409090909091,5.062241728949146,2
