ID,time,Transfer,Bitrate,Retr,Cwnd
6,2025-07-30 15:28:20.870942,7.21,60.5,0,949.0
6,2025-07-30 15:28:21.870942,7.12,59.8,0,1.25
6,2025-07-30 15:28:22.870942,7.12,59.8,0,1.59
6,2025-07-30 15:28:23.870942,6.5,54.5,17,1.26
6,2025-07-30 15:28:24.870942,6.38,53.5,0,1.38
6,2025-07-30 15:28:25.870942,6.12,51.4,0,1.5
6,2025-07-30 15:28:26.870942,6.62,55.6,0,1.59
6,2025-07-30 15:28:27.870942,5.12,43.0,117,1.27
6,2025-07-30 15:28:28.870942,6.75,56.6,0,1.21
6,2025-07-30 15:28:29.870942,6.25,52.4,0,1.29
6,2025-07-30 15:28:30.870942,5.38,45.1,0,1.33
6,2025-07-30 15:28:31.870942,6.25,52.4,0,1.37
6,2025-07-30 15:28:32.870942,6.38,53.5,0,1.39
6,2025-07-30 15:28:33.870942,6.12,51.4,0,1.41
6,2025-07-30 15:28:34.870942,6.12,51.4,0,1.41
6,2025-07-30 15:28:35.870942,6.12,51.4,0,1.41
6,2025-07-30 15:28:36.870942,6.0,50.3,0,1.41
6,2025-07-30 15:28:37.870942,6.25,52.4,0,1.41
6,2025-07-30 15:28:38.870942,6.25,52.4,0,1.42
6,2025-07-30 15:28:39.870942,6.12,51.4,0,1.44
6,2025-07-30 15:28:40.870942,6.0,50.3,0,1.46
6,2025-07-30 15:28:41.870942,6.38,53.5,0,1.51
6,2025-07-30 15:28:42.870942,6.25,52.4,0,1.57
6,2025-07-30 15:28:43.870942,5.88,49.3,0,1.64
6,2025-07-30 15:28:44.870942,6.0,50.3,0,1.75
6,2025-07-30 15:28:45.870942,6.25,52.4,0,1.88
6,2025-07-30 15:28:46.870942,5.75,48.2,102,1.37
6,2025-07-30 15:28:47.870942,7.0,58.7,0,1.51
6,2025-07-30 15:28:48.870942,6.5,54.5,0,1.63
6,2025-07-30 15:28:49.870942,6.62,55.6,0,1.71
6,2025-07-30 15:28:50.870942,6.62,55.6,0,1.78
6,2025-07-30 15:28:51.870942,6.62,55.6,0,1.82
6,2025-07-30 15:28:52.870942,1.88,55.4,0,1.83
