time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ul_olla,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_ul_olla
2025-07-30 19:18:03.850907,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,15usec,44usec,116.16,58Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,58Mbps,1399,1,0%,1.48M,69016,0.006000005,32.5,-3.8,1,27,1.6Mbps,100,0,0%,1664,2.01k,0,0,0,0,0,0,178ns,n/a,19,4.49ms,4.5ms,4.46ms,4.05ms,4.5ms,3.96ms,0
2025-07-30 19:18:04.850864,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,15usec,43usec,200.16,58Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,58Mbps,1400,0,0%,1.84M,69006,0.006000005,32.0,-3.8,1,27,1.6Mbps,99,1,1%,1682,2.01k,0,0,0,0,0,0,206ns,n/a,19,4.5ms,4.5ms,4.43ms,4.03ms,4.5ms,3.96ms,-0.09700001
2025-07-30 19:18:05.850838,metric,51,1400,600,0,0,49,2,0.999,0.167,0,0,1,19usec,1113usec,328.15,53Mbps,1.6Mbps,5ms,5ms,5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ms,,,metric,,,,,,,,,,,,,,,,,,5ms,,5ms,,,,4601,1,15,1.0,26,53Mbps,1328,71,5%,2.13M,68944,-0.11600137,31.3,-4.8,1,27,1.6Mbps,98,2,2%,1669,2.01k,0,11,5,1,2,0,216ns,n/a,19,4.5ms,5ms,4.45ms,4.08ms,5ms,3.97ms,-0.29500005
2025-07-30 19:18:06.850907,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,16usec,71usec,419.6,58Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,58Mbps,1399,1,0%,2.49M,68960,0.0009986926,32.2,-3.8,1,27,1.6Mbps,99,1,1%,1664,2.01k,0,0,0,0,0,0,221ns,n/a,19,4.49ms,4.5ms,4.42ms,4.06ms,4.5ms,3.95ms,-0.39400005
2025-07-30 19:18:07.850859,metric,51,1397,599,0,4,47,5,0.974,0.275,0,0,1,16usec,40usec,487.16,48Mbps,1.0Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,15,1.0,26,48Mbps,1181,180,13%,1.24M,67055,-1.2789984,20.9,-4.4,1,21,1.0Mbps,93,71,43%,3127,5.45k,3,0,1,0,25,2,225ns,n/a,20,4.5ms,4.5ms,4.39ms,4.01ms,4.5ms,3.96ms,-5
2025-07-30 19:18:08.850892,metric,51,1400,600,0,0,33,16,0.7,0.66,0,0,1,14usec,56usec,668.6,30Mbps,143kbps,5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,5ms,,4ms,,,,4601,1,14,1.0,22,30Mbps,895,85,8%,491k,47380,-1.1869564,12.9,-5.3,1,13,143kbps,109,286,72%,10033,10.6k,5,0,0,0,15,0,227ns,n/a,24,4.47ms,4.5ms,4.46ms,4.07ms,4.5ms,3.99ms,-4.998
2025-07-30 19:18:09.851055,metric,51,1400,600,0,0,38,26,0.815,0.923,0,0,1,16usec,50usec,754.6,34Mbps,383kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,15,1.0,23,34Mbps,997,144,12%,723k,54298,-1.4749079,4.9,-5.2,1,3,384kbps,363,191,34%,15684,2.01k,1,0,0,0,16,1,211ns,n/a,21,4.46ms,4.5ms,4.41ms,4.05ms,4.5ms,4ms,-5
2025-07-30 19:18:10.850868,metric,51,1400,600,0,0,28,24,0.606,0.945,0,0,1,15usec,47usec,809.6,21Mbps,213kbps,5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,5ms,,4ms,,,,4601,1,12,1.0,18,21Mbps,827,30,3%,0,39797,-0.9738738,12.2,-5.0,1,11,213kbps,179,388,68%,14976,20.5k,1,0,0,0,6,1,167ns,n/a,24,4.49ms,4.5ms,4.47ms,4.04ms,4.5ms,3.97ms,-4.998
2025-07-30 19:18:11.850940,metric,51,1400,600,0,0,25,27,0.546,0.97,0,0,1,14usec,43usec,941.16,18Mbps,335kbps,5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ms,,,metric,,,,,,,,,,,,,,,,,,5ms,,4ms,,,,4601,1,12,1.0,19,18Mbps,653,103,13%,45.2k,35712,-1.3088714,9.4,-5.1,1,8,336kbps,306,276,47%,16597,14.7k,0,0,0,0,17,0,179ns,n/a,19,4.46ms,4.5ms,4.45ms,4.06ms,5ms,4ms,-5
2025-07-30 19:18:12.850828,metric,51,1400,600,0,0,40,28,0.851,1,0,0,1,16usec,65usec,979.6,24Mbps,356kbps,5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,5ms,,n/a,,,,4601,1,12,1.0,17,24Mbps,974,219,18%,3.5k,56850,-2.1808794,6.0,-5.3,1,6,357kbps,324,276,46%,16840,20.5k,0,0,0,0,45,10,187ns,n/a,24,4.47ms,4.5ms,4.46ms,4.06ms,4.5ms,n/a,-4.997
