time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ul_olla,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_ul_olla
2025-07-31 00:39:06.019602,metric,51,561,243,0,0,0,0,0,0,0,0,0,1usec,248usec,159.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-31 00:39:07.019663,metric,51,1400,600,2,0,0,0,0.0879,0.02,0,0,1,5usec,34usec,249.17,2.0kbps,8.0kbps,4.5ms,4.5ms,4.5ms,0x4601,246.8,ue_create,0x4602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,2,2.8kbps,4,88,95%,11,315,0,-7.0,-39.4,1,25,8.6kbps,2,5,71%,60,0,3,51,6,24,0,0,-10ns,n/a,21,4.5ms,4.5ms,4.5ms,n/a,n/a,4.02ms,
2025-07-31 00:39:08.019562,metric,51,1400,600,0,0,0,0,0.254,0,0,0,0,6usec,47usec,315.5,,,,,,0x4601,335.12,ue_rem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-31 00:39:09.019610,metric,51,1400,600,1,0,0,0,0.00714,0.0133,0,0,1,4usec,22usec,406.9,5.0kbps,42kbps,4.5ms,5ms,4.5ms,0x4603,407.7,ue_create,0x4603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,15,1.0,5,5.6kbps,10,0,0%,0,65,0,29.0,-3.4,1,25,43kbps,7,0,0%,77,0,6,0,0,0,0,0,193ns,n/a,25,4.57ms,5ms,4.5ms,n/a,n/a,4.06ms,0
2025-07-31 00:39:10.019812,metric,51,1400,600,0,0,0,0,0.00571,0.00833,0,0,1,5usec,43usec,516.18,7.0kbps,25kbps,4.5ms,4.5ms,4ms,0x4603,579.18,ue_reconf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4603,1,14,1.0,13,7.1kbps,7,0,0%,3,57,0.004,31.4,-3.4,1,27,25kbps,5,0,0%,29,0,4,0,0,0,0,0,231ns,n/a,24,4.4ms,4.5ms,4.4ms,4ms,4ms,4ms,0
2025-07-31 00:39:11.019610,metric,51,1392,597,0,4,0,1,0.0115,0.102,0,0,1,12usec,7662usec,629.10,22kbps,924kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4603,1,13,1.0,22,22kbps,15,2,11%,0,32,6.9849193e-10,32.2,-3.7,1,27,924kbps,61,0,0%,957,2.01k,5,0,0,0,0,0,237ns,n/a,19,4.5ms,4.5ms,4.46ms,4.21ms,4.5ms,4ms,0
2025-07-31 00:39:12.019658,metric,51,1400,600,0,0,0,2,0.00786,0.167,0,0,1,9usec,26usec,721.17,20kbps,1.6Mbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,4603,1,15,1.0,27,21kbps,11,0,0%,0,22,6.9849193e-10,32.2,-3.8,1,27,1.6Mbps,100,0,0%,1668,2.01k,2,0,0,0,0,0,239ns,n/a,19,4.5ms,4.5ms,4.48ms,4.18ms,4.5ms,n/a,0
2025-07-31 00:39:13.019621,metric,51,1400,600,0,0,7,2,0.169,0.167,0,0,1,10usec,43usec,898.6,8.4Mbps,1.6Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4603,1,15,1.0,27,8.4Mbps,227,0,0%,513k,10350,6.9849193e-10,32.3,-3.7,1,27,1.6Mbps,100,0,0%,1664,2.01k,16,0,0,0,0,0,163ns,n/a,19,4.5ms,4.5ms,4.46ms,4.09ms,4.5ms,3.96ms,0
2025-07-31 00:39:14.019728,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,15usec,74usec,906.6,58Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,15,1.0,27,58Mbps,1400,0,0%,965k,69016,6.9849193e-10,32.2,-3.6,1,27,1.6Mbps,100,0,0%,1668,2.01k,50,0,0,0,0,0,177ns,n/a,19,4.5ms,4.5ms,4.41ms,4.02ms,4.5ms,3.96ms,0
2025-07-31 00:39:15.019616,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,15usec,48usec,44.16,58Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,15,1.0,27,58Mbps,1399,1,0%,1.33M,69016,0.009000002,32.3,-3.7,1,27,1.6Mbps,100,0,0%,1668,2.01k,50,0,0,0,0,0,199ns,n/a,19,4.5ms,4.5ms,4.41ms,4.03ms,4.5ms,3.96ms,0
