time,log_type,rnti,format,prb1,prb2,symb,cs,occ,ack,metric,sinr,t,bwp,n_id,slot,cp,ports,status,epre,rsrp,t_align,cfo,sr,prb,csi1,n_id0
2025-07-30 19:01:40.050142,PHY,0x4601,1,0,50,"[0,",0,0,1,1603.7,+20.4dB,20.9us,"[0,",1,263.17,normal,0,valid,-16.3dB,-16.0dB,na,na,,,,
2025-07-30 19:01:40.055091,PHY,0x4601,1,4,na,"[0,",0,0,,0.3,-16.6dB,18.2us,"[0,",1,264.7,normal,0,invalid,-43.6dB,-61.2dB,na,na,no,,,
2025-07-30 19:01:40.055356,CSI,0x4601,2,,na,"[4,",,,,,+32.8dB,26.3us,"[0,",1,264.8,normal,0,valid,-12.6dB,-12.6dB,0.11us,-59.0Hz,,"[7,",0001,1
2025-07-30 19:01:40.075163,PHY,0x4601,1,4,na,"[0,",0,0,,2816.9,+20.2dB,16.1us,"[0,",1,266.7,normal,0,valid,-14.2dB,-14.2dB,na,na,yes,,,
2025-07-30 19:01:40.075297,CSI,0x4601,2,,na,"[4,",,,,,+31.9dB,15.3us,"[0,",1,266.8,normal,0,valid,-12.5dB,-12.5dB,0.14us,-12.9Hz,,"[7,",1111,1
2025-07-30 19:01:40.095120,PHY,0x4601,1,4,na,"[0,",0,0,2,0.2,-27.6dB,21.3us,"[0,",1,268.7,normal,0,invalid,-43.3dB,-71.8dB,na,na,,,,
2025-07-30 19:01:40.095142,PHY,0x4601,1,0,na,"[0,",0,0,1,371.7,+11.4dB,11.8us,"[0,",1,268.7,normal,0,valid,-14.4dB,-14.7dB,na,na,,,,
2025-07-30 19:01:40.095401,CSI,0x4601,2,,na,"[4,",,,,,+29.5dB,23.2us,"[0,",1,268.8,normal,0,valid,-12.6dB,-12.8dB,0.43us,-34.9Hz,,"[7,",1111,1
2025-07-30 19:01:40.100658,PHY,0x4601,1,0,na,"[0,",0,0,1,272.7,+10.1dB,17.9us,"[0,",1,268.18,normal,0,valid,-14.5dB,-14.9dB,na,na,,,,
2025-07-30 19:01:40.115071,PHY,0x4601,1,4,na,"[0,",0,0,,286.8,+10.3dB,16.5us,"[0,",1,270.7,normal,0,valid,-14.2dB,-14.6dB,na,na,yes,,,
2025-07-30 19:01:40.115349,CSI,0x4601,2,,na,"[4,",,,,,+29.9dB,17.1us,"[0,",1,270.8,normal,0,valid,-12.5dB,-12.7dB,0.45us,-114.1Hz,,"[7,",1111,1
2025-07-30 19:01:40.135143,PHY,0x4601,1,4,na,"[0,",0,0,2,0.2,-24.4dB,21.1us,"[0,",1,272.7,normal,0,invalid,-43.7dB,-68.5dB,na,na,,,,
2025-07-30 19:01:40.135171,PHY,0x4601,1,0,na,"[0,",0,0,1,284.1,+10.3dB,23.7us,"[0,",1,272.7,normal,0,valid,-14.4dB,-14.8dB,na,na,,,,
2025-07-30 19:01:40.135375,CSI,0x4601,2,,na,"[4,",,,,,+27.2dB,15.6us,"[0,",1,272.8,normal,0,valid,-12.5dB,-12.7dB,0.45us,-92.0Hz,,"[7,",1111,1
2025-07-30 19:01:40.136090,PHY,0x4601,1,0,na,"[0,",0,0,1,272.8,+10.1dB,19.4us,"[0,",1,272.9,normal,0,valid,-14.4dB,-14.9dB,na,na,,,,
2025-07-30 19:01:40.155086,PHY,0x4601,1,4,na,"[0,",0,0,,281.1,+10.2dB,15.9us,"[0,",1,274.7,normal,0,valid,-14.2dB,-14.7dB,na,na,yes,,,
2025-07-30 19:01:40.155351,CSI,0x4601,2,,na,"[4,",,,,,+29.5dB,12.4us,"[0,",1,274.8,normal,0,valid,-12.6dB,-12.8dB,0.44us,-71.7Hz,,"[7,",1111,1
2025-07-30 19:01:40.175416,CSI,0x4601,2,,na,"[4,",,,,,+27.7dB,13.8us,"[0,",1,276.8,normal,0,valid,-12.5dB,-12.7dB,0.46us,+3.3Hz,,"[7,",1111,1
2025-07-30 19:01:40.184731,PHY,0x4601,2,,na,"[0,",,,111,,+27.9dB,25.0us,"[0,",1,277.7,normal,0,valid,-13.8dB,-14.0dB,0.47us,+90.7Hz,,"[6,",,1
2025-07-30 19:01:40.195109,PHY,0x4601,1,4,na,"[0,",0,0,,291.1,+10.4dB,17.1us,"[0,",1,278.7,normal,0,valid,-14.3dB,-14.7dB,na,na,yes,,,
2025-07-30 19:01:40.195379,CSI,0x4601,2,,na,"[4,",,,,,+26.8dB,14.2us,"[0,",1,278.8,normal,0,valid,-12.6dB,-12.8dB,0.47us,-122.3Hz,,"[7,",1111,1
