time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,events,slot,type,rnti,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_events,ue_slot,ue_type,ue_rnti,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-07-30 19:39:57.713588,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,15usec,51usec,84.14,,,,,58Mbps,1.6Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4602,,,4.5ms,,4ms,1,15,1.0,27,58Mbps,1399,1,0%,883k,68988,0.012000001,32.3,-3.7,1,27,1.6Mbps,99,1,1%,1669,1.53k,20,0,0,0,0,0,-0.099000014,236ns,n/a,19,4.5ms,4.5ms,4.44ms,4.03ms,4.5ms,4ms
2025-07-30 19:39:58.713664,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,15usec,42usec,210.14,,,,,58Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4602,,,4.5ms,,4.5ms,1,15,1.0,27,58Mbps,1399,1,0%,1.26M,69006,0.012000001,32.3,-3.7,1,27,1.6Mbps,100,0,0%,1664,2.01k,27,0,0,0,0,0,-0.099000014,222ns,n/a,19,4.5ms,4.5ms,4.43ms,4.07ms,4.5ms,4ms
2025-07-30 19:39:59.713625,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,15usec,45usec,374.6,,,,,58Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4602,,,4.5ms,,4.5ms,1,15,1.0,27,58Mbps,1400,0,0%,1.62M,69016,0.012000001,32.6,-3.8,1,27,1.6Mbps,100,0,0%,1669,2.01k,31,0,0,0,0,0,-0.099000014,169ns,n/a,19,4.5ms,4.5ms,4.43ms,4.05ms,4.5ms,4ms
2025-07-30 19:40:00.713586,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,15usec,51usec,386.17,,,,,58Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4602,,,4.5ms,,4.5ms,1,15,1.0,27,58Mbps,1400,0,0%,1.98M,69016,0.012000001,31.9,-3.8,1,27,1.6Mbps,99,1,1%,1683,2.01k,49,0,0,0,0,0,-0.19500002,176ns,n/a,19,4.5ms,4.5ms,4.45ms,4.05ms,4.5ms,4ms
2025-07-30 19:40:01.713759,metric,51,1400,600,0,18,48,4,0.996,0.235,0,0,1,18usec,671usec,571.16,,,,,52Mbps,1.4Mbps,11.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5ms,,metric,,,,,,,,,,,,,,,,,,,4602,,,11.5ms,,4.5ms,1,15,1.0,26,52Mbps,1260,98,7%,2.35M,68398,-0.67300195,31.6,-4.3,1,20,1.4Mbps,102,31,23%,2701,2.01k,42,14,6,0,32,0,-0.5880001,193ns,n/a,23,4.48ms,4.5ms,4.66ms,4.22ms,11.5ms,3.98ms
2025-07-30 19:40:02.713617,metric,51,1400,600,0,0,49,2,1,0.208,0,0,1,16usec,142usec,580.6,,,,,57Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4602,,,4.5ms,,4.5ms,1,15,1.0,26,57Mbps,1396,4,0%,2.44M,68964,0.011992465,32.1,-3.9,1,27,1.6Mbps,126,0,0%,1650,2.01k,47,0,0,0,0,0,-0.5880001,215ns,n/a,19,4.49ms,4.5ms,4.41ms,4.05ms,4.5ms,3.99ms
2025-07-30 19:40:03.713692,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,16usec,50usec,738.16,,,,,58Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4602,,,4.5ms,,4.5ms,1,15,1.0,27,58Mbps,1400,0,0%,2.45M,69016,0.011992465,32.4,-3.6,1,27,1.6Mbps,100,0,0%,1668,2.01k,18,0,0,0,0,0,-0.5880001,221ns,n/a,19,4.49ms,4.5ms,4.47ms,4.12ms,4.5ms,3.99ms
2025-07-30 19:40:04.713632,metric,51,1400,600,0,0,41,5,0.835,0.442,0,0,1,14usec,42usec,807.16,,,,,39Mbps,465kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4602,,,4.5ms,,4.5ms,1,15,1.0,25,39Mbps,972,206,17%,0,57404,,13.5,-7.2,1,21,465kbps,39,223,85%,3528,2.01k,8,0,14,0,4,27,-5,201ns,n/a,19,4.5ms,4.5ms,4.46ms,4.04ms,4.5ms,4ms
2025-07-30 19:40:05.713726,metric,51,1400,600,2,0,37,18,0.766,0.733,0,0,1,15usec,46usec,967.6,0x4603,886.8,ue_create,0x4603,33Mbps,248kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,4.5ms,,4.5ms,1,13,1.0,22,33Mbps,942,115,10%,1.17M,51894,0.13400096,-0.1,-5.0,1,2,248kbps,236,137,36%,10857,7.59k,10,1,1,5,16,0,-4.9070067,245ns,n/a,19,4.5ms,4.5ms,4.43ms,4.04ms,4.5ms,3.98ms
2025-07-30 19:40:06.713568,metric,51,1400,600,0,0,49,27,1,0.903,0,0,1,17usec,43usec,24.13,,,,,32Mbps,382kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,4.5ms,,4ms,1,13,1.0,20,32Mbps,1037,363,25%,570k,68750,-1.3709832,-0.9,-5.2,1,0,383kbps,389,153,28%,16330,14.7k,5,0,0,0,45,0,-4.998,221ns,n/a,19,4.49ms,4.5ms,4.43ms,4.04ms,4.5ms,3.98ms
