time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,events,slot,type,rnti,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_events,ue_slot,ue_type,ue_rnti,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-07-30 19:40:20.713726,metric,51,1400,600,0,0,31,30,0.666,1,0,0,1,15usec,144usec,391.8,,,,,16Mbps,335kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,4.5ms,,n/a,1,12,1.0,14,16Mbps,818,122,12%,0,44131,-3.6661465,1.9,-5.4,1,2,336kbps,300,300,50%,18340,28.6k,0,0,0,0,24,39,-4.998,184ns,n/a,24,4.48ms,4.5ms,4.44ms,4.05ms,4.5ms,n/a
2025-07-30 19:40:21.713607,metric,51,1400,600,0,0,27,28,0.579,1,0,0,1,15usec,66usec,495.6,,,,,10Mbps,204kbps,5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,5ms,,n/a,1,11,1.0,10,10Mbps,761,41,5%,196k,38151,-3.348199,3.2,-5.5,1,6,205kbps,238,362,60%,17020,39.8k,0,0,0,0,6,47,-4.999,201ns,n/a,19,4.44ms,4.5ms,4.44ms,4.04ms,5ms,n/a
2025-07-30 19:40:22.713629,metric,51,1400,600,0,0,20,28,0.444,1,0,0,1,14usec,57usec,602.12,,,,,12Mbps,233kbps,5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,5ms,,n/a,1,12,1.0,14,12Mbps,615,16,2%,0,28328,-2.9432397,4.4,-5.4,1,6,234kbps,241,359,59%,17080,28.6k,0,0,0,0,1,30,-4.998,205ns,n/a,19,4.5ms,4.5ms,4.46ms,4.06ms,4.5ms,n/a
2025-07-30 19:40:23.713551,metric,51,1400,600,0,0,28,29,0.602,1,0,0,1,15usec,47usec,635.2,,,,,16Mbps,333kbps,5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,5ms,,n/a,1,12,1.0,15,16Mbps,775,59,7%,129k,39656,-2.605292,0.7,-5.2,1,2,334kbps,309,291,48%,17600,28.6k,0,0,0,0,10,0,-4.86501,219ns,n/a,24,4.47ms,4.5ms,4.45ms,4.05ms,4.5ms,n/a
2025-07-30 19:40:24.713702,metric,51,1400,600,0,0,49,10,1,0.528,0,0,1,16usec,67usec,760.6,,,,,31Mbps,1.5Mbps,5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,5ms,,4ms,1,12,1.0,15,31Mbps,1322,78,5%,1.22M,68912,-1.8913673,14.3,-4.6,1,13,1.5Mbps,277,42,13%,6581,2.01k,26,0,0,0,14,0,-4.997,230ns,n/a,23,4.44ms,4.5ms,4.37ms,4.04ms,4.5ms,3.99ms
2025-07-30 19:40:25.713640,metric,51,1400,600,0,0,49,2,1,0.198,0,0,1,15usec,42usec,910.6,,,,,38Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,4.5ms,,4.5ms,1,12,1.0,18,38Mbps,1389,11,0%,912k,68925,-0.69432724,31.5,-4.6,1,27,1.6Mbps,119,1,0%,1694,2.01k,48,0,1,1,1,0,-4.999,235ns,n/a,19,4.48ms,4.5ms,4.38ms,4.03ms,4.5ms,3.97ms
2025-07-30 19:40:26.713575,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,15usec,42usec,963.11,,,,,43Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,4.5ms,,4.5ms,1,12,1.0,20,43Mbps,1400,0,0%,1.29M,69006,0.55566376,32.3,-4.3,1,27,1.6Mbps,100,0,0%,1668,2.01k,50,0,0,0,0,0,-4.999,216ns,n/a,19,4.49ms,4.5ms,4.41ms,4.05ms,4.5ms,3.96ms
2025-07-30 19:40:27.713593,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,15usec,42usec,93.10,,,,,55Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,4.5ms,,4.5ms,1,14,1.0,25,55Mbps,1400,0,0%,1.33M,69016,0.99965805,32.4,-4.3,1,27,1.6Mbps,100,0,0%,1668,2.01k,50,0,0,0,0,0,-4.999,170ns,n/a,19,4.5ms,4.5ms,4.43ms,4.04ms,4.5ms,3.96ms
2025-07-30 19:40:28.713559,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,15usec,45usec,110.3,,,,,58Mbps,1.6Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,4.5ms,,4ms,1,15,1.0,27,58Mbps,1396,4,0%,1.39M,68988,0.96365803,32.4,-4.3,1,27,1.6Mbps,100,0,0%,1664,2.01k,48,0,0,0,0,0,-4.999,176ns,n/a,19,4.5ms,4.5ms,4.45ms,4.03ms,4.5ms,3.96ms
2025-07-30 19:40:29.713579,metric,51,1400,600,0,0,38,2,0.786,0.168,0,0,1,14usec,53usec,249.16,,,,,46Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,4.5ms,,4.5ms,1,15,1.0,27,46Mbps,1110,0,0%,0,54027,0.96365803,32.4,-4.3,1,27,1.6Mbps,101,0,0%,1668,2.01k,39,0,0,0,0,0,-4.999,189ns,n/a,19,4.49ms,4.5ms,4.44ms,4.04ms,4.5ms,3.96ms
2025-07-30 19:40:30.713568,metric,51,1400,600,0,0,0,0,0.015,0.103,0,0,0,8usec,33usec,339.3,0x4603,361.5,ue_reconf,0x4603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30 19:40:31.713568,metric,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,19usec,432.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
