time,log_type,rnti,format,prb1,prb2,symb,cs,occ,ack,metric,sinr,t,bwp,n_id,slot,cp,ports,status,epre,rsrp,t_align,cfo,sr,prb,csi1,n_id0
2025-07-30 16:21:47.984165,PHY,0x4601,1,0,50,"[0,",0,0,1,5855.2,+26.0dB,20.1us,"[0,",1,455.17,normal,0,valid,-15.9dB,-15.6dB,na,na,,,,
2025-07-30 16:21:47.989118,PHY,0x4601,1,4,na,"[0,",0,0,,0.2,-25.6dB,16.5us,"[0,",1,456.7,normal,0,invalid,-43.7dB,-69.7dB,na,na,no,,,
2025-07-30 16:21:47.989374,CSI,0x4601,2,,na,"[4,",,,,,+31.7dB,24.2us,"[0,",1,456.8,normal,0,valid,-12.2dB,-12.1dB,-0.04us,-15.0Hz,,"[7,",0001,1
2025-07-30 16:21:48.009180,PHY,0x4601,1,4,na,"[0,",0,0,,9326.5,+25.4dB,16.4us,"[0,",1,458.7,normal,0,valid,-13.8dB,-13.8dB,na,na,yes,,,
2025-07-30 16:21:48.009314,CSI,0x4601,2,,na,"[4,",,,,,+32.2dB,14.6us,"[0,",1,458.8,normal,0,valid,-12.2dB,-12.2dB,-0.04us,-140.5Hz,,"[7,",1111,1
2025-07-30 16:21:48.029150,PHY,0x4601,1,4,na,"[0,",0,0,2,0.1,-22.6dB,21.6us,"[0,",1,460.7,normal,0,invalid,-43.8dB,-67.2dB,na,na,,,,
2025-07-30 16:21:48.029169,PHY,0x4601,1,0,na,"[0,",0,0,1,1306.5,+16.9dB,11.8us,"[0,",1,460.7,normal,0,valid,-14.0dB,-14.1dB,na,na,,,,
2025-07-30 16:21:48.029440,CSI,0x4601,2,,na,"[4,",,,,,+31.1dB,23.3us,"[0,",1,460.8,normal,0,valid,-12.1dB,-12.1dB,0.21us,-132.8Hz,,"[7,",1111,1
2025-07-30 16:21:48.039159,PHY,0x4601,1,0,na,"[0,",0,0,1,1206.4,+16.6dB,15.6us,"[0,",1,461.7,normal,0,valid,-14.0dB,-14.1dB,na,na,,,,
2025-07-30 16:21:48.049097,PHY,0x4601,1,4,na,"[0,",0,0,,1290.9,+16.8dB,16.0us,"[0,",1,462.7,normal,0,valid,-13.8dB,-14.0dB,na,na,yes,,,
