ID,time,Transfer,Bitrate,Retr,Cwnd
6,2025-07-30 22:27:43.672547,7.21,60.5,0,831.0
6,2025-07-30 22:27:44.672547,7.12,59.8,0,1.14
6,2025-07-30 22:27:45.672547,7.12,59.8,0,1.47
6,2025-07-30 22:27:46.672547,7.0,58.7,0,1.8
6,2025-07-30 22:27:47.672547,6.5,54.5,0,2.13
6,2025-07-30 22:27:48.672547,6.0,50.3,0,2.43
6,2025-07-30 22:27:49.672547,6.62,55.6,0,2.51
6,2025-07-30 22:27:50.672547,3.5,29.4,0,2.51
6,2025-07-30 22:27:51.672547,768.0,6.29,0,2.51
6,2025-07-30 22:27:52.672547,1.25,10.5,0,2.51
6,2025-07-30 22:27:53.672547,640.0,5.24,0,2.51
6,2025-07-30 22:27:54.672547,768.0,6.29,0,2.51
6,2025-07-30 22:27:55.672547,1.12,9.44,0,2.51
6,2025-07-30 22:27:56.672547,640.0,5.24,0,2.51
6,2025-07-30 22:27:57.672547,512.0,4.19,0,2.51
6,2025-07-30 22:27:58.672547,1.12,9.44,0,2.51
6,2025-07-30 22:27:59.672547,768.0,6.29,0,2.51
6,2025-07-30 22:28:00.672547,1.25,10.5,0,2.51
6,2025-07-30 22:28:01.672547,1.12,9.44,0,2.51
6,2025-07-30 22:28:02.672547,768.0,6.29,0,2.51
6,2025-07-30 22:28:03.672547,640.0,5.24,0,2.51
6,2025-07-30 22:28:04.672547,768.0,6.29,0,2.51
6,2025-07-30 22:28:05.672547,512.0,4.19,0,2.51
6,2025-07-30 22:28:06.672547,768.0,6.29,0,2.51
6,2025-07-30 22:28:07.672547,1.12,9.44,0,2.51
6,2025-07-30 22:28:08.672547,1.0,8.39,0,2.51
6,2025-07-30 22:28:09.672547,1.25,10.5,0,2.51
6,2025-07-30 22:28:10.672547,4.5,37.8,237,1.84
6,2025-07-30 22:28:11.672547,3.75,31.5,281,2.04
6,2025-07-30 22:28:12.672547,4.25,35.7,364,1.46
6,2025-07-30 22:28:13.672547,4.88,40.9,0,1.54
6,2025-07-30 22:28:14.672547,6.25,52.4,0,1.62
6,2025-07-30 22:28:15.672547,3.62,55.7,0,1.65
