time,log_type,rnti,format,prb,prb2,symb,csi1,sinr,t,bwp,n_id,n_id0,slot,cp,ports,status,epre,rsrp,t_align,cfo,prb1,cs,occ,ack,metric,sr
2025-07-30 15:21:59.683419,PHY,0x4601,2,"[6,",na,"[0,",,+30.4dB,13.1us,"[0,",1,1,736.17,normal,0,valid,-11.5dB,-11.6dB,0.18us,-85.7Hz,,,,11111,,
2025-07-30 15:21:59.684353,PHY,0x4601,1,,na,"[0,",,+16.5dB,15.0us,"[0,",1,,736.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1197.0,
2025-07-30 15:21:59.684837,PHY,0x4601,1,,na,"[0,",,+16.6dB,14.8us,"[0,",1,,736.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1210.5,
2025-07-30 15:21:59.689320,PHY,0x4601,1,,na,"[0,",,+16.6dB,16.8us,"[0,",1,,737.8,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1230.7,
2025-07-30 15:21:59.689810,PHY,0x4601,1,,na,"[0,",,+16.6dB,14.0us,"[0,",1,,737.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1224.1,
2025-07-30 15:21:59.693460,PHY,0x4601,2,"[6,",na,"[0,",,+29.6dB,15.4us,"[0,",1,1,737.17,normal,0,valid,-11.6dB,-11.6dB,0.19us,-44.7Hz,,,,11111,,
2025-07-30 15:21:59.694306,PHY,0x4601,1,,na,"[0,",,+18.2dB,15.6us,"[0,",1,,737.18,normal,0,valid,-14.4dB,-14.4dB,na,na,0,0,0,1,1764.9,
2025-07-30 15:21:59.694862,PHY,0x4601,1,,na,"[0,",,+17.7dB,13.7us,"[0,",1,,737.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1590.5,
2025-07-30 15:21:59.698969,CSI,0x4601,2,"[6,",na,"[0,",1110,+32.8dB,12.6us,"[0,",1,1,738.8,normal,0,valid,-11.6dB,-11.6dB,0.21us,+8.7Hz,,,,1,,
2025-07-30 15:21:59.699836,PHY,0x4601,1,,na,"[0,",,+16.6dB,23.5us,"[0,",1,,738.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1208.0,
2025-07-30 15:21:59.703373,PHY,0x4601,2,"[6,",na,"[0,",,+27.6dB,15.2us,"[0,",1,1,738.17,normal,0,valid,-11.5dB,-11.6dB,0.18us,+48.0Hz,,,,11111,,
2025-07-30 15:21:59.704314,PHY,0x4601,1,,na,"[0,",,+18.2dB,18.2us,"[0,",1,,738.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1759.7,
2025-07-30 15:21:59.704841,PHY,0x4601,1,,na,"[0,",,+17.9dB,24.3us,"[0,",1,,738.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1650.7,
2025-07-30 15:21:59.709386,PHY,0x4601,1,,na,"[0,",,+16.8dB,18.3us,"[0,",1,,739.8,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1273.6,
