time,log_type,rnti,format,prb1,prb2,symb,cs,occ,sr,metric,sinr,t,bwp,n_id,slot,cp,ports,status,epre,rsrp,t_align,cfo,prb,csi1,n_id0,ack
2025-07-30 16:06:14.869192,PHY,0x4601,1,0,na,"[0,",0,0,,2473.8,+19.7dB,22.4us,"[0,",1,303.8,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.869750,PHY,0x4601,1,0,na,"[0,",0,0,,2382.3,+19.5dB,14.6us,"[0,",1,303.9,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.873302,PHY,0x4601,2,,na,"[0,",,,,,+30.4dB,16.8us,"[0,",1,303.17,normal,0,valid,-11.9dB,-12.0dB,0.15us,+18.0Hz,"[6,",,1,11110
2025-07-30 16:06:14.874242,PHY,0x4601,1,0,na,"[0,",0,0,,3589.3,+21.3dB,23.7us,"[0,",1,303.18,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.874735,PHY,0x4601,1,0,na,"[0,",0,0,,3767.4,+21.5dB,21.8us,"[0,",1,303.19,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.878906,CSI,0x4601,2,,na,"[0,",,,,,+32.7dB,17.1us,"[0,",1,304.8,normal,0,valid,-11.8dB,-11.8dB,0.14us,-56.3Hz,"[6,",1111,1,1
2025-07-30 16:06:14.879681,PHY,0x4601,1,0,na,"[0,",0,0,,3753.8,+21.5dB,20.6us,"[0,",1,304.9,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.883356,PHY,0x4601,2,,na,"[0,",,,,,+34.1dB,14.8us,"[0,",1,304.17,normal,0,valid,-11.9dB,-11.9dB,0.13us,+109.8Hz,"[6,",,1,11111
2025-07-30 16:06:14.884165,PHY,0x4601,1,0,na,"[0,",0,0,,3533.2,+21.2dB,15.7us,"[0,",1,304.18,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.884739,PHY,0x4601,1,0,na,"[0,",0,0,,3603.4,+21.3dB,14.3us,"[0,",1,304.19,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.889240,PHY,0x4601,1,0,na,"[0,",0,0,,2353.0,+19.5dB,16.5us,"[0,",1,305.8,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.889734,PHY,0x4601,1,0,na,"[0,",0,0,,2333.9,+19.4dB,18.8us,"[0,",1,305.9,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.893251,PHY,0x4601,2,,na,"[0,",,,,,+31.6dB,16.1us,"[0,",1,305.17,normal,0,valid,-12.0dB,-12.0dB,0.15us,+32.8Hz,"[6,",,1,11110
2025-07-30 16:06:14.894213,PHY,0x4601,1,0,na,"[0,",0,0,,2411.0,+19.6dB,17.2us,"[0,",1,305.18,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.894673,PHY,0x4601,1,0,na,"[0,",0,0,,2320.5,+19.4dB,14.9us,"[0,",1,305.19,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.898808,CSI,0x4601,2,,na,"[0,",,,,,+31.0dB,19.3us,"[0,",1,306.8,normal,0,valid,-11.7dB,-11.7dB,0.15us,-22.1Hz,"[6,",1111,1,1
2025-07-30 16:06:14.899744,PHY,0x4601,1,0,na,"[0,",0,0,,2355.8,+19.5dB,17.7us,"[0,",1,306.9,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.903287,PHY,0x4601,2,,na,"[0,",,,,,+32.3dB,17.6us,"[0,",1,306.17,normal,0,valid,-12.0dB,-12.0dB,0.13us,+14.2Hz,"[6,",,1,11111
2025-07-30 16:06:14.904223,PHY,0x4601,1,0,na,"[0,",0,0,,3585.1,+21.3dB,15.9us,"[0,",1,306.18,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.904718,PHY,0x4601,1,0,na,"[0,",0,0,,3772.0,+21.5dB,14.3us,"[0,",1,306.19,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
