time,log_type,rnti,format,prb1,prb2,symb,cs,occ,ack,metric,sinr,t,bwp,n_id,slot,cp,ports,status,epre,rsrp,t_align,cfo,sr,prb,csi1,n_id0
2025-08-03 16:05:26.530930,CSI,0x4601,2,,na,"[4,",,,,,+32.5dB,13.1us,"[0,",1,938.8,normal,0,valid,-13.3dB,-13.4dB,0.21us,-71.8Hz,,"[7,",1101,1
2025-08-03 16:05:26.550642,PHY,0x4601,1,4,na,"[0,",0,0,2,0.3,-20.8dB,14.5us,"[0,",1,940.7,normal,0,invalid,-46.8dB,-68.0dB,na,na,,,,
2025-08-03 16:05:26.550657,PHY,0x4601,1,0,na,"[0,",0,0,1,1363.6,+17.1dB,11.4us,"[0,",1,940.7,normal,0,valid,-15.3dB,-15.4dB,na,na,,,,
2025-08-03 16:05:26.550876,CSI,0x4601,2,,na,"[4,",,,,,+33.8dB,11.7us,"[0,",1,940.8,normal,0,valid,-13.3dB,-13.3dB,0.20us,-44.4Hz,,"[7,",1101,1
2025-08-03 16:05:26.570711,PHY,0x4601,1,4,na,"[0,",0,0,,0.2,-31.0dB,18.2us,"[0,",1,942.7,normal,0,invalid,-47.3dB,-79.3dB,na,na,no,,,
2025-08-03 16:05:26.570959,CSI,0x4601,2,,na,"[4,",,,,,+34.0dB,13.0us,"[0,",1,942.8,normal,0,valid,-13.2dB,-13.3dB,0.21us,-62.5Hz,,"[7,",1101,1
2025-08-03 16:05:26.590668,PHY,0x4601,1,4,na,"[0,",0,0,,0.3,-15.7dB,19.5us,"[0,",1,944.7,normal,0,invalid,-46.9dB,-63.3dB,na,na,no,,,
2025-08-03 16:05:26.590943,CSI,0x4601,2,,na,"[4,",,,,,+33.4dB,22.6us,"[0,",1,944.8,normal,0,valid,-13.3dB,-13.3dB,0.21us,+36.9Hz,,"[7,",1101,1
2025-08-03 16:05:26.610727,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-18.7dB,16.8us,"[0,",1,946.7,normal,0,invalid,-47.0dB,-66.3dB,na,na,no,,,
2025-08-03 16:05:26.610858,CSI,0x4601,2,,na,"[4,",,,,,+33.6dB,13.5us,"[0,",1,946.8,normal,0,valid,-13.3dB,-13.3dB,0.20us,-27.2Hz,,"[7,",1101,1
2025-08-03 16:05:26.630682,PHY,0x4601,1,4,na,"[0,",0,0,,0.3,-22.8dB,17.9us,"[0,",1,948.7,normal,0,invalid,-46.8dB,-70.5dB,na,na,no,,,
2025-08-03 16:05:26.630924,CSI,0x4601,2,,na,"[4,",,,,,+34.5dB,13.6us,"[0,",1,948.8,normal,0,valid,-13.3dB,-13.4dB,0.21us,+51.6Hz,,"[7,",1101,1
2025-08-03 16:05:26.650636,PHY,0x4601,1,4,na,"[0,",0,0,,1584.8,+17.8dB,14.9us,"[0,",1,950.7,normal,0,valid,-15.1dB,-15.2dB,na,na,yes,,,
2025-08-03 16:05:26.650916,CSI,0x4601,2,,na,"[4,",,,,,+33.6dB,12.9us,"[0,",1,950.8,normal,0,valid,-13.2dB,-13.3dB,0.20us,-83.3Hz,,"[7,",1101,1
2025-08-03 16:05:26.670702,PHY,0x4601,1,4,na,"[0,",0,0,2,0.5,-19.9dB,15.5us,"[0,",1,952.7,normal,0,invalid,-46.1dB,-66.8dB,na,na,,,,
2025-08-03 16:05:26.670718,PHY,0x4601,1,0,na,"[0,",0,0,1,1413.3,+17.3dB,12.2us,"[0,",1,952.7,normal,0,valid,-15.4dB,-15.5dB,na,na,,,,
2025-08-03 16:05:26.670953,CSI,0x4601,2,,na,"[4,",,,,,+31.1dB,13.1us,"[0,",1,952.8,normal,0,valid,-13.4dB,-13.4dB,0.20us,-21.4Hz,,"[7,",1101,1
2025-08-03 16:05:26.690656,PHY,0x4601,1,4,na,"[0,",0,0,,0.7,-13.4dB,14.8us,"[0,",1,954.7,normal,0,invalid,-46.9dB,-61.1dB,na,na,no,,,
2025-08-03 16:05:26.690936,CSI,0x4601,2,,na,"[4,",,,,,+31.3dB,12.9us,"[0,",1,954.8,normal,0,valid,-13.4dB,-13.5dB,0.21us,-64.9Hz,,"[7,",1101,1
2025-08-03 16:05:26.710721,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-22.4dB,16.0us,"[0,",1,956.7,normal,0,invalid,-46.4dB,-69.7dB,na,na,no,,,
2025-08-03 16:05:26.710981,CSI,0x4601,2,,na,"[4,",,,,,+34.5dB,11.8us,"[0,",1,956.8,normal,0,valid,-13.4dB,-13.4dB,0.19us,-86.2Hz,,"[7,",1101,1
2025-08-03 16:05:26.730678,PHY,0x4601,1,4,na,"[0,",0,0,,0.5,-18.5dB,15.1us,"[0,",1,958.7,normal,0,invalid,-46.5dB,-65.2dB,na,na,no,,,
2025-08-03 16:05:26.730906,CSI,0x4601,2,,na,"[4,",,,,,+30.9dB,12.8us,"[0,",1,958.8,normal,0,valid,-13.4dB,-13.5dB,0.20us,+4.6Hz,,"[7,",1101,1
2025-08-03 16:05:26.750738,PHY,0x4601,1,4,na,"[0,",0,0,,0.5,-14.6dB,14.7us,"[0,",1,960.7,normal,0,invalid,-46.4dB,-62.0dB,na,na,no,,,
2025-08-03 16:05:26.750862,CSI,0x4601,2,,na,"[4,",,,,,+34.7dB,14.4us,"[0,",1,960.8,normal,0,valid,-13.5dB,-13.5dB,0.19us,-19.6Hz,,"[7,",1101,1
2025-08-03 16:05:26.770693,PHY,0x4601,1,4,na,"[0,",0,0,,1400.1,+17.2dB,14.8us,"[0,",1,962.7,normal,0,valid,-15.2dB,-15.3dB,na,na,yes,,,
2025-08-03 16:05:26.770968,CSI,0x4601,2,,na,"[4,",,,,,+33.6dB,12.6us,"[0,",1,962.8,normal,0,valid,-13.4dB,-13.5dB,0.20us,-64.2Hz,,"[7,",1101,1
2025-08-03 16:05:26.790649,PHY,0x4601,1,4,na,"[0,",0,0,2,0.2,-24.0dB,15.6us,"[0,",1,964.7,normal,0,invalid,-46.7dB,-70.8dB,na,na,,,,
2025-08-03 16:05:26.790664,PHY,0x4601,1,0,na,"[0,",0,0,1,1329.7,+17.0dB,11.7us,"[0,",1,964.7,normal,0,valid,-15.3dB,-15.4dB,na,na,,,,
2025-08-03 16:05:26.790922,CSI,0x4601,2,,na,"[4,",,,,,+31.1dB,13.8us,"[0,",1,964.8,normal,0,valid,-13.3dB,-13.3dB,0.21us,-60.8Hz,,"[7,",1101,1
2025-08-03 16:05:26.810705,PHY,0x4601,1,4,na,"[0,",0,0,,0.2,-19.8dB,14.7us,"[0,",1,966.7,normal,0,invalid,-46.5dB,-66.8dB,na,na,no,,,
2025-08-03 16:05:26.810991,CSI,0x4601,2,,na,"[4,",,,,,+35.4dB,12.3us,"[0,",1,966.8,normal,0,valid,-13.3dB,-13.4dB,0.19us,-123.0Hz,,"[7,",1101,1
