time,log_type,rnti,format,prb1,prb2,symb,cs,occ,ack,metric,sinr,t,bwp,n_id,slot,cp,ports,status,epre,rsrp,t_align,cfo,sr,prb,csi1,n_id0
2025-08-03 15:55:04.095232,PHY,0x4601,1,0,50,"[0,",0,0,2,0.3,-14.0dB,19.4us,"[0,",1,406.17,normal,0,invalid,-47.8dB,-62.5dB,na,na,,,,
2025-08-03 15:55:04.095805,PHY,0x4601,1,0,50,"[0,",0,0,1,1115.3,+18.7dB,15.9us,"[0,",1,406.18,normal,0,valid,-15.9dB,-15.7dB,na,na,,,,
2025-08-03 15:55:04.105253,PHY,0x4601,1,0,na,"[0,",0,0,1,2059.8,+18.9dB,16.1us,"[0,",1,407.17,normal,0,valid,-14.3dB,-14.4dB,na,na,,,,
2025-08-03 15:55:04.105274,PHY,0x4601,1,0,50,"[0,",0,0,1,962.2,+18.4dB,13.4us,"[0,",1,407.17,normal,0,valid,-17.3dB,-16.8dB,na,na,,,,
2025-08-03 15:55:04.110216,PHY,0x4601,1,4,na,"[0,",0,0,,2125.7,+19.0dB,18.9us,"[0,",1,408.7,normal,0,valid,-14.2dB,-14.2dB,na,na,yes,,,
2025-08-03 15:55:04.110491,CSI,0x4601,2,,na,"[4,",,,,,+35.1dB,25.8us,"[0,",1,408.8,normal,0,valid,-12.3dB,-12.3dB,0.16us,-178.1Hz,,"[7,",1111,1
2025-08-03 15:55:04.130284,PHY,0x4601,1,4,na,"[0,",0,0,2,0.0,-30.4dB,20.9us,"[0,",1,410.7,normal,0,invalid,-46.8dB,-78.3dB,na,na,,,,
2025-08-03 15:55:04.130310,PHY,0x4601,1,0,na,"[0,",0,0,1,2027.1,+18.8dB,20.1us,"[0,",1,410.7,normal,0,valid,-14.8dB,-14.9dB,na,na,,,,
2025-08-03 15:55:04.130566,CSI,0x4601,2,,na,"[4,",,,,,+38.1dB,23.4us,"[0,",1,410.8,normal,0,valid,-12.8dB,-12.8dB,0.21us,-36.6Hz,,"[7,",1111,1
2025-08-03 15:55:04.135244,PHY,0x4601,1,0,na,"[0,",0,0,1,1084.9,+16.1dB,17.1us,"[0,",1,410.17,normal,0,valid,-14.8dB,-14.9dB,na,na,,,,
