time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,max_pusch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_max_pusch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-08-03 16:00:04.940990,metric,51,1400,600,0,0,0,0,0.00786,0.0183,0,0,1,8usec,29usec,171.5,17kbps,65kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,23,18kbps,11,0,0%,0,22,0.03799998,34.8,-4.3,1,27,65kbps,11,0,0%,67,0,10,0,0,0,0,0,-0.099000014,195ns,n/a,7,4.5ms,4.5ms,4.32ms,4.5ms,4.16ms
2025-08-03 16:00:05.941000,metric,51,1400,600,0,0,0,0,0.00643,0.015,0,0,1,8usec,28usec,198.13,14kbps,43kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,14kbps,9,0,0%,0,18,0.046999965,34.1,-4.3,1,27,44kbps,9,0,0%,45,0,9,0,0,0,0,0,-0.099000014,206ns,n/a,7,4.5ms,4.5ms,4.5ms,n/a,4.11ms
2025-08-03 16:00:06.940926,metric,51,1400,600,0,0,0,0,0.00643,0.015,0,0,1,10usec,122usec,290.15,14kbps,43kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,n/a,,,,4601,1,13,1.0,23,14kbps,9,0,0%,0,18,0.05599995,34.5,-4.3,1,27,44kbps,9,0,0%,45,0,9,0,0,0,0,0,-0.099000014,214ns,n/a,7,4.44ms,4.5ms,4.44ms,n/a,4ms
2025-08-03 16:00:07.940983,metric,51,1400,600,0,0,0,0,0.00643,0.0133,0,0,1,8usec,38usec,432.0,14kbps,38kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,14kbps,9,0,0%,0,18,0.064999945,34.5,-4.4,1,27,39kbps,8,0,0%,40,0,8,0,0,0,0,0,-0.099000014,223ns,n/a,7,4.5ms,4.5ms,4.44ms,n/a,4.03ms
2025-08-03 16:00:08.941065,metric,51,1400,600,0,0,0,0,0.00714,0.015,0,0,1,8usec,25usec,516.16,13kbps,43kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,14,1.0,24,14kbps,8,1,11%,3,20,0.06499996,34.0,-4.4,1,27,44kbps,9,0,0%,45,0,9,0,0,0,0,0,-0.099000014,229ns,n/a,7,4.5ms,4.5ms,4.44ms,n/a,4.15ms
2025-08-03 16:00:09.940927,metric,51,1400,600,0,0,0,0,0.00643,0.0133,0,0,1,8usec,29usec,586.16,16kbps,38kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,16kbps,10,0,0%,0,18,0.07299998,33.9,-4.4,1,27,39kbps,8,0,0%,40,0,8,0,0,0,0,0,-0.099000014,222ns,n/a,7,4.5ms,4.5ms,4.44ms,n/a,4.22ms
2025-08-03 16:00:10.941050,metric,51,1400,600,0,0,0,0,0.00714,0.0167,0,0,1,8usec,31usec,753.15,14kbps,50kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,23,14kbps,9,1,10%,0,20,0.07399999,34.1,-4.3,1,27,51kbps,10,0,0%,52,0,10,0,0,0,0,0,-0.099000014,177ns,n/a,7,4.5ms,4.5ms,4.45ms,4.5ms,4.19ms
2025-08-03 16:00:11.940929,metric,51,1400,600,0,0,0,0,0.00643,0.015,0,0,1,8usec,29usec,839.3,12kbps,43kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,n/a,,,,4601,1,13,1.0,23,13kbps,8,0,0%,3,18,0.08300001,34.7,-4.3,1,27,44kbps,9,0,0%,45,0,9,0,0,0,0,0,-0.099000014,188ns,n/a,7,4.5ms,4.5ms,4.44ms,n/a,4ms
2025-08-03 16:00:12.941032,metric,51,1400,600,0,0,0,0,0.00786,0.0183,0,0,1,8usec,28usec,911.3,16kbps,71kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,16kbps,10,1,9%,3,22,0.08400003,34.1,-4.3,1,27,71kbps,11,0,0%,73,0,10,0,0,0,0,0,-0.099000014,197ns,n/a,7,4.5ms,4.5ms,4.32ms,n/a,4.22ms
2025-08-03 16:00:13.940920,metric,51,1400,600,0,0,0,0,0.00857,0.015,0,0,1,8usec,35usec,1012.0,16kbps,43kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,24,17kbps,10,3,23%,0,24,0.06600004,34.4,-4.4,1,27,44kbps,9,0,0%,45,0,9,0,0,0,0,0,-0.099000014,204ns,n/a,7,4.5ms,4.5ms,4.39ms,n/a,4.07ms
2025-08-03 16:00:14.940949,metric,51,1400,600,0,0,0,0,0.00571,0.0133,0,0,1,8usec,33usec,108.0,12kbps,38kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,13kbps,8,0,0%,0,16,0.07400005,34.6,-4.3,1,27,39kbps,8,0,0%,40,0,8,0,0,0,0,0,-0.099000014,214ns,n/a,7,4.5ms,4.5ms,4.44ms,n/a,4.09ms
2025-08-03 16:00:15.941073,metric,51,1400,600,0,0,0,0,0.00714,0.0167,0,0,1,8usec,33usec,228.0,14kbps,48kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,14kbps,9,0,0%,3,20,0.08400007,34.0,-4.3,1,27,49kbps,10,0,0%,50,0,10,0,0,0,0,0,-0.099000014,222ns,n/a,7,4.5ms,4.5ms,4.2ms,n/a,4.08ms
2025-08-03 16:00:16.940903,metric,51,1400,600,0,0,0,0,0.00571,0.0133,0,0,1,8usec,34usec,276.0,14kbps,38kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,14kbps,9,0,0%,0,16,0.09200009,34.3,-4.3,1,27,39kbps,8,0,0%,40,0,8,0,0,0,0,0,-0.099000014,230ns,n/a,7,4.5ms,4.5ms,4.38ms,n/a,4.11ms
2025-08-03 16:00:17.941040,metric,51,1400,600,0,0,0,0,0.00571,0.0133,0,0,1,8usec,27usec,382.6,12kbps,38kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,13kbps,8,0,0%,0,16,0.100000106,34.8,-4.3,1,27,39kbps,8,0,0%,40,0,8,0,0,0,0,0,-0.099000014,211ns,n/a,7,4.5ms,4.5ms,4.38ms,n/a,4.12ms
2025-08-03 16:00:18.940913,metric,51,1400,600,0,0,0,0,0.00786,0.0183,0,0,1,8usec,31usec,550.6,16kbps,53kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,n/a,,,,4601,1,13,1.0,23,16kbps,10,0,0%,3,22,0.11100013,35.5,-4.3,1,27,54kbps,11,0,0%,55,0,11,0,0,0,0,0,-0.099000014,181ns,n/a,7,4.5ms,4.5ms,4.36ms,n/a,4ms
2025-08-03 16:00:19.940947,metric,51,1400,600,0,0,0,0,0.00571,0.0133,0,0,1,8usec,35usec,588.0,14kbps,38kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,14kbps,9,0,0%,0,16,0.119000144,34.8,-4.3,1,27,39kbps,8,0,0%,40,0,8,0,0,0,0,0,-0.099000014,196ns,n/a,7,4.44ms,4.5ms,4.38ms,n/a,4.17ms
2025-08-03 16:00:20.940986,metric,51,1400,600,0,0,0,0,0.00643,0.0133,0,0,1,8usec,30usec,690.6,13kbps,38kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,24,13kbps,8,1,11%,0,18,0.11800015,35.2,-4.2,1,27,39kbps,8,0,0%,40,0,8,0,0,0,0,0,-0.099000014,205ns,n/a,7,4.5ms,4.5ms,4.5ms,n/a,4.03ms
2025-08-03 16:00:21.940929,metric,51,1400,600,0,0,0,0,0.00714,0.015,0,0,1,8usec,30usec,758.0,14kbps,43kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,14,1.0,24,15kbps,9,1,10%,0,20,0.118000165,35.3,-4.3,1,27,44kbps,9,0,0%,45,0,9,0,0,0,0,0,-0.099000014,214ns,n/a,7,4.5ms,4.5ms,4.44ms,n/a,4.11ms
2025-08-03 16:00:22.941128,metric,51,1400,600,0,0,0,0,0.00714,0.0167,0,0,1,8usec,29usec,940.10,14kbps,48kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,14kbps,9,0,0%,3,20,0.12800018,34.5,-4.2,1,27,49kbps,10,0,0%,50,0,10,0,0,0,0,0,-0.099000014,227ns,n/a,7,4.45ms,4.5ms,4.4ms,n/a,4.19ms
2025-08-03 16:00:23.940953,metric,51,1400,600,0,0,0,0,0.00643,0.0133,0,0,1,8usec,28usec,975.3,16kbps,38kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,16kbps,10,0,0%,0,18,0.1370002,35.5,-4.4,1,27,39kbps,8,0,0%,40,0,8,0,0,0,0,0,-0.099000014,205ns,n/a,7,4.5ms,4.5ms,4.44ms,n/a,4.08ms
2025-08-03 16:00:24.940910,metric,51,1400,600,0,0,0,0,0.00643,0.015,0,0,1,8usec,31usec,63.13,14kbps,43kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,14kbps,9,0,0%,0,18,0.14600022,34.2,-4.4,1,27,44kbps,9,0,0%,45,0,9,0,0,0,0,0,-0.099000014,181ns,n/a,7,4.5ms,4.5ms,4.5ms,n/a,4.06ms
2025-08-03 16:00:25.940958,metric,51,1400,600,0,0,0,0,0.00857,0.0167,0,0,1,8usec,33usec,192.16,14kbps,48kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,24,15kbps,9,2,18%,3,24,0.13800023,33.1,-4.4,1,27,49kbps,10,0,0%,50,0,10,0,0,0,0,0,-0.099000014,192ns,n/a,7,4.5ms,4.5ms,4.45ms,n/a,4.03ms
2025-08-03 16:00:26.940919,metric,51,1400,600,0,0,0,0,0.00857,0.015,0,0,1,8usec,28usec,240.0,16kbps,45kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,14,1.0,24,17kbps,10,3,23%,0,24,0.12000024,33.4,-4.4,1,27,46kbps,9,0,0%,47,0,9,0,0,0,0,0,-0.099000014,204ns,n/a,7,4.5ms,4.5ms,4.5ms,4.5ms,4.07ms
2025-08-03 16:00:27.941027,metric,51,1400,600,0,0,0,0,0.00714,0.0167,0,0,1,8usec,30usec,338.15,16kbps,48kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,16kbps,10,0,0%,0,20,0.13000026,33.0,-4.4,1,27,49kbps,10,0,0%,50,0,10,0,0,0,0,0,-0.099000014,218ns,n/a,7,4.5ms,4.5ms,4.45ms,n/a,4.12ms
2025-08-03 16:00:28.940889,metric,51,1400,600,0,0,0,0,0.00714,0.0167,0,0,1,8usec,51usec,430.6,14kbps,60kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,23,14kbps,9,0,0%,3,20,0.14000028,33.2,-4.5,1,27,60kbps,10,0,0%,62,0,9,0,0,0,0,0,-0.099000014,225ns,n/a,7,4.5ms,4.5ms,4.5ms,4.5ms,4.03ms
2025-08-03 16:00:29.940959,metric,51,1400,600,0,0,0,0,0.00714,0.0167,0,0,1,8usec,32usec,548.0,17kbps,48kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,18kbps,11,0,0%,0,20,0.1500003,33.8,-4.5,1,27,49kbps,10,0,0%,50,0,10,0,0,0,0,0,-0.099000014,233ns,n/a,7,4.5ms,4.5ms,4.45ms,n/a,4.11ms
2025-08-03 16:00:30.940935,metric,51,1399,600,0,0,0,0,0.00643,0.015,0,0,1,8usec,26usec,685.3,14kbps,43kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,14kbps,9,0,0%,0,18,0.15900032,33.9,-4.4,1,27,44kbps,9,0,0%,45,0,9,0,0,0,0,0,-0.099000014,238ns,n/a,7,4.5ms,4.5ms,4.5ms,n/a,4.03ms
2025-08-03 16:00:31.940999,metric,51,1400,600,0,0,0,0,0.00643,0.0167,0,0,1,8usec,28usec,758.0,12kbps,48kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,13kbps,8,0,0%,6,18,0.16800034,34.9,-4.4,1,27,49kbps,10,0,0%,50,0,10,0,0,0,0,0,-0.099000014,183ns,n/a,7,4.5ms,4.5ms,4.4ms,n/a,4.03ms
2025-08-03 16:00:32.941008,metric,51,1400,600,0,0,0,0,0.00714,0.015,0,0,1,8usec,42usec,907.10,17kbps,43kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,18kbps,11,0,0%,0,20,0.17800036,34.7,-4.5,1,27,44kbps,9,0,0%,45,0,9,0,0,0,0,0,-0.099000014,190ns,n/a,7,4.44ms,4.5ms,4.44ms,n/a,4.11ms
2025-08-03 16:00:33.940938,metric,51,1400,600,0,0,0,0,0.00643,0.015,0,0,1,8usec,34usec,1022.0,14kbps,43kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,n/a,,,,4601,1,13,1.0,23,14kbps,9,0,0%,0,18,0.18700038,34.5,-4.4,1,27,44kbps,9,0,0%,45,0,9,0,0,0,0,0,-0.099000014,203ns,n/a,7,4.5ms,4.5ms,4.39ms,n/a,4ms
2025-08-03 16:00:34.941054,metric,51,1400,600,0,0,0,0,0.0107,0.01,0,0,0,6usec,33usec,22.0,,,,,,,0x4601,22.6,ue_reconf,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
