time                      , log_type, nof_prbs, nof_dl_slots, nof_ul_slots, nof_prach_preambles, error_indications, pdsch_rbs_per_slot, pusch_rbs_per_slot, pdschs_per_slot, puschs_per_slot, failed_pdcch, failed_uci, nof_ues, mean_latency, max_latency, max_latency_slot, total_dl_brate, total_ul_brate, max_crc_delay, max_ce_delay, max_pucch_harq_delay, events, slot  , type     , rnti  , pci, cqi, dl_ri, dl_mcs, dl_brate, dl_nof_ok, dl_nof_nok, dl_error_rate, dl_bs, dl_nof_prbs, dl_olla, pusch_snr_db, pusch_rsrp_db, ul_ri, ul_mcs, ul_brate, ul_nof_ok, ul_nof_nok, ul_error_rate, ul_nof_prbs, bsr, sr_count, f0f1_invalid_harqs, f2f3f4_invalid_harqs, f2f3f4_invalid_csis, pusch_invalid_harqs, pusch_invalid_csis, ul_olla, ta, srs_ta, last_phr, avg_ul_ce_delay, max_ul_ce_delay, avg_crc_delay, avg_pusch_harq_delay, max_pusch_harq_delay, avg_pucch_harq_delay, ue_log_type, ue_nof_prbs, ue_nof_dl_slots, ue_nof_ul_slots, ue_nof_prach_preambles, ue_error_indications, ue_pdsch_rbs_per_slot, ue_pusch_rbs_per_slot, ue_pdschs_per_slot, ue_puschs_per_slot, ue_failed_pdcch, ue_failed_uci, ue_nof_ues, ue_mean_latency, ue_max_latency, ue_max_latency_slot, ue_total_dl_brate, ue_total_ul_brate, ue_max_crc_delay, ue_max_ce_delay, ue_max_pucch_harq_delay, ue_events, ue_slot, ue_type, ue_rnti, ue_pci, ue_cqi, ue_dl_ri, ue_dl_mcs, ue_dl_brate, ue_dl_nof_ok, ue_dl_nof_nok, ue_dl_error_rate, ue_dl_bs, ue_dl_nof_prbs, ue_dl_olla , ue_pusch_snr_db, ue_pusch_rsrp_db, ue_ul_ri, ue_ul_mcs, ue_ul_brate, ue_ul_nof_ok, ue_ul_nof_nok, ue_ul_error_rate, ue_ul_nof_prbs, ue_bsr, ue_sr_count, ue_f0f1_invalid_harqs, ue_f2f3f4_invalid_harqs, ue_f2f3f4_invalid_csis, ue_pusch_invalid_harqs, ue_pusch_invalid_csis, ue_ul_olla  , ue_ta, ue_srs_ta, ue_last_phr, ue_avg_ul_ce_delay, ue_max_ul_ce_delay, ue_avg_crc_delay, ue_avg_pusch_harq_delay, ue_max_pusch_harq_delay, ue_avg_pucch_harq_delay
2025-08-03 17:42:35.929749, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0.00714,          0.0167,            0,          0,       1, 8usec       , 35usec     ,            96.0 , 14kbps        , 60kbps        , 4.5ms        , 4.5ms       , 4.5ms               ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4.5ms                  ,          ,        ,        ,    4601,      1,     12,      1.0,        21, 14kbps     ,           10,             0, 0%              ,        0,             20, 0.043999985,            34.8, -4.3            ,        1,        27, 60kbps     ,           10,             0, 0%              ,             62, 0     ,           9,                     0,                       0,                      0,                      0,                     0, -0.099000014, 210ns, n/a      ,           7, 4.5ms             , 4.5ms             , 4.4ms           , n/a                    , n/a                    , 4.15ms
2025-08-03 17:42:36.929824, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0.00643,          0.015 ,            0,          0,       1, 8usec       , 30usec     ,           180.16, 11kbps        , 43kbps        , 4.5ms        , 4.5ms       , 4.5ms               ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4.5ms                  ,          ,        ,        ,    4601,      1,     12,      1.0,        21, 11kbps     ,            8,             0, 0%              ,        3,             18, 0.05299997 ,            34.6, -4.2            ,        1,        27, 44kbps     ,            9,             0, 0%              ,             45, 0     ,           9,                     0,                       0,                      0,                      0,                     0, -0.099000014, 216ns, n/a      ,           7, 4.5ms             , 4.5ms             , 4.44ms          , n/a                    , n/a                    , 4.09ms
2025-08-03 17:42:37.929704, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0.00714,          0.0167,            0,          0,       1, 9usec       , 124usec    ,           298.6 , 15kbps        , 48kbps        , 4.5ms        , 4.5ms       , 4.5ms               ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4.5ms                  ,          ,        ,        ,    4601,      1,     12,      1.0,        21, 16kbps     ,           11,             0, 0%              ,        0,             20, 0.06299996 ,            35.3, -4.2            ,        1,        27, 49kbps     ,           10,             0, 0%              ,             50, 0     ,          10,                     0,                       0,                      0,                      0,                     0, -0.099000014, 225ns, n/a      ,           7, 4.5ms             , 4.5ms             , 4.4ms           , n/a                    , n/a                    , 4.14ms
2025-08-03 17:42:38.929817, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0.00571,          0.0133,            0,          0,       1, 8usec       , 34usec     ,           468.4 , 11kbps        , 38kbps        , 4.5ms        , 4.5ms       , 4.5ms               ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4.5ms                  ,          ,        ,        ,    4601,      1,     12,      1.0,        21, 11kbps     ,            8,             0, 0%              ,        0,             16, 0.07099997 ,            34.1, -4.2            ,        1,        27, 39kbps     ,            8,             0, 0%              ,             40, 0     ,           8,                     0,                       0,                      0,                      0,                     0, -0.099000014, 221ns, n/a      ,           7, 4.5ms             , 4.5ms             , 4.38ms          , n/a                    , n/a                    , 4.16ms
2025-08-03 17:42:39.929767, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0.00643,          0.015 ,            0,          0,       1, 8usec       , 32usec     ,           564.0 , 11kbps        , 43kbps        , 4.5ms        , 4.5ms       , 4ms                 ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4ms                    ,          ,        ,        ,    4601,      1,     12,      1.0,        21, 11kbps     ,            8,             0, 0%              ,        3,             18, 0.07999999 ,            34.9, -4.1            ,        1,        27, 44kbps     ,            9,             0, 0%              ,             45, 0     ,           9,                     0,                       0,                      0,                      0,                     0, -0.099000014, 219ns, n/a      ,           7, 4.5ms             , 4.5ms             , 4.5ms           , n/a                    , n/a                    , 4ms
2025-08-03 17:42:40.929769, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0.00714,          0.0167,            0,          0,       1, 8usec       , 43usec     ,           600.15, 15kbps        , 48kbps        , 4.5ms        , 4.5ms       , 4.5ms               ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4.5ms                  ,          ,        ,        ,    4601,      1,     12,      1.0,        21, 16kbps     ,           11,             0, 0%              ,        0,             20, 0.09000001 ,            34.2, -4.2            ,        1,        27, 49kbps     ,           10,             0, 0%              ,             50, 0     ,          10,                     0,                       0,                      0,                      0,                     0, -0.099000014, 245ns, n/a      ,           7, 4.5ms             , 4.5ms             , 4.4ms           , n/a                    , n/a                    , 4.07ms
2025-08-03 17:42:41.929915, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0.00571,          0.0133,            0,          0,       1, 8usec       , 28usec     ,           708.0 , 11kbps        , 38kbps        , 4.5ms        , 4.5ms       , 4.5ms               ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4.5ms                  ,          ,        ,        ,    4601,      1,     12,      1.0,        21, 11kbps     ,            8,             0, 0%              ,        0,             16, 0.09800003 ,            35.5, -4.1            ,        1,        27, 39kbps     ,            8,             0, 0%              ,             40, 0     ,           8,                     0,                       0,                      0,                      0,                     0, -0.099000014, 185ns, n/a      ,           7, 4.5ms             , 4.5ms             , 4.38ms          , n/a                    , n/a                    , 4.06ms
2025-08-03 17:42:42.929794, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0.00643,          0.015 ,            0,          0,       1, 8usec       , 32usec     ,           816.0 , 11kbps        , 43kbps        , 4.5ms        , 4.5ms       , 4.5ms               ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4.5ms                  ,          ,        ,        ,    4601,      1,     12,      1.0,        21, 11kbps     ,            8,             0, 0%              ,        3,             18, 0.107000045,            34.8, -4.1            ,        1,        27, 44kbps     ,            9,             0, 0%              ,             45, 0     ,           9,                     0,                       0,                      0,                      0,                     0, -0.099000014, 194ns, n/a      ,           7, 4.5ms             , 4.5ms             , 4.44ms          , n/a                    , n/a                    , 4.16ms
2025-08-03 17:42:43.929826, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0.00786,          0.0217,            0,          0,       1, 8usec       , 30usec     ,           960.0 , 15kbps        , 76kbps        , 4.5ms        , 4.5ms       , 4.5ms               ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4.5ms                  ,          ,        ,        ,    4601,      1,     12,      1.0,        21, 16kbps     ,           11,             0, 0%              ,        3,             22, 0.11800007 ,            33.3, -4.1            ,        1,        27, 76kbps     ,           12,             1, 7%              ,            101, 0     ,          11,                     0,                       0,                      0,                      0,                     0, -0.19800003 , 224ns, n/a      ,           7, 4.5ms             , 4.5ms             , 4.42ms          , n/a                    , n/a                    , 4.05ms
2025-08-03 17:42:44.929727, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0.00643,          0.0133,            0,          0,       1, 8usec       , 28usec     ,            17.13, 14kbps        , 38kbps        , 4.5ms        , 4.5ms       , 4.5ms               ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4.5ms                  ,          ,        ,        ,    4601,      1,     12,      1.0,        21, 14kbps     ,           10,             0, 0%              ,        0,             18, 0.12600008 ,            35.1, -4.1            ,        1,        27, 39kbps     ,            8,             0, 0%              ,             40, 0     ,           8,                     0,                       0,                      0,                      0,                     0, -0.19800003 , 187ns, n/a      ,           7, 4.5ms             , 4.5ms             , 4.5ms           , n/a                    , n/a                    , 4.11ms
