time,log_type,rnti,format,prb,prb2,symb,csi1,sinr,t,bwp,n_id,n_id0,slot,cp,ports,status,epre,rsrp,t_align,cfo,prb1,cs,occ,ack,metric,sr
2025-08-04 13:06:34.739194,CSI,0x4601,2,"[7,",na,"[4,",2222,-9.0dB,28.1us,"[0,",1,1,422.8,normal,0,invalid,-45.0dB,-53.8dB,-1.13us,-10434.7Hz,,,,,,
2025-08-04 13:06:34.743877,PHY,0x4601,1,,50,"[0,",,+29.1dB,24.1us,"[0,",1,,422.17,normal,0,valid,-14.6dB,-14.4dB,na,na,0,0,0,1,12309.5,
2025-08-04 13:06:34.758858,PHY,0x4601,1,,na,"[0,",,+28.5dB,17.6us,"[0,",1,,424.7,normal,0,valid,-13.1dB,-13.1dB,na,na,4,0,0,,18785.0,yes
2025-08-04 13:06:34.759105,CSI,0x4601,2,"[7,",na,"[4,",1111,+37.2dB,14.3us,"[0,",1,1,424.8,normal,0,valid,-11.2dB,-11.2dB,-0.05us,-64.9Hz,,,,,,
2025-08-04 13:06:34.778926,PHY,0x4601,1,,na,"[0,",,-19.7dB,20.7us,"[0,",1,,426.7,normal,0,invalid,-47.6dB,-68.3dB,na,na,4,0,0,2,0.6,
2025-08-04 13:06:34.778953,PHY,0x4601,1,,na,"[0,",,+29.3dB,11.7us,"[0,",1,,426.7,normal,0,valid,-13.8dB,-13.7dB,na,na,0,0,0,1,22854.9,
2025-08-04 13:06:34.779210,CSI,0x4601,2,"[7,",na,"[4,",1111,+33.9dB,24.3us,"[0,",1,1,426.8,normal,0,valid,-11.6dB,-11.6dB,-0.03us,-109.8Hz,,,,,,
2025-08-04 13:06:34.783887,PHY,0x4601,1,,na,"[0,",,+16.7dB,23.5us,"[0,",1,,426.17,normal,0,valid,-10.6dB,-10.7dB,na,na,0,0,0,11,1247.1,
2025-08-04 13:06:34.798876,PHY,0x4601,1,,na,"[0,",,+16.8dB,15.3us,"[0,",1,,428.7,normal,0,valid,-13.4dB,-13.5dB,na,na,4,0,0,,1267.0,yes
2025-08-04 13:06:34.799148,CSI,0x4601,2,"[7,",na,"[4,",1111,+30.6dB,16.3us,"[0,",1,1,428.8,normal,0,valid,-11.6dB,-11.6dB,0.22us,-77.1Hz,,,,,,
2025-08-04 13:06:34.818940,PHY,0x4601,1,,na,"[0,",,+16.8dB,16.5us,"[0,",1,,430.7,normal,0,valid,-10.5dB,-10.6dB,na,na,4,0,0,11,1284.1,
2025-08-04 13:06:34.818962,PHY,0x4601,1,,na,"[0,",,-34.0dB,17.1us,"[0,",1,,430.7,normal,0,invalid,-47.6dB,-83.1dB,na,na,0,0,0,22,0.0,
2025-08-04 13:06:34.819061,CSI,0x4601,2,"[7,",na,"[4,",1111,+33.3dB,19.8us,"[0,",1,1,430.8,normal,0,valid,-11.7dB,-11.7dB,0.21us,-147.5Hz,,,,,,
2025-08-04 13:06:34.819887,PHY,0x4601,1,,na,"[0,",,+16.6dB,17.7us,"[0,",1,,430.9,normal,0,valid,-13.9dB,-14.0dB,na,na,0,0,0,1,1228.1,
2025-08-04 13:06:34.838896,PHY,0x4601,1,,na,"[0,",,+16.6dB,16.5us,"[0,",1,,432.7,normal,0,valid,-13.7dB,-13.8dB,na,na,4,0,0,,1209.3,yes
2025-08-04 13:06:34.839159,CSI,0x4601,2,"[7,",na,"[4,",1111,+31.3dB,14.1us,"[0,",1,1,432.8,normal,0,valid,-11.9dB,-11.9dB,0.22us,-41.9Hz,,,,,,
2025-08-04 13:06:34.859128,CSI,0x4601,2,"[7,",na,"[4,",1111,+34.8dB,16.1us,"[0,",1,1,434.8,normal,0,valid,-12.0dB,-12.0dB,0.21us,-113.6Hz,,,,,,
2025-08-04 13:06:34.868420,PHY,0x4601,2,"[6,",na,"[0,",,+34.1dB,22.9us,"[0,",1,1,435.7,normal,0,valid,-13.3dB,-13.3dB,0.22us,-74.8Hz,,,,111,,
2025-08-04 13:06:34.878920,PHY,0x4601,1,,na,"[0,",,+16.8dB,24.0us,"[0,",1,,436.7,normal,0,valid,-14.1dB,-14.2dB,na,na,4,0,0,,1290.4,yes
2025-08-04 13:06:34.879189,CSI,0x4601,2,"[7,",na,"[4,",1111,+32.1dB,15.7us,"[0,",1,1,436.8,normal,0,valid,-12.3dB,-12.3dB,0.23us,-101.0Hz,,,,,,
2025-08-04 13:06:34.898872,PHY,0x4601,1,,na,"[0,",,-26.0dB,17.7us,"[0,",1,,438.7,normal,0,invalid,-46.8dB,-72.8dB,na,na,4,0,0,2,0.2,
2025-08-04 13:06:34.898897,PHY,0x4601,1,,na,"[0,",,+16.5dB,13.2us,"[0,",1,,438.7,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1201.1,
2025-08-04 13:06:34.899147,CSI,0x4601,2,"[7,",na,"[4,",1111,+31.5dB,16.5us,"[0,",1,1,438.8,normal,0,valid,-12.3dB,-12.3dB,0.20us,-146.6Hz,,,,,,
2025-08-04 13:06:34.918928,PHY,0x4601,1,,na,"[0,",,-27.6dB,15.9us,"[0,",1,,440.7,normal,0,invalid,-46.7dB,-75.2dB,na,na,4,0,0,,0.1,no
2025-08-04 13:06:34.919065,CSI,0x4601,2,"[7,",na,"[4,",1111,+34.4dB,13.7us,"[0,",1,1,440.8,normal,0,valid,-12.3dB,-12.3dB,0.22us,-105.3Hz,,,,,,
2025-08-04 13:06:34.938886,PHY,0x4601,1,,na,"[0,",,-19.5dB,15.2us,"[0,",1,,442.7,normal,0,invalid,-46.6dB,-67.1dB,na,na,4,0,0,,0.1,no
