time,log_type,rnti,format,prb1,prb2,symb,cs,occ,ack,metric,sinr,t,bwp,n_id,slot,cp,ports,status,epre,rsrp,t_align,cfo,sr,prb,csi1,n_id0
2025-08-04 11:45:19.845211,PHY,0x4601,1,0,50,"[0,",0,0,2,0.5,-12.5dB,20.5us,"[0,",1,343.17,normal,0,invalid,-47.6dB,-61.6dB,na,na,,,,
2025-08-04 11:45:19.845677,PHY,0x4601,1,0,50,"[0,",0,0,1,2138.7,+21.5dB,16.4us,"[0,",1,343.18,normal,0,valid,-14.7dB,-14.5dB,na,na,,,,
2025-08-04 11:45:19.850171,PHY,0x4601,1,4,na,"[0,",0,0,,1.6,-10.3dB,17.2us,"[0,",1,344.7,normal,0,valid,-47.4dB,-59.0dB,na,na,yes,,,
2025-08-04 11:45:19.850409,CSI,0x4601,2,,na,"[4,",,,,,+35.6dB,25.2us,"[0,",1,344.8,normal,0,valid,-11.4dB,-11.4dB,0.12us,-49.6Hz,,"[7,",0001,1
2025-08-04 11:45:19.855128,PHY,0x4601,1,0,na,"[0,",0,0,1,3470.0,+21.1dB,16.7us,"[0,",1,344.17,normal,0,valid,-13.5dB,-13.5dB,na,na,,,,
2025-08-04 11:45:19.855145,PHY,0x4601,1,0,50,"[0,",0,0,1,1485.4,+20.3dB,12.0us,"[0,",1,344.17,normal,0,valid,-16.4dB,-15.9dB,na,na,,,,
2025-08-04 11:45:19.870252,PHY,0x4601,1,4,na,"[0,",0,0,2,0.3,-17.8dB,32.9us,"[0,",1,346.7,normal,0,invalid,-46.5dB,-64.8dB,na,na,,,,
2025-08-04 11:45:19.870276,PHY,0x4601,1,0,na,"[0,",0,0,1,3739.7,+21.5dB,15.9us,"[0,",1,346.7,normal,0,valid,-13.9dB,-14.0dB,na,na,,,,
2025-08-04 11:45:19.870371,CSI,0x4601,2,,na,"[4,",,,,,+34.5dB,23.9us,"[0,",1,346.8,normal,0,valid,-11.9dB,-11.9dB,0.11us,-25.5Hz,,"[7,",1111,1
2025-08-04 11:45:19.875194,PHY,0x4601,1,0,na,"[0,",0,0,1,3545.6,+21.2dB,19.3us,"[0,",1,346.17,normal,0,valid,-13.9dB,-13.9dB,na,na,,,,
2025-08-04 11:45:19.890184,PHY,0x4601,1,4,na,"[0,",0,0,,3931.1,+21.7dB,15.9us,"[0,",1,348.7,normal,0,valid,-13.6dB,-13.6dB,na,na,yes,,,
2025-08-04 11:45:19.890464,CSI,0x4601,2,,na,"[4,",,,,,+35.3dB,17.2us,"[0,",1,348.8,normal,0,valid,-11.9dB,-11.9dB,0.16us,-33.8Hz,,"[7,",1111,1
2025-08-04 11:45:19.910139,PHY,0x4601,1,4,na,"[0,",0,0,11,1749.8,+18.2dB,15.9us,"[0,",1,350.7,normal,0,valid,-10.7dB,-10.8dB,na,na,,,,
2025-08-04 11:45:19.910158,PHY,0x4601,1,0,na,"[0,",0,0,22,0.5,-21.2dB,11.5us,"[0,",1,350.7,normal,0,invalid,-47.3dB,-69.3dB,na,na,,,,
2025-08-04 11:45:19.910372,CSI,0x4601,2,,na,"[4,",,,,,+36.9dB,13.8us,"[0,",1,350.8,normal,0,valid,-11.9dB,-12.0dB,0.19us,-89.4Hz,,"[7,",1111,1
2025-08-04 11:45:19.911202,PHY,0x4601,1,0,na,"[0,",0,0,1,1564.0,+17.7dB,21.8us,"[0,",1,350.9,normal,0,valid,-14.1dB,-14.1dB,na,na,,,,
2025-08-04 11:45:19.930200,PHY,0x4601,1,4,na,"[0,",0,0,,1613.5,+17.8dB,14.7us,"[0,",1,352.7,normal,0,valid,-14.0dB,-14.1dB,na,na,yes,,,
2025-08-04 11:45:19.930469,CSI,0x4601,2,,na,"[4,",,,,,+32.3dB,17.8us,"[0,",1,352.8,normal,0,valid,-12.2dB,-12.3dB,0.19us,-55.7Hz,,"[7,",1111,1
2025-08-04 11:45:19.950419,CSI,0x4601,2,,na,"[4,",,,,,+35.2dB,15.4us,"[0,",1,354.8,normal,0,valid,-12.4dB,-12.5dB,0.19us,-49.5Hz,,"[7,",1111,1
2025-08-04 11:45:19.959731,PHY,0x4601,2,,na,"[0,",,,111,,+33.2dB,23.1us,"[0,",1,355.7,normal,0,valid,-13.6dB,-13.7dB,0.20us,+47.8Hz,,"[6,",,1
2025-08-04 11:45:19.970223,PHY,0x4601,1,4,na,"[0,",0,0,,1663.2,+17.9dB,17.0us,"[0,",1,356.7,normal,0,valid,-14.3dB,-14.4dB,na,na,yes,,,
2025-08-04 11:45:19.970383,CSI,0x4601,2,,na,"[4,",,,,,+35.0dB,19.8us,"[0,",1,356.8,normal,0,valid,-12.5dB,-12.5dB,0.18us,-37.6Hz,,"[7,",1111,1
2025-08-04 11:45:19.990177,PHY,0x4601,1,4,na,"[0,",0,0,2,0.3,-16.1dB,17.4us,"[0,",1,358.7,normal,0,invalid,-47.2dB,-65.3dB,na,na,,,,
2025-08-04 11:45:19.990193,PHY,0x4601,1,0,na,"[0,",0,0,1,1591.4,+17.8dB,11.6us,"[0,",1,358.7,normal,0,valid,-14.3dB,-14.4dB,na,na,,,,
2025-08-04 11:45:19.990453,CSI,0x4601,2,,na,"[4,",,,,,+32.6dB,15.0us,"[0,",1,358.8,normal,0,valid,-12.3dB,-12.3dB,0.19us,-17.8Hz,,"[7,",1111,1
2025-08-04 11:45:20.010128,PHY,0x4601,1,4,na,"[0,",0,0,,0.2,-23.2dB,16.4us,"[0,",1,360.7,normal,0,invalid,-46.9dB,-71.2dB,na,na,no,,,
2025-08-04 11:45:20.010389,CSI,0x4601,2,,na,"[4,",,,,,+34.8dB,16.2us,"[0,",1,360.8,normal,0,valid,-12.2dB,-12.3dB,0.19us,-107.0Hz,,"[7,",1111,1
2025-08-04 11:45:20.030189,PHY,0x4601,1,4,na,"[0,",0,0,,0.5,-20.3dB,15.2us,"[0,",1,362.7,normal,0,invalid,-46.5dB,-67.6dB,na,na,no,,,
2025-08-04 11:45:20.030421,CSI,0x4601,2,,na,"[4,",,,,,+33.4dB,13.3us,"[0,",1,362.8,normal,0,valid,-12.3dB,-12.3dB,0.19us,-53.1Hz,,"[7,",1111,1
2025-08-04 11:45:20.050143,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-22.8dB,15.2us,"[0,",1,364.7,normal,0,invalid,-47.0dB,-70.3dB,na,na,no,,,
2025-08-04 11:45:20.050392,CSI,0x4601,2,,na,"[4,",,,,,+32.8dB,11.8us,"[0,",1,364.8,normal,0,valid,-12.3dB,-12.3dB,0.19us,-92.5Hz,,"[7,",1111,1
2025-08-04 11:45:20.070206,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-22.2dB,14.4us,"[0,",1,366.7,normal,0,invalid,-46.5dB,-68.7dB,na,na,no,,,
2025-08-04 11:45:20.070370,CSI,0x4601,2,,na,"[4,",,,,,+32.6dB,11.8us,"[0,",1,366.8,normal,0,valid,-12.4dB,-12.4dB,0.18us,-87.7Hz,,"[7,",1111,1
2025-08-04 11:45:20.085217,PHY,0x4601,1,0,na,"[0,",0,0,1,1602.1,+17.8dB,17.1us,"[0,",1,367.17,normal,0,valid,-14.4dB,-14.4dB,na,na,,,,
2025-08-04 11:45:20.090167,PHY,0x4601,1,4,na,"[0,",0,0,,1653.4,+17.9dB,14.9us,"[0,",1,368.7,normal,0,valid,-14.1dB,-14.2dB,na,na,yes,,,
