time,log_type,total_dl_brate,total_ul_brate,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_total_dl_brate,ue_total_ul_brate,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-08-04 12:48:12.706195,metric,44Mbps,386kbps,51,1400,600,0,0,49,0,1,0.095,0,0,1,15usec,53usec,109.16,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,12,1.0,22,44Mbps,1278,122,8%,2.22M,68900,1.0552835,34.7,-3.6,1,27,387kbps,57,0,0%,399,0,49,0,0,0,0,0,-0.49400008,186ns,n/a,7,4.49ms,4.5ms,4.21ms,4.02ms,4.5ms,3.95ms
2025-08-04 12:48:13.706005,metric,42Mbps,393kbps,51,1400,600,0,0,49,0,1,0.0967,0,0,1,15usec,46usec,217.16,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4603,1,12,1.0,22,42Mbps,1272,128,9%,2.33M,68911,1.1663129,34.5,-3.6,1,27,393kbps,58,0,0%,406,0,49,0,0,0,0,0,-0.49400008,194ns,n/a,7,4.47ms,4.5ms,4.22ms,4.01ms,4.5ms,3.95ms
2025-08-04 12:48:14.706125,metric,42Mbps,359kbps,51,1400,600,0,0,49,0,1,0.0883,0,0,1,15usec,51usec,272.16,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4603,1,12,1.0,22,42Mbps,1239,161,11%,2.19M,68868,,34.3,-3.5,1,27,360kbps,53,0,0%,371,0,49,0,0,0,0,0,-0.49400008,208ns,n/a,7,4.48ms,4.5ms,4.28ms,4.08ms,4.5ms,3.94ms
2025-08-04 12:48:15.706238,metric,42Mbps,345kbps,51,1400,600,0,0,49,0,1,0.085,0,0,1,15usec,62usec,416.4,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,11,1.0,21,42Mbps,1273,127,9%,2.2M,68861,1.0463866,34.3,-3.4,1,27,346kbps,51,0,0%,357,0,50,0,0,0,0,0,-0.49400008,210ns,n/a,7,4.48ms,4.5ms,4.2ms,4.02ms,4.5ms,3.95ms
2025-08-04 12:48:16.706025,metric,45Mbps,420kbps,51,1400,600,0,0,49,0,1,0.103,0,0,1,15usec,56usec,499.16,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,12,1.0,22,45Mbps,1316,84,6%,2.29M,68921,1.502414,34.2,-3.3,1,27,421kbps,62,0,0%,434,276,44,2,0,0,0,0,-0.49400008,217ns,n/a,7,4.48ms,4.5ms,4.19ms,4ms,4ms,3.94ms
2025-08-04 12:48:17.706120,metric,58Mbps,594kbps,51,1400,600,0,0,49,1,1,0.142,0,0,1,15usec,46usec,561.0,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,14,1.0,26,58Mbps,1398,2,0%,2.36M,69006,1.8774325,33.9,-3.1,1,27,595kbps,84,1,1%,647,0,31,0,0,0,0,0,-0.5920001,224ns,n/a,6,4.47ms,4.5ms,4.19ms,4.01ms,4.5ms,3.95ms
2025-08-04 12:48:18.706000,metric,58Mbps,558kbps,51,1400,600,0,0,49,0,1,0.137,0,0,1,15usec,48usec,643.16,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4603,1,15,1.0,27,58Mbps,1400,0,0%,2.37M,69016,1.8774325,34.0,-3.1,1,27,558kbps,82,0,0%,576,142,33,0,0,0,0,0,-0.5920001,231ns,n/a,6,4.46ms,4.5ms,4.21ms,4.01ms,4.5ms,3.96ms
2025-08-04 12:48:19.706075,metric,58Mbps,551kbps,51,1400,600,0,0,49,0,1,0.135,0,0,1,15usec,56usec,819.16,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,15,1.0,27,58Mbps,1400,0,0%,2.38M,68988,1.8774325,34.0,-3.1,1,27,551kbps,81,0,0%,569,635,33,0,0,0,0,0,-0.5920001,197ns,n/a,6,4.46ms,4.5ms,4.19ms,4.04ms,4.5ms,3.95ms
2025-08-04 12:48:20.706146,metric,58Mbps,595kbps,51,1400,600,0,0,49,1,1,0.145,0,0,1,15usec,93usec,836.4,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,15,1.0,27,58Mbps,1400,0,0%,2.39M,69016,1.8774325,34.1,-3.1,1,27,596kbps,87,0,0%,615,0,28,0,0,0,0,0,-0.5920001,175ns,n/a,7,4.49ms,4.5ms,4.21ms,4.03ms,4.5ms,3.96ms
2025-08-04 12:48:21.706014,metric,57Mbps,583kbps,51,1400,600,0,0,47,1,0.975,0.143,0,0,1,15usec,46usec,949.16,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,15,1.0,27,57Mbps,1373,0,0%,116,67106,1.8774325,34.1,-3.1,1,27,583kbps,86,0,0%,602,0,26,0,0,0,0,0,-0.5920001,182ns,n/a,6,4.48ms,4.5ms,4.24ms,4.02ms,4.5ms,3.96ms
2025-08-04 12:48:22.706150,metric,21kbps,52kbps,51,1400,600,0,0,0,0,0.00857,0.0183,0,0,1,8usec,31usec,91.17,4.5ms,4.5ms,4ms,0x4603,88.5,ue_reconf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4603,1,15,1.0,25,21kbps,12,0,0%,3,36,1.8774325,35.5,-3.0,1,27,53kbps,11,0,0%,56,0,11,0,0,0,0,0,-0.5920001,191ns,n/a,8,4.5ms,4.5ms,4.36ms,n/a,n/a,4ms
2025-08-04 12:48:23.705952,metric,,,51,1400,600,0,0,0,0,0.00714,0.00333,0,0,0,4usec,26usec,145.0,,,,0x4603,123.10,ue_rem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
