time,log_type,total_dl_brate,total_ul_brate,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_total_dl_brate,ue_total_ul_brate,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-08-04 12:47:52.706183,metric,58Mbps,542kbps,51,1400,600,0,0,49,0,1,0.133,0,0,1,15usec,77usec,141.16,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,15,1.0,27,58Mbps,1399,1,0%,1.11M,69016,0.008000004,34.2,-3.2,1,27,543kbps,80,0,0%,560,142,33,0,0,0,0,0,-0.19800003,231ns,n/a,7,4.47ms,4.5ms,4.23ms,4.03ms,4.5ms,3.95ms
2025-08-04 12:47:53.706211,metric,58Mbps,571kbps,51,1400,600,0,0,49,0,1,0.137,0,0,1,15usec,45usec,269.6,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4603,1,15,1.0,27,58Mbps,1399,1,0%,1.54M,69006,0.012000005,34.4,-3.2,1,27,572kbps,82,0,0%,590,0,35,0,0,0,0,0,-0.19800003,172ns,n/a,7,4.48ms,4.5ms,4.18ms,4ms,4ms,3.96ms
2025-08-04 12:47:54.706105,metric,51Mbps,553kbps,51,1400,600,0,0,49,1,1,0.135,0,0,1,17usec,114usec,357.18,4.5ms,4.5ms,5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,5ms,,,,4603,1,14,1.0,25,51Mbps,1301,99,7%,1.81M,68974,-0.46400487,33.6,-3.6,1,27,554kbps,80,1,1%,614,74,36,14,8,1,1,0,-0.29600006,190ns,n/a,7,4.46ms,4.5ms,4.22ms,4.03ms,4.5ms,3.97ms
2025-08-04 12:47:55.706162,metric,57Mbps,614kbps,51,1398,600,0,0,49,1,1,0.143,0,0,1,15usec,63usec,399.0,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4603,1,15,1.0,26,57Mbps,1394,4,0%,2.14M,68907,0.0059927623,34.0,-3.2,1,27,615kbps,86,0,0%,634,535,34,0,0,0,0,0,-0.29600006,185ns,n/a,7,4.47ms,4.5ms,4.24ms,4.03ms,4.5ms,3.95ms
2025-08-04 12:47:56.706121,metric,51Mbps,473kbps,51,1400,600,0,0,49,0,1,0.115,0,0,1,15usec,50usec,555.6,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4603,1,14,1.0,25,51Mbps,1307,93,6%,2.33M,68974,-0.13700917,34.3,-3.1,1,27,474kbps,69,0,0%,489,0,42,0,0,0,0,0,-0.29600006,203ns,n/a,7,4.5ms,4.5ms,4.22ms,4.02ms,4.5ms,3.95ms
2025-08-04 12:47:57.706060,metric,44Mbps,427kbps,51,1400,600,0,0,49,0,1,0.105,0,0,1,15usec,42usec,579.16,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,12,1.0,22,44Mbps,1334,66,4%,2.34M,68985,0.59798086,34.3,-3.5,1,27,427kbps,63,0,0%,441,0,45,0,0,0,0,0,-0.29600006,208ns,n/a,7,4.46ms,4.5ms,4.2ms,4.01ms,4.5ms,3.95ms
2025-08-04 12:47:58.706128,metric,44Mbps,420kbps,51,1400,600,0,0,49,0,1,0.103,0,0,1,15usec,69usec,747.16,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4603,1,12,1.0,23,44Mbps,1269,131,9%,2.3M,68925,0.7829661,34.3,-3.7,1,27,421kbps,62,0,0%,434,281,49,0,0,0,0,0,-0.29600006,216ns,n/a,7,4.46ms,4.5ms,4.26ms,4.02ms,4.5ms,3.95ms
2025-08-04 12:47:59.706074,metric,44Mbps,379kbps,51,1400,600,0,0,49,0,1,0.0933,0,0,1,15usec,45usec,801.6,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,12,1.0,22,44Mbps,1287,113,8%,2.26M,68816,,34.1,-3.5,1,27,380kbps,56,0,0%,392,0,49,0,0,0,0,0,-0.29600006,223ns,n/a,7,4.49ms,4.5ms,4.24ms,4.04ms,4.5ms,3.94ms
2025-08-04 12:48:00.706176,metric,43Mbps,339kbps,51,1400,600,0,0,49,0,1,0.0833,0,0,1,15usec,52usec,937.16,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,12,1.0,22,43Mbps,1256,144,10%,2.21M,68900,0.998996,34.3,-3.3,1,27,339kbps,50,0,0%,350,0,50,0,0,0,0,0,-0.29600006,229ns,n/a,7,4.49ms,4.5ms,4.2ms,4.04ms,4.5ms,3.95ms
2025-08-04 12:48:01.706111,metric,43Mbps,368kbps,51,1400,600,0,0,49,0,1,0.0883,0,0,1,15usec,50usec,1019.16,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4603,1,12,1.0,22,43Mbps,1249,151,10%,2.22M,68809,0.9890212,33.9,-3.3,1,27,369kbps,52,1,1%,403,0,50,0,0,0,0,0,-0.39500007,192ns,n/a,7,4.48ms,4.5ms,4.25ms,4.05ms,4.5ms,3.94ms
2025-08-04 12:48:02.706089,metric,43Mbps,366kbps,51,1400,600,0,0,49,0,1,0.09,0,0,1,15usec,43usec,85.16,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,12,1.0,22,43Mbps,1265,135,9%,2.31M,68847,,34.3,-3.3,1,27,366kbps,54,0,0%,378,0,50,0,0,0,0,0,-0.39500007,181ns,n/a,7,4.48ms,4.5ms,4.25ms,4.04ms,4.5ms,3.95ms
2025-08-04 12:48:03.706207,metric,45Mbps,373kbps,51,1400,600,0,0,49,0,1,0.0917,0,0,1,15usec,51usec,205.16,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,12,1.0,23,45Mbps,1274,126,9%,2.39M,68869,,34.2,-3.4,1,27,373kbps,55,0,0%,385,0,48,0,0,0,0,0,-0.39500007,188ns,n/a,7,4.47ms,4.5ms,4.25ms,4.01ms,4.5ms,3.95ms
2025-08-04 12:48:04.706106,metric,45Mbps,339kbps,51,1400,600,0,0,49,0,1,0.0833,0,0,1,15usec,50usec,312.4,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,12,1.0,23,45Mbps,1266,134,9%,2.31M,68848,,34.3,-3.4,1,27,339kbps,50,0,0%,350,198,50,0,0,0,0,0,-0.39500007,196ns,n/a,7,4.46ms,4.5ms,4.18ms,4.02ms,4.5ms,3.94ms
2025-08-04 12:48:05.706107,metric,42Mbps,359kbps,51,1400,600,0,0,49,0,1,0.0883,0,0,1,15usec,58usec,399.16,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,12,1.0,22,42Mbps,1269,131,9%,2.25M,68768,,34.4,-3.5,1,27,360kbps,53,0,0%,371,384,50,0,0,0,0,0,-0.39500007,205ns,n/a,7,4.49ms,4.5ms,4.25ms,4.05ms,4.5ms,3.95ms
2025-08-04 12:48:06.706087,metric,42Mbps,345kbps,51,1400,600,0,0,49,0,1,0.085,0,0,1,15usec,51usec,541.16,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,12,1.0,22,42Mbps,1259,141,10%,2.25M,68869,1.0121802,34.1,-3.4,1,27,346kbps,51,0,0%,357,0,50,0,0,0,0,0,-0.39500007,209ns,n/a,7,4.49ms,4.5ms,4.25ms,4.05ms,4.5ms,3.95ms
2025-08-04 12:48:07.706090,metric,42Mbps,366kbps,51,1400,600,0,0,49,0,1,0.09,0,0,1,15usec,77usec,650.16,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,12,1.0,22,42Mbps,1254,146,10%,2.26M,68869,0.9881889,34.4,-3.4,1,27,366kbps,54,0,0%,378,0,50,0,0,0,0,0,-0.39500007,215ns,n/a,7,4.48ms,4.5ms,4.17ms,4.02ms,4.5ms,3.95ms
2025-08-04 12:48:08.706120,metric,43Mbps,402kbps,51,1400,600,0,0,49,0,1,0.0983,0,0,1,15usec,46usec,667.3,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4603,1,12,1.0,22,43Mbps,1272,128,9%,2.21M,68914,1.1242203,34.0,-3.3,1,27,402kbps,59,0,0%,415,0,48,0,0,0,0,0,-0.39500007,224ns,n/a,7,4.47ms,4.5ms,4.19ms,4ms,4ms,3.94ms
2025-08-04 12:48:09.706088,metric,44Mbps,345kbps,51,1393,597,0,5,48,0,0.985,0.0871,0,0,1,15usec,41usec,763.0,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,12,1.0,23,44Mbps,1228,143,10%,2.19M,67398,,32.4,-4.4,1,27,346kbps,51,1,1%,364,0,49,1,0,0,1,0,-0.49400008,229ns,n/a,7,4.49ms,4.5ms,4.17ms,3.95ms,4.5ms,3.94ms
2025-08-04 12:48:10.706105,metric,45Mbps,373kbps,51,1400,600,0,0,49,0,1,0.0917,0,0,1,15usec,68usec,860.4,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,12,1.0,23,45Mbps,1260,140,10%,2.27M,68837,1.0032694,34.1,-3.3,1,27,373kbps,55,0,0%,385,0,49,1,0,0,0,0,-0.49400008,209ns,n/a,7,4.44ms,4.5ms,4.18ms,3.98ms,4.5ms,3.94ms
2025-08-04 12:48:11.706053,metric,44Mbps,373kbps,51,1400,600,0,0,49,0,1,0.0917,0,0,1,15usec,48usec,998.12,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,12,1.0,23,44Mbps,1241,159,11%,2.35M,68830,0.86726344,34.5,-3.5,1,27,373kbps,55,0,0%,385,0,48,0,0,0,0,0,-0.49400008,181ns,n/a,7,4.49ms,4.5ms,4.24ms,4.03ms,4.5ms,3.95ms
