# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=100,gain=60,cFreq=3414100000.0,PW=5e-05,T=20,bw=1000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"info","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"warning","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,dl_olla,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_dl_olla,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr,ID,Transfer,Bitrate,Retr,Cwnd
2025-06-03 13:32:28.786036,51,1399,600,0,9,49,0,0.996,0.103,0,0,1,14usec,474usec,110.16,40Mbps,441kbps,4.5ms,5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,12,1.0,21,40Mbps,1233,140,10%,1.71M,68722,32.8,-0.0,1,27,441kbps,61,0,0%,462,74,29,8,6,0,1,0,-0.099000014,156ns,n/a,0,4.5ms,5ms,4.25ms,4.49ms,12ms,3.94ms,0.6779219,0,4601,-108.0,-11.5,16.5,6.0,4.62,38.8,0.0,2.29
2025-06-03 13:32:29.786065,51,1400,600,0,0,49,0,1,0.1,0,0,1,13usec,38usec,189.3,45Mbps,413kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,12,1.0,22,45Mbps,1302,98,7%,1.97M,69111,32.8,ovl,1,27,414kbps,60,0,0%,427,0,36,0,0,0,0,0,-0.099000014,142ns,n/a,1,4.46ms,4.5ms,4.23ms,4.02ms,4.5ms,3.94ms,1.004925,0,4601,-105.0,-10.5,18.0,6.0,4.88,40.9,0.0,2.36
2025-06-03 13:32:30.785996,51,1400,600,0,0,49,0,1,0.085,0,0,1,13usec,42usec,318.3,42Mbps,350kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,12,1.0,21,42Mbps,1269,131,9%,2.17M,69083,33.1,-0.0,1,27,351kbps,51,0,0%,362,0,45,0,0,0,0,0,-0.099000014,149ns,n/a,0,4.47ms,4.5ms,4.25ms,4.04ms,4.5ms,3.94ms,,0,4601,-105.0,-11.0,17.5,6.0,4.75,39.8,0.0,2.36
2025-06-03 13:32:31.785997,51,1400,600,0,0,49,0,1,0.085,0,0,1,13usec,82usec,435.10,42Mbps,345kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,12,1.0,21,42Mbps,1272,128,9%,2.27M,69100,33.0,ovl,1,27,346kbps,51,0,0%,357,0,46,0,0,0,0,0,-0.099000014,157ns,n/a,0,4.46ms,4.5ms,4.24ms,4.02ms,4.5ms,3.94ms,0.9899484,0,4601,-106.0,-11.0,17.5,6.0,4.75,39.8,0.0,2.36
2025-06-03 13:32:32.785919,51,1400,600,0,0,49,0,1,0.0817,0,0,1,13usec,40usec,509.15,42Mbps,332kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,12,1.0,21,42Mbps,1268,132,9%,2.37M,69121,32.9,ovl,1,27,332kbps,49,0,0%,343,0,46,0,0,0,0,0,-0.099000014,182ns,n/a,1,4.47ms,4.5ms,4.24ms,4.02ms,4.5ms,3.94ms,,0,4601,-105.0,-11.0,17.5,6.0,4.75,39.8,0.0,2.36
2025-06-03 13:32:33.785992,51,1400,600,0,0,49,0,1,0.0817,0,0,1,13usec,56usec,655.17,42Mbps,325kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,12,1.0,21,42Mbps,1279,121,8%,2.12M,69132,31.1,-1.2,1,27,326kbps,48,1,2%,343,0,48,2,0,0,1,0,-0.19800003,377ns,n/a,1,4.46ms,4.5ms,4.29ms,4ms,4ms,3.94ms,0.99894524,0,4601,-106.0,-11.0,18.0,6.0,4.75,39.8,0.0,2.36
2025-06-03 13:32:34.785941,51,1400,600,0,0,49,0,1,0.0833,0,0,1,13usec,33usec,713.16,42Mbps,339kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,11,1.0,21,42Mbps,1273,127,9%,2.24M,69100,32.1,ovl,1,27,339kbps,50,0,0%,350,0,47,0,0,0,0,0,-0.19800003,383ns,n/a,0,4.48ms,4.5ms,4.26ms,4.05ms,4.5ms,3.94ms,0.9909597,0,4601,-106.0,-11.0,17.5,6.0,4.88,40.9,0.0,2.36
2025-06-03 13:32:35.785976,51,1400,600,0,0,49,0,1,0.0833,0,0,1,13usec,38usec,850.4,42Mbps,339kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,12,1.0,21,42Mbps,1278,122,8%,2.17M,69121,32.1,ovl,1,27,339kbps,50,0,0%,350,0,46,0,0,0,0,0,-0.19800003,341ns,n/a,1,4.48ms,4.5ms,4.29ms,4.02ms,4.5ms,3.94ms,,0,4601,-106.0,-11.0,17.5,6.0,4.62,38.8,0.0,2.36
2025-06-03 13:32:36.786011,51,1400,600,0,0,49,0,1,0.0817,0,0,1,13usec,39usec,900.7,42Mbps,332kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,11,1.0,21,42Mbps,1277,123,8%,2.18M,69142,33.0,ovl,1,27,332kbps,49,0,0%,343,0,45,0,0,0,0,0,-0.19800003,167ns,n/a,0,4.46ms,4.5ms,4.21ms,4ms,4ms,3.94ms,1.0619888,0,4601,-106.0,-11.0,16.5,6.0,4.75,39.8,0.0,2.36
2025-06-03 13:32:37.785866,51,1400,600,0,0,49,0,1,0.085,0,0,1,13usec,38usec,14.5,41Mbps,345kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,12,1.0,21,41Mbps,1263,137,9%,2.22M,69090,33.1,ovl,1,27,346kbps,51,0,0%,357,0,50,0,0,0,0,0,-0.19800003,141ns,n/a,1,4.45ms,4.5ms,4.27ms,4.03ms,4.5ms,3.94ms,0.9689921,0,4601,-105.0,-11.0,17.5,6.0,4.75,39.8,0.0,2.36
