# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=500,gain=30,cFreq=3407100000.0,PW=0.00045000000000000004,T=20,bw=2000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"debug","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"info","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,max_pusch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,avg_pucch_harq_delay,dl_olla,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_max_pusch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_dl_olla,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr,ID,Transfer,Bitrate,Retr,Cwnd
2025-06-06 03:51:22.414304,51,1400,600,0,0,49,0,1,0.112,0,0,1,13usec,35usec,131.15,47Mbps,474kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,23,47Mbps,1336,64,4%,1.38M,69055,32.0,-0.1,1,27,474kbps,67,0,0%,489,0,32,0,0,0,0,0,-0.099000014,187ns,n/a,0,4.46ms,4.5ms,4.26ms,4.02ms,3.95ms,,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,1.71
2025-06-06 03:51:23.414371,51,1400,600,0,0,49,0,1,0.102,0,0,1,14usec,43usec,227.16,47Mbps,421kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,13,1.0,24,47Mbps,1283,117,8%,1.39M,69101,32.1,-0.0,1,27,422kbps,61,0,0%,435,0,34,0,0,0,0,0,-0.099000014,141ns,n/a,0,4.47ms,4.5ms,4.32ms,4.07ms,3.95ms,0.70493805,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,1.71
2025-06-06 03:51:24.414318,51,1400,600,0,0,49,0,1,0.102,0,0,1,13usec,38usec,364.4,47Mbps,418kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,13,1.0,24,47Mbps,1267,133,9%,1.32M,69062,32.2,-0.0,1,27,419kbps,61,0,0%,432,0,34,0,0,0,0,0,-0.099000014,145ns,n/a,0,4.44ms,4.5ms,4.22ms,4.01ms,3.95ms,0.5789298,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,1.71
2025-06-06 03:51:25.414314,51,1400,600,0,0,49,0,1,0.095,0,0,1,13usec,37usec,391.16,47Mbps,394kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,24,47Mbps,1273,127,9%,1.34M,69132,32.1,-0.0,1,27,394kbps,57,0,0%,407,1.04k,36,0,0,0,0,0,-0.099000014,154ns,n/a,0,4.46ms,4.5ms,4.23ms,4.03ms,3.95ms,0.5089214,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,1.71
2025-06-06 03:51:26.414349,51,1400,600,0,0,49,0,1,0.0917,0,0,1,13usec,34usec,490.3,47Mbps,381kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,13,1.0,24,47Mbps,1253,147,10%,1.37M,69006,32.2,-0.0,1,27,382kbps,55,0,0%,394,745,37,0,0,0,0,0,-0.099000014,159ns,n/a,0,4.46ms,4.5ms,4.26ms,4.02ms,3.95ms,0.21291387,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,1.71
2025-06-06 03:51:27.414319,51,1400,600,0,0,49,0,1,0.095,0,0,1,13usec,36usec,588.3,47Mbps,400kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,13,1.0,24,47Mbps,1265,135,9%,1.44M,69010,31.7,-0.1,1,27,401kbps,57,0,0%,413,745,32,0,0,0,0,0,-0.099000014,229ns,n/a,0,4.48ms,4.5ms,4.32ms,4.02ms,3.94ms,0.164904,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,1.71
2025-06-06 03:51:28.414420,51,1400,600,0,0,49,0,1,0.105,0,0,1,13usec,48usec,698.10,50Mbps,427kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,24,50Mbps,1349,51,3%,1.07M,69100,31.3,ovl,1,27,427kbps,63,0,0%,441,0,35,0,0,0,0,0,-0.099000014,380ns,n/a,0,4.44ms,4.5ms,4.3ms,4.02ms,3.94ms,0.9048897,0,4601,-104.0,-10.5,18.5,6.0,896.0,44.9,0.0,1.71
2025-06-06 03:51:29.414280,51,1400,600,0,0,15,0,0.317,0.0333,0,0,1,9usec,39usec,872.3,15Mbps,129kbps,4.5ms,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4ms,,,,4601,1,12,1.0,24,15Mbps,414,39,8%,0,21513,31.4,ovl,1,27,130kbps,20,0,0%,134,0,19,0,0,0,0,0,-0.099000014,376ns,n/a,0,4.5ms,4.5ms,4.28ms,4ms,3.95ms,0.9218853,0,4601,-104.0,-10.5,18.0,,,,,
2025-06-06 03:51:30.414226,51,1400,600,0,0,0,0,0.00714,0.005,0,0,1,8usec,27usec,878.5,13kbps,14kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,12,1.0,22,13kbps,9,1,10%,0,20,32.2,ovl,1,27,15kbps,3,0,0%,15,0,3,0,0,0,0,0,-0.099000014,309ns,n/a,1,4.5ms,4.5ms,4.5ms,n/a,4.04ms,0.9208852,0,4601,-104.0,-10.5,18.5,,,,,
2025-06-06 03:51:31.414329,51,1400,600,0,0,0,0,0.00143,0.00333,0,0,1,7usec,26usec,4.0,2.0kbps,9.0kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,n/a,,,,4601,1,9,1.0,16,2.1kbps,2,0,0%,0,4,33.6,ovl,1,27,9.7kbps,2,0,0%,10,0,2,0,0,0,0,0,-0.099000014,135ns,n/a,1,4.5ms,4.5ms,4.5ms,n/a,4ms,0.9228852,0,4601,-108.0,-10.5,14.5,,,,,
