# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"debug","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"info","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,total_dl_brate,total_ul_brate,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,max_crc_delay,max_ce_delay,max_pucch_harq_delay,max_pusch_harq_delay,pci,rnti,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,avg_pucch_harq_delay,events,slot,type,prf,gain,cFreq,PW,T,bw,sampRate,ue_total_dl_brate,ue_total_ul_brate,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_max_pusch_harq_delay,ue_pci,ue_rnti,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_prf,ue_gain,ue_cFreq,ue_PW,ue_T,ue_bw,ue_sampRate,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr,ID,Transfer,Bitrate,Retr,Cwnd
2025-06-06 16:46:02.149020,8.6Mbps,339kbps,51,1400,600,0,100,49,0,1,0.0833,0,0,1,14usec,45usec,296.6,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,1,461b,3,1.0,5,8.6Mbps,1174,126,9%,333k,69121,,29.6,-10.9,1,27,339kbps,50,0,0%,350,0,50,0,0,0,0,0,-5,148ns,n/a,-10,4.48ms,4.5ms,4.28ms,4.06ms,3.92ms,,,,,,,,,,,18,461b,-123.0,-14.5,0.5,6.0,2.12,17.8,0.0,487.0
2025-06-06 16:46:03.149017,8.4Mbps,339kbps,51,1399,600,0,100,49,0,1,0.0833,0,0,1,13usec,41usec,437.15,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,1,461b,3,1.0,4,8.4Mbps,1167,133,10%,392k,69081,0.8229404,29.5,-10.8,1,27,339kbps,50,0,0%,350,0,50,0,0,0,0,0,-5,155ns,n/a,-10,4.49ms,4.5ms,4.29ms,4.04ms,3.91ms,,,,,,,,,,,18,461b,-123.0,-14.5,0.5,6.0,2.0,16.8,0.0,583.0
2025-06-06 16:46:04.148913,7.9Mbps,339kbps,51,1400,600,0,100,49,0,1,0.0833,0,0,1,14usec,42usec,496.15,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,1,461b,3,1.0,4,7.9Mbps,1199,101,7%,438k,68933,0.9709294,29.6,-10.6,1,27,339kbps,50,0,0%,350,0,50,7,2,0,0,0,-5,165ns,n/a,-10,4.49ms,4.5ms,4.31ms,4.05ms,3.91ms,,,,,,,,,,,18,461b,-123.0,-14.5,0.5,6.0,1.75,14.7,0.0,666.0
2025-06-06 16:46:05.149019,7.9Mbps,332kbps,51,1400,600,0,100,49,0,1,0.0833,0,0,1,12usec,39usec,631.6,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,1,461b,3,1.0,4,7.9Mbps,1188,112,8%,487k,69041,1.0129194,29.8,-10.1,1,27,332kbps,49,0,0%,350,0,49,0,0,0,0,0,-5,171ns,n/a,-12,4.48ms,4.5ms,4.3ms,4.02ms,3.91ms,,,,,,,,,,,18,461b,-124.0,-15.0,-1.0,6.0,1.88,15.7,0.0,753.0
2025-06-06 16:46:06.148902,8.7Mbps,332kbps,51,1400,600,0,100,49,0,1,0.08,0,0,1,13usec,36usec,683.6,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,1,461b,3,1.0,4,8.7Mbps,1183,117,9%,543k,69101,0.99693835,29.6,-10.5,1,27,332kbps,49,0,0%,336,0,49,0,0,0,0,0,-5,178ns,n/a,-9,4.45ms,4.5ms,4.22ms,4.02ms,3.91ms,,,,,,,,,,,18,461b,-122.0,-14.5,1.0,6.0,1.88,15.7,0.0,842.0
2025-06-06 16:46:07.148942,8.2Mbps,332kbps,51,1400,600,0,100,49,0,1,0.0833,0,0,1,12usec,52usec,840.16,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,1,461b,3,1.0,4,8.3Mbps,1180,120,9%,660k,69090,0.9599432,29.1,-11.4,1,27,332kbps,49,0,0%,350,0,49,1,0,0,0,0,-5,186ns,n/a,-9,4.49ms,4.5ms,4.22ms,4.02ms,3.91ms,,,,,,,,,,,18,461b,-123.0,-15.0,1.0,6.0,2.0,16.8,0.0,935.0
2025-06-06 16:46:08.148965,8.3Mbps,325kbps,51,1400,600,0,100,49,0,1,0.0783,0,0,1,12usec,49usec,950.3,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,1,461b,3,1.0,5,8.3Mbps,1123,177,13%,829k,69070,0.38495266,29.1,-11.4,1,27,326kbps,48,0,0%,329,0,48,0,0,0,0,0,-5,194ns,n/a,-8,4.45ms,4.5ms,4.25ms,4.03ms,3.91ms,,,,,,,,,,,18,461b,-123.0,-14.5,1.0,6.0,1.88,15.7,0.0,1.04
2025-06-06 16:46:09.148954,9.0Mbps,339kbps,51,1400,600,0,100,49,0,1,0.0833,0,0,1,13usec,38usec,995.15,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,1,461b,3,1.0,5,9.0Mbps,1233,67,5%,1.02M,69041,,29.1,-11.8,1,27,339kbps,50,0,0%,350,0,50,0,0,0,0,0,-5,147ns,n/a,-7,4.48ms,4.5ms,4.26ms,4.01ms,3.91ms,,,,,,,,,,,18,461b,-122.0,-15.5,1.5,6.0,1.75,14.7,0.0,1.24
2025-06-06 16:46:10.148981,11Mbps,339kbps,51,1400,600,0,100,49,0,1,0.085,0,0,1,13usec,39usec,102.16,4.5ms,4.5ms,4ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4ms,1,461b,4,1.0,6,11Mbps,1194,106,8%,1.29M,68945,0.9649483,29.4,-10.7,1,27,339kbps,50,0,0%,357,0,50,0,0,0,0,0,-5,146ns,n/a,-6,4.48ms,4.5ms,4.27ms,4ms,3.92ms,,,,,,,,,,,18,461b,-121.0,-14.5,3.5,6.0,896.0,7.34,0.0,1.44
2025-06-06 16:46:11.148897,11Mbps,325kbps,51,1400,600,0,100,49,0,1,0.0783,0,0,1,13usec,40usec,218.4,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,1,461b,4,1.0,6,11Mbps,1183,117,9%,1.55M,68893,,29.4,-10.9,1,27,326kbps,48,0,0%,329,0,44,0,0,0,0,0,-5,152ns,n/a,-6,4.5ms,4.5ms,4.4ms,4.01ms,3.91ms,,,,,,,,,,,18,461b,-121.0,-15.0,2.5,6.0,1.0,8.39,0.0,1.72
