# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=400,gain=60,cFreq=3408100000.0,PW=0.0001,T=20,bw=2000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"info","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"info","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,max_pucch_harq_delay,events,slot,type,pci,rnti,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,max_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,total_ul_brate,max_ce_delay,ul_olla,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_pci,ue_rnti,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_max_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_total_ul_brate,ue_max_ce_delay,ue_ul_olla,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr,ID,Transfer,Bitrate,Retr,Cwnd
2025-06-05 15:04:33.776721,51,561,243,0,0,0,0,0,0,0,0,0,1usec,223usec,159.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05 15:04:34.776820,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,240.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05 15:04:35.776722,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,367.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05 15:04:36.776763,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,477.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05 15:04:37.776783,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,529.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05 15:04:38.776772,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,20usec,635.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05 15:04:39.776807,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,737.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05 15:04:40.776769,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,870.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05 15:04:41.776798,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,14usec,975.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05 15:04:42.776735,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,35.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05 15:04:43.776816,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,16usec,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05 15:04:44.776838,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,16usec,191.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05 15:04:45.776745,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,351.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05 15:04:46.776827,51,1400,600,1,0,0,0,0.000714,0.00333,0,0,1,3usec,22usec,471.9,2.0kbps,4ms,0x4601,473.7,ue_create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ms,,,,1,4601,3,1.0,7,2.5kbps,1,0,0%,0,23,0,n/a,n/a,1,0,0bps,0,0,0%,0,0,0,0,0,0,0,0,167ns,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4ms,,,,0,4601,-107.0,-10.5,17.0,,,,,
2025-06-05 15:04:47.776714,51,1400,600,0,0,0,2,0.01,0.145,0,0,1,8usec,32usec,484.0,33kbps,4.5ms,0x4601,477.19,ue_reconf,,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,1.3Mbps,4.5ms,,,,,,,,,,,,,,,,,,4.5ms,,,,1,4601,13,1.0,14,33kbps,14,0,0%,0,92,0.0060000005,31.0,-2.6,1,27,1.3Mbps,83,4,4%,1515,2.01k,5,0,0,1,0,0,153ns,n/a,-3,4.5ms,4.5ms,4.47ms,4.5ms,4.12ms,4.5ms,4.06ms,,,-0.39400005,0,4601,-104.0,-10.5,18.0,6.0,5.46,45.8,0.0,440.0
2025-06-05 15:04:48.776928,51,1400,600,0,0,23,2,0.493,0.165,0,0,1,11usec,48usec,638.0,21Mbps,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,1.6Mbps,4.5ms,,,,,,,,,,,,,,,,,,4ms,,,,1,4601,12,1.0,21,21Mbps,666,15,2%,178k,33191,0.4609976,32.1,-2.5,1,27,1.6Mbps,99,0,0%,1665,276,1,0,0,0,0,0,153ns,n/a,0,4.5ms,4.5ms,4.44ms,4.5ms,4.06ms,4.5ms,3.95ms,,,-0.39400005,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,667.0
2025-06-05 15:04:49.776836,51,1400,600,0,0,49,0,1,0.095,0,0,1,13usec,44usec,710.15,48Mbps,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,394kbps,4.5ms,,,,,,,,,,,,,,,,,,4.5ms,,,,1,4601,13,1.0,23,48Mbps,1327,73,5%,398k,69063,0.99998224,32.2,-0.0,1,27,394kbps,57,0,0%,407,0,38,0,0,0,0,0,181ns,n/a,0,4.49ms,4.5ms,4.21ms,4.5ms,4.01ms,4.5ms,3.94ms,,,-0.39400005,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,815.0
2025-06-05 15:04:50.776808,51,1400,600,0,0,49,0,1,0.1,0,0,1,13usec,36usec,833.15,46Mbps,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,423kbps,4.5ms,,,,,,,,,,,,,,,,,,4ms,,,,1,4601,12,1.0,23,46Mbps,1266,134,9%,524k,69058,0.92800444,31.4,-0.1,1,27,424kbps,60,0,0%,437,74,32,0,0,0,0,0,379ns,n/a,0,4.45ms,4.5ms,4.25ms,4.5ms,4.01ms,4.5ms,3.94ms,,,-0.39400005,0,4601,-104.0,-10.5,18.5,6.0,5.25,44.0,0.0,896.0
2025-06-05 15:04:51.776819,51,1400,600,0,0,49,0,1,0.107,0,0,1,13usec,41usec,905.16,46Mbps,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,447kbps,4.5ms,,,,,,,,,,,,,,,,,,4ms,,,,1,4601,12,1.0,23,46Mbps,1275,125,8%,627k,69122,0.9760192,31.5,-0.0,1,27,448kbps,64,0,0%,462,74,34,0,0,0,0,0,387ns,n/a,0,4.48ms,4.5ms,4.24ms,4.5ms,4.01ms,4.5ms,3.95ms,,,-0.39400005,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,1010.0
2025-06-05 15:04:52.776802,51,1400,600,0,0,49,0,1,0.105,0,0,1,13usec,43usec,37.16,46Mbps,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,434kbps,4.5ms,,,,,,,,,,,,,,,,,,4ms,,,,1,4601,13,1.0,23,46Mbps,1266,134,9%,770k,69102,,32.1,-0.0,1,27,434kbps,63,0,0%,448,0,32,0,0,0,0,0,196ns,n/a,0,4.47ms,4.5ms,4.22ms,4.5ms,4.03ms,4.5ms,3.94ms,,,-0.39400005,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,25.0,762.0
