# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=200,gain=60,cFreq=3406100000.0,PW=5e-05,T=20,bw=1000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"info","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"warning","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,max_pusch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,avg_pucch_harq_delay,dl_olla,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_max_pusch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_dl_olla,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr,ID,Transfer,Bitrate,Retr,Cwnd
2025-06-03 03:31:01.174033,51,1400,600,0,0,49,0,1,0.123,0,0,1,13usec,50usec,163.16,38Mbps,532kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,10,1.0,18,38Mbps,1391,9,0%,1.91M,69163,32.2,-0.2,1,27,533kbps,74,0,0%,550,198,21,0,1,0,0,0,-0.29600006,371ns,n/a,2,4.46ms,4.5ms,4.24ms,4.01ms,3.94ms,1.3109361,0,4601,-105.0,-10.5,18.0,6.0,4.75,39.8,0.0,2.23
2025-06-03 03:31:02.174124,51,1400,600,0,0,49,0,1,0.0883,0,0,1,13usec,43usec,231.15,41Mbps,359kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,12,1.0,22,41Mbps,1237,163,11%,2.16M,69017,32.4,-0.0,1,27,360kbps,53,0,0%,371,0,45,0,0,0,0,0,-0.29600006,386ns,n/a,1,4.46ms,4.5ms,4.31ms,4.03ms,3.94ms,0.97396207,0,4601,-105.0,-11.5,7.0,6.0,5.0,41.9,0.0,2.35
2025-06-03 03:31:03.173999,51,1400,600,0,0,49,0,1,0.085,0,0,1,13usec,39usec,331.16,43Mbps,345kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,12,1.0,22,43Mbps,1272,128,9%,2.17M,68988,32.5,ovl,1,27,346kbps,51,0,0%,357,0,49,0,0,0,0,0,-0.29600006,293ns,n/a,1,4.43ms,4.5ms,4.24ms,4.02ms,3.94ms,0.9529479,0,4601,-106.0,-11.0,9.5,6.0,4.75,39.8,0.0,2.35
2025-06-03 03:31:04.174005,51,1400,600,0,0,49,0,1,0.0833,0,0,1,13usec,75usec,400.3,43Mbps,339kbps,4.5ms,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4ms,,,,4601,1,12,1.0,22,43Mbps,1274,126,9%,2.15M,69027,33.2,ovl,1,27,339kbps,50,0,0%,350,0,49,0,0,0,0,0,-0.29600006,159ns,n/a,1,4.45ms,4.5ms,4.23ms,4ms,3.94ms,,0,4601,-106.0,-11.0,11.0,6.0,4.88,40.9,0.0,2.35
2025-06-03 03:31:05.173938,51,1400,600,0,0,49,0,1,0.0833,0,0,1,13usec,37usec,550.11,43Mbps,339kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,12,1.0,22,43Mbps,1276,124,8%,2.38M,69058,33.3,ovl,1,27,339kbps,50,0,0%,350,0,50,0,0,0,0,0,-0.29600006,139ns,n/a,1,4.46ms,4.5ms,4.22ms,4.03ms,3.93ms,,0,4601,-106.0,-11.0,10.0,6.0,5.0,41.9,0.0,2.35
2025-06-03 03:31:06.174052,51,1400,600,0,0,49,0,1,0.0833,0,0,1,13usec,40usec,666.16,43Mbps,339kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,12,1.0,22,43Mbps,1266,134,9%,2.12M,69006,33.2,ovl,1,27,339kbps,50,0,0%,350,0,49,0,0,0,0,0,-0.29600006,147ns,n/a,1,4.49ms,4.5ms,4.22ms,4.01ms,3.94ms,,0,4601,-106.0,-11.5,7.0,6.0,4.75,39.8,0.0,2.35
2025-06-03 03:31:07.173998,51,1400,600,0,0,49,0,1,0.0833,0,0,1,13usec,38usec,747.6,43Mbps,339kbps,4.5ms,4.5ms,4ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4ms,,,,4601,1,12,1.0,22,43Mbps,1272,128,9%,2.24M,69037,33.2,ovl,1,27,339kbps,50,0,0%,350,0,50,0,0,0,0,0,-0.29600006,155ns,n/a,1,4.46ms,4.5ms,4.24ms,4ms,3.94ms,0.9558921,0,4601,-106.0,-12.0,4.0,6.0,5.0,41.9,0.0,2.35
2025-06-03 03:31:08.173941,51,1400,600,0,0,49,0,1,0.0833,0,0,1,13usec,34usec,789.6,43Mbps,339kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,12,1.0,22,43Mbps,1275,125,8%,2.23M,69037,32.9,ovl,1,27,339kbps,50,0,0%,350,0,49,0,0,0,0,0,-0.29600006,214ns,n/a,1,4.49ms,4.5ms,4.34ms,4.05ms,3.93ms,,0,4601,-106.0,-13.0,2.0,6.0,4.75,39.8,0.0,2.35
2025-06-03 03:31:09.173975,51,1400,600,0,0,49,0,1,0.0867,0,0,1,13usec,38usec,910.6,43Mbps,352kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,12,1.0,22,43Mbps,1266,134,9%,2.25M,69058,32.2,ovl,1,27,353kbps,52,0,0%,364,0,47,0,0,0,0,0,-0.29600006,376ns,n/a,1,4.45ms,4.5ms,4.26ms,4.02ms,3.94ms,,0,4601,-105.0,-13.5,0.5,6.0,5.0,41.9,0.0,2.35
2025-06-03 03:31:10.173863,51,1400,600,0,0,49,0,1,0.085,0,0,1,13usec,41usec,1015.6,43Mbps,345kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,12,1.0,22,43Mbps,1270,130,9%,2.27M,69069,32.2,-0.0,1,27,346kbps,51,0,0%,357,0,48,0,0,0,0,0,-0.29600006,383ns,n/a,1,4.46ms,4.5ms,4.25ms,4.03ms,3.94ms,,0,4601,-106.0,-13.5,0.5,6.0,4.75,39.8,0.0,2.35
