# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=450,gain=60,cFreq=3414100000.0,PW=0.00030000000000000003,T=20,bw=2000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"info","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"info","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,events,slot,type,pci,rnti,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,max_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,max_pucch_harq_delay,total_dl_brate,total_ul_brate,max_ce_delay,ul_olla,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_events,ue_slot,ue_type,ue_pci,ue_rnti,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_max_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_max_pucch_harq_delay,ue_total_dl_brate,ue_total_ul_brate,ue_max_ce_delay,ue_ul_olla,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr,ID,Transfer,Bitrate,Retr,Cwnd
2025-06-05 22:29:32.673979,51,1400,600,0,0,49,0,1,0.107,0,0,1,13usec,39usec,211.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,4.5ms,44Mbps,450kbps,4.5ms,,,,,,,,,,,,,,,,,,,,1,4601,13,1.0,23,44Mbps,1243,157,11%,628k,69084,0.101989575,32.5,-0.1,1,27,450kbps,63,0,0%,472,276,32,0,0,0,0,0,160ns,n/a,0,4.48ms,4.5ms,4.22ms,4.5ms,4ms,4ms,3.95ms,4.5ms,,,,0,0,4601,-104.0,-10.5,18.0,6.0,5.38,45.1,0.0,1018.0
2025-06-05 22:29:33.673916,51,1400,600,0,0,49,0,1,0.1,0,0,1,13usec,41usec,325.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4ms,47Mbps,419kbps,4.5ms,,,,,,,,,,,,,,,,,,,,1,4601,13,1.0,24,47Mbps,1285,115,8%,811k,69041,0.15698381,32.0,-0.0,1,27,420kbps,61,0,0%,426,535,33,0,0,0,0,0,296ns,n/a,0,4.48ms,4.5ms,4.25ms,4.5ms,4.04ms,4.5ms,3.94ms,4ms,,,,0,0,4601,-104.0,-10.5,18.5,6.0,5.25,44.0,0.0,1.05
2025-06-05 22:29:34.673953,51,1400,600,0,0,49,0,1,0.1,0,0,1,13usec,41usec,468.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4ms,47Mbps,410kbps,4.5ms,,,,,,,,,,,,,,,,,,,,1,4601,13,1.0,24,47Mbps,1264,136,9%,829k,68985,-0.020024963,31.5,-0.0,1,27,411kbps,60,0,0%,424,10,35,0,0,0,0,0,380ns,n/a,0,4.47ms,4.5ms,4.28ms,4.5ms,4.02ms,4.5ms,3.95ms,4ms,,,,0,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,1.05
2025-06-05 22:29:35.673949,51,1400,600,0,0,49,0,1,0.102,0,0,1,13usec,39usec,488.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,4ms,49Mbps,422kbps,4.5ms,,,,,,,,,,,,,,,,,,,,1,4601,13,1.0,24,49Mbps,1328,72,5%,569k,69062,,31.7,-0.0,1,27,423kbps,61,0,0%,436,0,35,0,0,0,0,0,358ns,n/a,0,4.49ms,4.5ms,4.3ms,4.5ms,4ms,4ms,3.95ms,4ms,,,,0,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,21.0,804.0
2025-06-05 22:29:36.673980,51,1400,600,0,0,49,0,1,0.0967,0,0,1,14usec,53usec,645.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4.5ms,46Mbps,404kbps,4.5ms,,,,,,,,,,,,,,,,,,,,1,4601,13,1.0,23,46Mbps,1256,144,10%,574k,69091,0.40295506,31.2,-1.1,1,27,404kbps,57,1,1%,424,0,30,4,0,0,1,0,214ns,n/a,0,4.46ms,4.5ms,4.3ms,4.5ms,4.07ms,4.5ms,3.96ms,4.5ms,,,,-0.099000014,0,4601,-104.0,-10.5,18.0,6.0,5.38,45.1,0.0,881.0
2025-06-05 22:29:37.674098,51,1400,600,0,0,49,0,1,0.107,0,0,1,13usec,55usec,747.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4ms,48Mbps,466kbps,4.5ms,,,,,,,,,,,,,,,,,,,,1,4601,13,1.0,23,48Mbps,1324,76,5%,714k,69030,0.92094046,32.4,-0.2,1,27,466kbps,64,0,0%,481,0,31,0,0,0,0,0,149ns,n/a,0,4.48ms,4.5ms,4.27ms,4.5ms,4.04ms,4.5ms,3.94ms,4ms,,,,-0.099000014,0,4601,-104.0,-10.5,18.0,6.0,5.38,45.1,0.0,953.0
2025-06-05 22:29:38.673975,51,1400,600,0,0,49,0,1,0.0967,0,0,1,13usec,40usec,829.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4.5ms,47Mbps,395kbps,4.5ms,,,,,,,,,,,,,,,,,,,,1,4601,13,1.0,24,47Mbps,1275,125,8%,708k,69111,0.9709467,32.4,-0.0,1,27,395kbps,58,0,0%,408,0,39,0,0,0,0,0,145ns,n/a,0,4.48ms,4.5ms,4.23ms,4.5ms,4.03ms,4.5ms,3.94ms,4.5ms,,,,-0.099000014,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,983.0
2025-06-05 22:29:39.674052,51,1400,600,0,0,49,0,1,0.0933,0,0,1,13usec,37usec,955.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4ms,47Mbps,391kbps,4.5ms,,,,,,,,,,,,,,,,,,,,1,4601,13,1.0,24,47Mbps,1278,122,8%,613k,69059,1.0599607,32.6,-0.1,1,27,392kbps,56,0,0%,404,0,37,0,0,0,0,0,150ns,n/a,0,4.45ms,4.5ms,4.26ms,4.5ms,4.01ms,4.5ms,3.94ms,4ms,,,,-0.099000014,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,1023.0
2025-06-05 22:29:40.673993,51,1400,600,0,0,49,0,1,0.0967,0,0,1,13usec,38usec,1006.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4ms,47Mbps,397kbps,4.5ms,,,,,,,,,,,,,,,,,,,,1,4601,13,1.0,23,47Mbps,1283,117,8%,647k,68971,1.1819742,32.5,-0.0,1,27,397kbps,58,0,0%,410,745,37,0,0,0,0,0,158ns,n/a,0,4.44ms,4.5ms,4.24ms,4.5ms,4.02ms,4.5ms,3.94ms,4ms,,,,-0.099000014,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,1.02
2025-06-05 22:29:41.674154,51,1400,600,0,0,49,0,1,0.0933,0,0,1,13usec,39usec,76.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4ms,46Mbps,379kbps,4.5ms,,,,,,,,,,,,,,,,,,,,1,4601,13,1.0,24,46Mbps,1246,154,11%,767k,69079,0.9339779,32.5,ovl,1,27,380kbps,56,0,0%,392,10,39,0,0,0,0,0,166ns,n/a,0,4.45ms,4.5ms,4.18ms,4.5ms,4.02ms,4.5ms,3.94ms,4ms,,,,-0.099000014,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,1.02
2025-06-05 22:29:42.674108,51,1400,600,0,0,49,0,1,0.09,0,0,1,13usec,38usec,229.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4ms,48Mbps,366kbps,4.5ms,,,,,,,,,,,,,,,,,,,,1,4601,13,1.0,24,48Mbps,1272,128,9%,728k,69080,,31.7,ovl,1,27,366kbps,54,0,0%,378,0,39,0,0,0,0,0,327ns,n/a,0,4.48ms,4.5ms,4.27ms,4.5ms,4.01ms,4.5ms,3.95ms,4ms,,,,-0.099000014,0,4601,-104.0,-10.5,18.5,6.0,128.0,29.4,0.0,1.02
2025-06-05 22:29:43.674010,51,1400,600,0,0,34,0,0.709,0.0717,0,0,1,11usec,36usec,255.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,4.5ms,34Mbps,285kbps,4.5ms,,,,,,,,,,,,,,,,,,,,1,4601,13,1.0,24,34Mbps,910,91,9%,0,48725,0.9869739,31.6,ovl,1,27,286kbps,43,0,0%,295,0,32,0,0,0,0,0,384ns,n/a,2,4.43ms,4.5ms,4.23ms,4.5ms,4ms,4ms,3.94ms,4.5ms,,,,-0.099000014,0,4601,-104.0,-10.5,18.5,,,,,
2025-06-05 22:29:44.674135,51,1400,600,0,0,0,0,0.00286,0.00333,0,0,1,8usec,26usec,439.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ms,,,,4ms,3.0kbps,9.0kbps,4.5ms,,,,,,,,,,,,,,,,,,,,1,4601,10,1.0,20,3.8kbps,3,1,25%,0,8,0.98097384,31.7,ovl,1,27,9.7kbps,2,0,0%,10,0,2,0,0,0,0,0,281ns,n/a,2,4.5ms,4.5ms,4ms,4ms,n/a,n/a,4ms,4ms,,,,-0.099000014,0,4601,-108.0,-10.5,16.0,,,,,
2025-06-05 22:29:45.673946,51,1400,600,0,0,0,0,0.00143,0.00667,0,0,1,8usec,30usec,470.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,4ms,2.0kbps,19kbps,4.5ms,,,,,,,,,,,,,,,,,,,,1,4601,9,1.0,16,2.1kbps,2,0,0%,0,4,0.9839738,33.5,ovl,1,27,19kbps,4,0,0%,20,0,4,0,0,0,0,0,137ns,n/a,2,4.5ms,4.5ms,4.5ms,4.5ms,n/a,n/a,4ms,4ms,,,,-0.099000014,0,4601,-108.0,-10.5,15.5,,,,,
