time,log_type,rnti,format,prb1,prb2,symb,cs,occ,ack,metric,sinr,t,bwp,n_id,slot,cp,ports,status,epre,rsrp,t_align,cfo,sr,prb,csi1,n_id0
2025-08-03 19:23:12.085125,PHY,0x4601,1,0,50,"[0,",0,0,1,7135.0,+26.7dB,20.6us,"[0,",1,423.17,normal,0,valid,-14.1dB,-14.0dB,na,na,,,,
2025-08-03 19:23:12.090184,PHY,0x4601,1,4,na,"[0,",0,0,,0.2,-18.2dB,16.6us,"[0,",1,424.7,normal,0,invalid,-46.6dB,-65.7dB,na,na,no,,,
2025-08-03 19:23:12.090354,CSI,0x4601,2,,na,"[4,",,,,,+30.7dB,26.1us,"[0,",1,424.8,normal,0,valid,-10.9dB,-10.9dB,-0.06us,-121.6Hz,,"[7,",0001,1
2025-08-03 19:23:12.110144,PHY,0x4601,1,4,na,"[0,",0,0,,15875.5,+27.7dB,14.8us,"[0,",1,426.7,normal,0,valid,-12.7dB,-12.8dB,na,na,yes,,,
2025-08-03 19:23:12.110399,CSI,0x4601,2,,na,"[4,",,,,,+33.3dB,13.3us,"[0,",1,426.8,normal,0,valid,-11.0dB,-11.0dB,-0.04us,-37.1Hz,,"[7,",1111,1
2025-08-03 19:23:12.130114,PHY,0x4601,1,4,na,"[0,",0,0,2,0.3,-19.0dB,26.5us,"[0,",1,428.7,normal,0,invalid,-47.4dB,-67.1dB,na,na,,,,
2025-08-03 19:23:12.130142,PHY,0x4601,1,0,na,"[0,",0,0,1,1408.9,+17.2dB,15.5us,"[0,",1,428.7,normal,0,valid,-13.4dB,-13.5dB,na,na,,,,
2025-08-03 19:23:12.130362,CSI,0x4601,2,,na,"[4,",,,,,+35.0dB,23.3us,"[0,",1,428.8,normal,0,valid,-11.3dB,-11.4dB,0.20us,-32.1Hz,,"[7,",1111,1
2025-08-03 19:23:12.135169,PHY,0x4601,1,0,na,"[0,",0,0,1,1388.5,+17.2dB,17.2us,"[0,",1,428.17,normal,0,valid,-13.3dB,-13.4dB,na,na,,,,
2025-08-03 19:23:12.150172,PHY,0x4601,1,4,na,"[0,",0,0,,1481.2,+17.4dB,19.9us,"[0,",1,430.7,normal,0,valid,-13.0dB,-13.1dB,na,na,yes,,,
2025-08-03 19:23:12.150412,CSI,0x4601,2,,na,"[4,",,,,,+34.0dB,16.6us,"[0,",1,430.8,normal,0,valid,-11.2dB,-11.2dB,0.18us,-67.2Hz,,"[7,",1111,1
2025-08-03 19:23:12.170122,PHY,0x4601,1,4,na,"[0,",0,0,2,0.2,-19.6dB,17.7us,"[0,",1,432.7,normal,0,invalid,-46.8dB,-67.2dB,na,na,,,,
2025-08-03 19:23:12.170142,PHY,0x4601,1,0,na,"[0,",0,0,1,1355.3,+17.1dB,15.3us,"[0,",1,432.7,normal,0,valid,-13.6dB,-13.7dB,na,na,,,,
