time,log_type,rnti,format,prb,prb2,symb,csi1,sinr,t,bwp,n_id,n_id0,slot,cp,ports,status,epre,rsrp,t_align,cfo,prb1,cs,occ,ack,metric,sr
2025-08-03 19:25:49.776111,CSI,0x4601,2,"[7,",na,"[4,",2222,-4.4dB,26.4us,"[0,",1,1,488.8,normal,0,invalid,-48.1dB,-53.7dB,0.11us,-8348.5Hz,,,,,,
2025-08-03 19:25:49.780831,PHY,0x4601,1,,50,"[0,",,+26.9dB,19.9us,"[0,",1,,488.17,normal,0,valid,-13.9dB,-13.7dB,na,na,0,0,0,1,7432.7,
2025-08-03 19:25:49.795824,PHY,0x4601,1,,na,"[0,",,+26.8dB,17.7us,"[0,",1,,490.7,normal,0,valid,-12.4dB,-12.4dB,na,na,4,0,0,,12764.4,yes
2025-08-03 19:25:49.796066,CSI,0x4601,2,"[7,",na,"[4,",1111,+32.2dB,18.0us,"[0,",1,1,490.8,normal,0,valid,-10.6dB,-10.6dB,-0.05us,+18.8Hz,,,,,,
2025-08-03 19:25:49.815887,PHY,0x4601,1,,na,"[0,",,-22.0dB,20.1us,"[0,",1,,492.7,normal,0,invalid,-47.0dB,-69.6dB,na,na,4,0,0,2,0.2,
2025-08-03 19:25:49.815908,PHY,0x4601,1,,na,"[0,",,+27.7dB,11.6us,"[0,",1,,492.7,normal,0,valid,-13.2dB,-13.2dB,na,na,0,0,0,1,15800.1,
2025-08-03 19:25:49.816047,CSI,0x4601,2,"[7,",na,"[4,",1111,+35.5dB,47.9us,"[0,",1,1,492.8,normal,0,valid,-11.1dB,-11.1dB,-0.05us,-116.1Hz,,,,,,
2025-08-03 19:25:49.820846,PHY,0x4601,1,,na,"[0,",,+17.1dB,17.3us,"[0,",1,,492.17,normal,0,valid,-10.1dB,-10.2dB,na,na,0,0,0,11,1381.4,
2025-08-03 19:25:49.835836,PHY,0x4601,1,,na,"[0,",,+17.3dB,17.5us,"[0,",1,,494.7,normal,0,valid,-12.8dB,-12.9dB,na,na,4,0,0,,1435.8,yes
2025-08-03 19:25:49.836108,CSI,0x4601,2,"[7,",na,"[4,",1111,+36.8dB,16.8us,"[0,",1,1,494.8,normal,0,valid,-11.0dB,-11.0dB,0.22us,-13.5Hz,,,,,,
2025-08-03 19:25:49.855793,PHY,0x4601,1,,na,"[0,",,-16.7dB,16.5us,"[0,",1,,496.7,normal,0,invalid,-46.1dB,-64.0dB,na,na,4,0,0,2,0.3,
2025-08-03 19:25:49.855813,PHY,0x4601,1,,na,"[0,",,+17.2dB,11.7us,"[0,",1,,496.7,normal,0,valid,-13.4dB,-13.5dB,na,na,0,0,0,1,1397.0,
2025-08-03 19:25:49.856069,CSI,0x4601,2,"[7,",na,"[4,",1111,+34.3dB,15.2us,"[0,",1,1,496.8,normal,0,valid,-11.2dB,-11.3dB,0.21us,-58.7Hz,,,,,,
2025-08-03 19:25:49.856858,PHY,0x4601,1,,na,"[0,",,+17.2dB,22.1us,"[0,",1,,496.9,normal,0,valid,-13.4dB,-13.5dB,na,na,0,0,0,1,1388.7,
2025-08-03 19:25:49.875854,PHY,0x4601,1,,na,"[0,",,+17.1dB,15.1us,"[0,",1,,498.7,normal,0,valid,-13.1dB,-13.2dB,na,na,4,0,0,,1368.2,yes
2025-08-03 19:25:49.876138,CSI,0x4601,2,"[7,",na,"[4,",1111,+35.5dB,15.7us,"[0,",1,1,498.8,normal,0,valid,-11.3dB,-11.3dB,0.20us,-70.3Hz,,,,,,
2025-08-03 19:25:49.896105,CSI,0x4601,2,"[7,",na,"[4,",1111,+35.5dB,16.0us,"[0,",1,1,500.8,normal,0,valid,-11.5dB,-11.6dB,0.21us,-130.7Hz,,,,,,
