time,log_type,rnti,format,prb,prb2,symb,csi1,sinr,t,bwp,n_id,n_id0,slot,cp,ports,status,epre,rsrp,t_align,cfo,prb1,cs,occ,ack,metric,sr
2025-08-03 20:23:28.202305,PHY,0x4601,2,"[6,",na,"[0,",,+32.0dB,14.6us,"[0,",1,1,780.17,normal,0,valid,-11.3dB,-11.3dB,0.19us,-26.9Hz,,,,11111,,
2025-08-03 20:23:28.203227,PHY,0x4601,1,,na,"[0,",,+17.4dB,16.1us,"[0,",1,,780.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1457.5,
2025-08-03 20:23:28.203698,PHY,0x4601,1,,na,"[0,",,+17.4dB,19.3us,"[0,",1,,780.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1463.2,
2025-08-03 20:23:28.208211,PHY,0x4601,1,,na,"[0,",,+17.4dB,16.9us,"[0,",1,,781.8,normal,0,valid,-13.9dB,-14.0dB,na,na,0,0,0,1,1482.0,
2025-08-03 20:23:28.208660,PHY,0x4601,1,,na,"[0,",,+17.6dB,17.6us,"[0,",1,,781.9,normal,0,valid,-13.9dB,-14.0dB,na,na,0,0,0,1,1535.1,
2025-08-03 20:23:28.212310,PHY,0x4601,2,"[6,",na,"[0,",,+35.1dB,18.9us,"[0,",1,1,781.17,normal,0,valid,-11.3dB,-11.3dB,0.20us,-43.7Hz,,,,11111,,
2025-08-03 20:23:28.213141,PHY,0x4601,1,,na,"[0,",,+17.2dB,16.2us,"[0,",1,,781.18,normal,0,valid,-14.3dB,-14.4dB,na,na,0,0,0,1,1395.7,
2025-08-03 20:23:28.213735,PHY,0x4601,1,,na,"[0,",,+17.1dB,14.5us,"[0,",1,,781.19,normal,0,valid,-14.3dB,-14.4dB,na,na,0,0,0,1,1373.2,
2025-08-03 20:23:28.217748,CSI,0x4601,2,"[6,",na,"[0,",1111,+33.8dB,18.1us,"[0,",1,1,782.8,normal,0,valid,-10.9dB,-10.9dB,0.20us,+32.7Hz,,,,1,,
2025-08-03 20:23:28.218681,PHY,0x4601,1,,na,"[0,",,+17.4dB,16.1us,"[0,",1,,782.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1478.7,
2025-08-03 20:23:28.222224,PHY,0x4601,2,"[6,",na,"[0,",,+34.9dB,13.8us,"[0,",1,1,782.17,normal,0,valid,-11.3dB,-11.3dB,0.19us,+1.0Hz,,,,11111,,
2025-08-03 20:23:28.223174,PHY,0x4601,1,,na,"[0,",,+16.2dB,16.4us,"[0,",1,,782.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1106.4,
2025-08-03 20:23:28.223644,PHY,0x4601,1,,na,"[0,",,+16.2dB,14.2us,"[0,",1,,782.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1102.5,
2025-08-03 20:23:28.228139,PHY,0x4601,1,,na,"[0,",,+17.4dB,17.0us,"[0,",1,,783.8,normal,0,valid,-13.9dB,-14.0dB,na,na,0,0,0,1,1467.3,
2025-08-03 20:23:28.228721,PHY,0x4601,1,,na,"[0,",,+17.5dB,14.5us,"[0,",1,,783.9,normal,0,valid,-14.0dB,-14.0dB,na,na,0,0,0,1,1509.3,
2025-08-03 20:23:28.232282,PHY,0x4601,2,"[6,",na,"[0,",,+30.6dB,15.1us,"[0,",1,1,783.17,normal,0,valid,-11.2dB,-11.2dB,0.20us,-78.6Hz,,,,11111,,
