ID,time,Transfer,Bitrate,Retr,Cwnd
6,2025-08-03 19:53:44.074560,2.06,17.2,0,130.0
6,2025-08-03 19:53:45.074560,5.88,49.3,0,398.0
6,2025-08-03 19:53:46.074560,5.88,49.3,0,673.0
6,2025-08-03 19:53:47.074560,5.88,49.3,0,944.0
6,2025-08-03 19:53:48.074560,5.5,46.1,0,1.17
6,2025-08-03 19:53:49.074560,5.25,44.0,0,1.44
6,2025-08-03 19:53:50.074560,5.25,44.0,0,1.7
6,2025-08-03 19:53:51.074560,5.38,45.1,0,1.97
6,2025-08-03 19:53:52.074560,5.62,47.2,0,2.26
6,2025-08-03 19:53:53.074560,6.75,56.6,0,2.54
6,2025-08-03 19:53:54.074560,6.62,55.6,0,2.54
6,2025-08-03 19:53:55.074560,6.62,55.6,0,2.54
6,2025-08-03 19:53:56.074560,6.62,55.6,0,2.54
6,2025-08-03 19:53:57.074560,6.38,53.5,0,2.54
6,2025-08-03 19:53:58.074560,6.62,55.6,0,2.54
6,2025-08-03 19:53:59.074560,6.62,55.6,0,2.54
6,2025-08-03 19:54:00.074560,6.5,54.5,0,2.54
6,2025-08-03 19:54:01.074560,6.62,55.6,0,2.54
6,2025-08-03 19:54:02.074560,6.75,56.6,0,2.54
6,2025-08-03 19:54:03.074560,6.5,54.5,0,2.54
6,2025-08-03 19:54:04.074560,6.62,55.6,0,2.54
6,2025-08-03 19:54:05.074560,6.62,55.6,0,2.54
6,2025-08-03 19:54:06.074560,6.38,53.5,0,2.54
6,2025-08-03 19:54:07.074560,6.5,54.5,0,2.54
6,2025-08-03 19:54:08.074560,6.75,56.6,0,2.54
6,2025-08-03 19:54:09.074560,6.5,54.5,0,2.54
6,2025-08-03 19:54:10.074560,6.5,54.5,0,2.54
6,2025-08-03 19:54:11.074560,6.75,56.6,0,2.54
6,2025-08-03 19:54:12.074560,6.5,54.5,0,2.54
6,2025-08-03 19:54:13.074560,6.62,55.6,0,2.54
6,2025-08-03 19:54:14.074560,6.75,56.6,0,2.54
6,2025-08-03 19:54:15.074560,6.38,53.5,0,2.54
6,2025-08-03 19:54:16.074560,2.12,53.7,0,2.54
