time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,max_pusch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_max_pusch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-08-03 19:41:34.679524,metric,51,1400,600,0,0,49,0,1,0.123,0,0,1,15usec,46usec,92.16,58Mbps,542kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,15,1.0,27,58Mbps,1400,0,0%,487k,68953,0.0020000017,34.2,-3.3,1,27,542kbps,74,1,1%,579,1.04k,20,0,0,0,0,0,-0.19800003,200ns,n/a,7,4.47ms,4.5ms,4.2ms,4.02ms,3.95ms
2025-08-03 19:41:35.679510,metric,51,1400,600,0,0,49,0,1,0.127,0,0,1,15usec,52usec,222.16,58Mbps,549kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,15,1.0,27,58Mbps,1398,2,0%,1.03M,68964,2.7939677e-09,34.3,-3.3,1,27,550kbps,76,0,0%,567,0,19,0,0,0,0,0,-0.19800003,207ns,n/a,7,4.5ms,4.5ms,4.19ms,4.01ms,3.95ms
2025-08-03 19:41:36.679487,metric,51,1397,599,0,2,49,0,1,0.124,0,0,1,19usec,960usec,371.4,56Mbps,523kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,15,1.0,27,56Mbps,1356,40,2%,1.25M,68772,-0.13899979,34.0,-3.3,1,27,524kbps,74,0,0%,540,0,20,4,3,1,0,0,-0.19800003,218ns,n/a,7,4.45ms,4.5ms,4.23ms,4.01ms,3.93ms
2025-08-03 19:41:37.679519,metric,51,1400,600,0,0,49,0,1,0.13,0,0,1,17usec,970usec,377.16,58Mbps,546kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,15,1.0,27,58Mbps,1399,2,0%,1.74M,68995,0.002000317,33.8,-3.3,1,27,547kbps,78,0,0%,564,0,19,0,0,0,0,0,-0.19800003,224ns,n/a,7,4.47ms,4.5ms,4.24ms,4.03ms,3.94ms
2025-08-03 19:41:38.679544,metric,51,1400,600,0,0,49,0,1,0.127,0,0,1,16usec,51usec,494.17,58Mbps,573kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,15,1.0,27,58Mbps,1387,13,0%,2M,68995,-0.093999684,33.9,-3.3,1,27,573kbps,76,0,0%,591,0,20,0,0,0,0,0,-0.19800003,227ns,n/a,7,4.5ms,4.5ms,4.33ms,4.07ms,3.96ms
2025-08-03 19:41:39.679535,metric,51,1400,600,0,0,49,0,1,0.102,0,0,1,15usec,53usec,637.16,49Mbps,430kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,14,1.0,24,49Mbps,1296,104,7%,2.37M,68902,0.1629974,33.9,-3.3,1,27,430kbps,61,0,0%,444,0,33,2,0,0,0,0,-0.19800003,175ns,n/a,7,4.48ms,4.5ms,4.24ms,4.02ms,3.94ms
2025-08-03 19:41:40.679524,metric,51,1400,600,0,0,49,0,1,0.117,0,0,1,15usec,53usec,694.16,48Mbps,519kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,14,1.0,24,48Mbps,1297,103,7%,2.36M,68747,0.3769939,34.0,-3.4,1,27,519kbps,69,1,1%,558,0,27,0,0,0,0,0,-0.29700005,182ns,n/a,7,4.49ms,4.5ms,4.24ms,4.02ms,3.94ms
2025-08-03 19:41:41.679476,metric,51,1400,600,0,0,49,0,1,0.108,0,0,1,15usec,45usec,850.15,48Mbps,444kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,24,48Mbps,1300,100,7%,2.31M,68964,0.5729902,34.2,-3.3,1,27,445kbps,64,0,0%,468,1.04k,28,1,1,1,0,0,-0.29700005,191ns,n/a,7,4.5ms,4.5ms,4.27ms,4.01ms,3.94ms
2025-08-03 19:41:42.679561,metric,51,1400,600,0,0,49,0,1,0.11,0,0,1,15usec,51usec,903.5,49Mbps,475kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,14,1.0,24,49Mbps,1306,94,6%,2.38M,68869,0.7889815,33.6,-3.4,1,27,475kbps,65,2,2%,539,0,26,2,0,0,0,0,-0.49500006,202ns,n/a,7,4.49ms,4.5ms,4.23ms,4.03ms,3.94ms
2025-08-03 19:41:43.679577,metric,51,1400,600,0,0,49,0,1,0.112,0,0,1,15usec,43usec,995.16,48Mbps,462kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,24,48Mbps,1299,101,7%,2.43M,68881,,34.5,-3.4,1,27,462kbps,67,0,0%,477,0,28,0,0,0,0,0,-0.49500006,208ns,n/a,7,4.49ms,4.5ms,4.23ms,4.02ms,3.94ms
