time,log_type,rnti,format,prb1,prb2,symb,cs,occ,ack,metric,sinr,t,bwp,n_id,slot,cp,ports,status,epre,rsrp,t_align,cfo,sr,prb,csi1,n_id0
2025-08-03 22:16:18.544941,PHY,0x4602,1,2,na,"[0,",0,0,2,0.3,-20.5dB,11.4us,"[0,",1,296.8,normal,0,invalid,-47.1dB,-67.7dB,na,na,,,,
2025-08-03 22:16:18.545032,CSI,0x4602,2,,na,"[2,",,,1,,+33.4dB,11.0us,"[0,",1,296.9,normal,0,valid,-14.2dB,-14.3dB,0.23us,-59.6Hz,,"[44,",0110,1
2025-08-03 22:16:18.549047,PHY,0x4602,2,,na,"[2,",,,11111,,+32.8dB,14.0us,"[0,",1,296.17,normal,0,valid,-14.3dB,-14.3dB,0.24us,-26.9Hz,,"[44,",,1
2025-08-03 22:16:18.549974,PHY,0x4602,1,2,na,"[0,",0,0,1,1059.1,+16.0dB,16.6us,"[0,",1,296.18,normal,0,valid,-15.0dB,-15.1dB,na,na,,,,
2025-08-03 22:16:18.550444,PHY,0x4602,1,2,na,"[0,",0,0,1,1060.6,+16.0dB,14.2us,"[0,",1,296.19,normal,0,valid,-15.0dB,-15.1dB,na,na,,,,
2025-08-03 22:16:18.554943,PHY,0x4602,1,2,na,"[0,",0,0,1,1100.2,+16.2dB,22.5us,"[0,",1,297.8,normal,0,valid,-14.6dB,-14.7dB,na,na,,,,
2025-08-03 22:16:18.555434,PHY,0x4602,1,2,na,"[0,",0,0,1,1071.8,+16.1dB,15.1us,"[0,",1,297.9,normal,0,valid,-14.6dB,-14.7dB,na,na,,,,
2025-08-03 22:16:18.559066,PHY,0x4602,2,,na,"[2,",,,11111,,+31.6dB,16.4us,"[0,",1,297.17,normal,0,valid,-14.4dB,-14.4dB,0.23us,-89.3Hz,,"[44,",,1
2025-08-03 22:16:18.559921,PHY,0x4602,1,2,na,"[0,",0,0,1,1048.9,+15.9dB,15.4us,"[0,",1,297.18,normal,0,valid,-15.0dB,-15.2dB,na,na,,,,
2025-08-03 22:16:18.560485,PHY,0x4602,1,2,na,"[0,",0,0,1,1098.9,+16.1dB,17.2us,"[0,",1,297.19,normal,0,valid,-15.0dB,-15.2dB,na,na,,,,
2025-08-03 22:16:18.564964,PHY,0x4602,1,4,na,"[0,",0,0,1,1111.2,+16.2dB,15.7us,"[0,",1,298.8,normal,0,valid,-14.6dB,-14.7dB,na,na,,,,
2025-08-03 22:16:18.564980,PHY,0x4602,1,2,na,"[0,",0,0,2,0.1,-26.9dB,11.7us,"[0,",1,298.8,normal,0,invalid,-46.9dB,-74.7dB,na,na,,,,
2025-08-03 22:16:18.565122,CSI,0x4602,2,,na,"[2,",,,1,,+30.9dB,17.1us,"[0,",1,298.9,normal,0,valid,-14.4dB,-14.5dB,0.24us,-118.2Hz,,"[44,",0110,1
2025-08-03 22:16:18.569098,PHY,0x4602,2,,na,"[2,",,,11111,,+32.1dB,16.6us,"[0,",1,298.17,normal,0,valid,-14.3dB,-14.4dB,0.23us,+107.1Hz,,"[44,",,1
2025-08-03 22:16:18.569925,PHY,0x4602,1,2,na,"[0,",0,0,1,1107.5,+16.2dB,15.5us,"[0,",1,298.18,normal,0,valid,-15.1dB,-15.2dB,na,na,,,,
2025-08-03 22:16:18.570433,PHY,0x4602,1,2,na,"[0,",0,0,1,1114.7,+16.2dB,16.9us,"[0,",1,298.19,normal,0,valid,-15.1dB,-15.2dB,na,na,,,,
