time,log_type,rnti,format,prb1,prb2,symb,cs,occ,ack,metric,sinr,t,bwp,n_id,slot,cp,ports,status,epre,rsrp,t_align,cfo,sr,prb,csi1,n_id0
2025-08-03 19:48:25.471845,PHY,0x4601,1,0,50,"[0,",0,0,1,1136.5,+18.7dB,20.2us,"[0,",1,407.17,normal,0,valid,-15.1dB,-14.9dB,na,na,,,,
2025-08-03 19:48:25.476906,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-31.3dB,16.9us,"[0,",1,408.7,normal,0,invalid,-47.7dB,-79.6dB,na,na,no,,,
2025-08-03 19:48:25.477149,CSI,0x4601,2,,na,"[4,",,,,,+34.1dB,25.1us,"[0,",1,408.8,normal,0,valid,-11.8dB,-11.9dB,0.16us,-85.2Hz,,"[7,",0001,1
2025-08-03 19:48:25.496864,PHY,0x4601,1,4,na,"[0,",0,0,,2014.3,+18.8dB,15.8us,"[0,",1,410.7,normal,0,valid,-13.6dB,-13.6dB,na,na,yes,,,
2025-08-03 19:48:25.497114,CSI,0x4601,2,,na,"[4,",,,,,+32.6dB,13.1us,"[0,",1,410.8,normal,0,valid,-11.8dB,-11.8dB,0.18us,-102.3Hz,,"[7,",1111,1
2025-08-03 19:48:25.516933,PHY,0x4601,1,4,na,"[0,",0,0,2,0.2,-15.9dB,20.0us,"[0,",1,412.7,normal,0,invalid,-46.9dB,-63.6dB,na,na,,,,
2025-08-03 19:48:25.516954,PHY,0x4601,1,0,na,"[0,",0,0,1,1795.1,+18.3dB,11.8us,"[0,",1,412.7,normal,0,valid,-14.1dB,-14.2dB,na,na,,,,
2025-08-03 19:48:25.517075,CSI,0x4601,2,,na,"[4,",,,,,+34.4dB,23.6us,"[0,",1,412.8,normal,0,valid,-12.1dB,-12.2dB,0.20us,-58.4Hz,,"[7,",1111,1
2025-08-03 19:48:25.521886,PHY,0x4601,1,0,na,"[0,",0,0,1,1919.5,+18.6dB,16.5us,"[0,",1,412.17,normal,0,valid,-14.0dB,-14.1dB,na,na,,,,
2025-08-03 19:48:25.536886,PHY,0x4601,1,4,na,"[0,",0,0,,2012.8,+18.8dB,18.2us,"[0,",1,414.7,normal,0,valid,-13.8dB,-13.9dB,na,na,yes,,,
2025-08-03 19:48:25.537120,CSI,0x4601,2,,na,"[4,",,,,,+35.0dB,14.9us,"[0,",1,414.8,normal,0,valid,-12.0dB,-12.0dB,0.17us,-76.0Hz,,"[7,",1111,1
