time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,events,slot,type,pci,rnti,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,max_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,max_pucch_harq_delay,total_dl_brate,total_ul_brate,max_ce_delay,ul_olla,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_events,ue_slot,ue_type,ue_pci,ue_rnti,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_max_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_max_pucch_harq_delay,ue_total_dl_brate,ue_total_ul_brate,ue_max_ce_delay,ue_ul_olla
2025-08-03 19:57:16.637845,metric,51,1400,600,0,0,26,0,0.571,0.1,0,0,1,13usec,45usec,145.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4.5ms,31Mbps,467kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,15,1.0,27,31Mbps,790,4,0%,148k,36792,0.0060000014,34.7,-3.4,1,27,467kbps,60,0,0%,481,535,25,0,0,0,0,0,188ns,n/a,7,4.48ms,4.5ms,4.34ms,4.5ms,4.05ms,4.5ms,3.96ms,4.5ms,,,,0
2025-08-03 19:57:17.637761,metric,51,1400,600,0,0,49,0,1,0.13,0,0,1,15usec,45usec,261.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4.5ms,58Mbps,546kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,15,1.0,27,58Mbps,1400,0,0%,391k,68838,0.0060000014,34.6,-3.5,1,27,546kbps,78,0,0%,563,535,20,0,0,0,0,0,179ns,n/a,7,4.48ms,4.5ms,4.22ms,4.5ms,4.02ms,4.5ms,3.95ms,4.5ms,,,,0
2025-08-03 19:57:18.637690,metric,51,1400,600,0,0,49,0,1,0.123,0,0,1,15usec,42usec,287.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4.5ms,58Mbps,542kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,15,1.0,27,58Mbps,1398,2,0%,779k,68995,0.006000002,34.3,-3.5,1,27,543kbps,73,1,1%,592,535,22,0,0,0,0,0,185ns,n/a,7,4.49ms,4.5ms,4.2ms,4.5ms,4.01ms,4.5ms,3.95ms,4.5ms,,,,-0.099000014
2025-08-03 19:57:19.637692,metric,51,1400,600,0,0,49,1,1,0.133,0,0,1,15usec,46usec,385.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4ms,58Mbps,592kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,15,1.0,27,58Mbps,1399,1,0%,1.03M,68967,0.006000002,34.5,-3.5,1,27,593kbps,80,0,0%,611,1.05k,14,0,0,0,0,0,197ns,n/a,7,4.49ms,4.5ms,4.17ms,4.5ms,4.01ms,4.5ms,3.95ms,4ms,,,,-0.099000014
2025-08-03 19:57:20.637759,metric,51,1397,597,0,22,46,0,0.955,0.122,0,0,1,19usec,604usec,546.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5ms,,20ms,,4.5ms,48Mbps,434kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,15,1.0,26,48Mbps,1180,141,10%,1.47M,65526,-1.0359902,31.5,-6.5,1,25,434kbps,63,10,13%,558,384,28,25,14,2,4,0,202ns,n/a,7,4.47ms,4.5ms,4.48ms,19.5ms,5.65ms,20ms,3.93ms,4.5ms,,,,-0.5940001
2025-08-03 19:57:21.637796,metric,51,1400,600,0,0,49,1,0.999,0.14,0,0,1,15usec,55usec,655.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4.5ms,55Mbps,666kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,15,1.0,25,55Mbps,1379,22,1%,1.78M,68913,0.009001122,33.4,-4.1,1,27,666kbps,83,2,2%,696,535,15,1,1,1,1,0,217ns,n/a,7,4.48ms,4.5ms,4.29ms,4.5ms,4.03ms,4.5ms,3.94ms,4.5ms,,,,-0.69300014
2025-08-03 19:57:22.637785,metric,51,1400,600,0,0,49,0,1,0.123,0,0,1,16usec,48usec,760.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4.5ms,55Mbps,529kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,15,1.0,27,55Mbps,1320,80,5%,2.21M,69006,,34.2,-3.3,1,27,530kbps,74,0,0%,546,0,16,1,1,0,0,0,218ns,n/a,6,4.49ms,4.5ms,4.32ms,4.5ms,4.05ms,4.5ms,3.96ms,4.5ms,,,,-0.69300014
2025-08-03 19:57:23.637806,metric,51,1400,600,0,0,49,0,1,0.0967,0,0,1,15usec,48usec,828.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,4.5ms,25Mbps,393kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,11,1.0,15,25Mbps,1204,196,14%,2.04M,68775,-1.0509465,34.4,-2.9,1,27,393kbps,58,0,0%,406,535,42,0,0,0,0,0,227ns,n/a,6,4.48ms,4.5ms,4.22ms,4.5ms,4ms,4ms,3.93ms,4.5ms,,,,-0.69300014
2025-08-03 19:57:24.637757,metric,51,1400,600,0,0,49,0,1,0.108,0,0,1,15usec,42usec,904.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4ms,27Mbps,444kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,9,1.0,13,27Mbps,1390,10,0%,2.18M,68975,0.10804602,34.2,-3.1,1,27,445kbps,64,0,0%,466,384,28,2,0,0,0,0,197ns,n/a,7,4.48ms,4.5ms,4.24ms,4.5ms,4.02ms,4.5ms,3.94ms,4ms,,,,-0.69300014
2025-08-03 19:57:25.637775,metric,51,1400,599,0,0,48,0,0.976,0.102,0,0,1,15usec,54usec,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4.5ms,31Mbps,428kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,9,1.0,16,31Mbps,1287,80,5%,2.17M,67208,,34.5,-3.5,1,27,428kbps,62,1,1%,435,74,31,1,0,0,0,0,179ns,n/a,7,4.46ms,4.5ms,4.16ms,4.5ms,4.03ms,4.5ms,3.93ms,4.5ms,,,,-0.69300014
