ID,time,Transfer,Bitrate,Retr,Cwnd
6,2025-08-03 22:10:42.398741,2.06,17.2,0,130.0
6,2025-08-03 22:10:43.398741,5.88,49.3,0,398.0
6,2025-08-03 22:10:44.398741,5.88,49.3,0,673.0
6,2025-08-03 22:10:45.398741,5.88,49.3,0,944.0
6,2025-08-03 22:10:46.398741,5.5,46.1,0,1.17
6,2025-08-03 22:10:47.398741,5.25,44.0,0,1.44
6,2025-08-03 22:10:48.398741,5.25,44.0,0,1.7
6,2025-08-03 22:10:49.398741,5.38,45.1,0,1.97
6,2025-08-03 22:10:50.398741,5.62,47.2,0,2.26
6,2025-08-03 22:10:51.398741,6.75,56.6,0,2.54
6,2025-08-03 22:10:52.398741,6.62,55.6,0,2.54
6,2025-08-03 22:10:53.398741,6.62,55.6,0,2.54
6,2025-08-03 22:10:54.398741,6.62,55.6,0,2.54
6,2025-08-03 22:10:55.398741,6.38,53.5,0,2.54
6,2025-08-03 22:10:56.398741,6.62,55.6,0,2.54
6,2025-08-03 22:10:57.398741,6.62,55.6,0,2.54
6,2025-08-03 22:10:58.398741,6.5,54.5,0,2.54
6,2025-08-03 22:10:59.398741,6.62,55.6,0,2.54
6,2025-08-03 22:11:00.398741,6.75,56.6,0,2.54
6,2025-08-03 22:11:01.398741,6.5,54.5,0,2.54
6,2025-08-03 22:11:02.398741,6.62,55.6,0,2.54
6,2025-08-03 22:11:03.398741,6.62,55.6,0,2.54
6,2025-08-03 22:11:04.398741,6.38,53.5,0,2.54
6,2025-08-03 22:11:05.398741,6.5,54.5,0,2.54
6,2025-08-03 22:11:06.398741,6.75,56.6,0,2.54
6,2025-08-03 22:11:07.398741,6.5,54.5,0,2.54
6,2025-08-03 22:11:08.398741,6.5,54.5,0,2.54
6,2025-08-03 22:11:09.398741,6.75,56.6,0,2.54
6,2025-08-03 22:11:10.398741,6.5,54.5,0,2.54
6,2025-08-03 22:11:11.398741,6.62,55.6,0,2.54
6,2025-08-03 22:11:12.398741,6.75,56.6,0,2.54
6,2025-08-03 22:11:13.398741,6.38,53.5,0,2.54
6,2025-08-03 22:11:14.398741,2.12,53.7,0,2.54
