time,log_type,rnti,format,prb1,prb2,symb,cs,occ,ack,metric,sinr,t,bwp,n_id,slot,cp,ports,status,epre,rsrp,t_align,cfo,sr,prb,csi1,n_id0
2025-08-03 19:35:19.901258,PHY,0x4601,1,0,50,"[0,",0,0,1,1115.4,+18.6dB,21.9us,"[0,",1,375.17,normal,0,valid,-14.1dB,-14.0dB,na,na,,,,
2025-08-03 19:35:19.906215,PHY,0x4601,1,4,na,"[0,",0,0,,0.5,-16.2dB,22.0us,"[0,",1,376.7,normal,0,invalid,-47.1dB,-64.7dB,na,na,no,,,
2025-08-03 19:35:19.906488,CSI,0x4601,2,,na,"[4,",,,,,-1.2dB,32.1us,"[0,",1,376.8,normal,0,invalid,-46.2dB,-50.2dB,1.04us,-10487.3Hz,,"[7,",2222,1
2025-08-03 19:35:19.926163,PHY,0x4601,1,4,na,"[0,",0,0,,1884.2,+18.5dB,16.3us,"[0,",1,378.7,normal,0,valid,-12.7dB,-12.8dB,na,na,yes,,,
2025-08-03 19:35:19.926407,CSI,0x4601,2,,na,"[4,",,,,,+33.2dB,14.4us,"[0,",1,378.8,normal,0,valid,-10.9dB,-10.9dB,0.17us,-130.0Hz,,"[7,",1111,1
2025-08-03 19:35:19.946235,PHY,0x4601,1,4,na,"[0,",0,0,2,0.2,-21.7dB,21.2us,"[0,",1,380.7,normal,0,invalid,-46.6dB,-68.8dB,na,na,,,,
2025-08-03 19:35:19.946259,PHY,0x4601,1,0,na,"[0,",0,0,1,1987.1,+18.7dB,12.8us,"[0,",1,380.7,normal,0,valid,-13.4dB,-13.5dB,na,na,,,,
2025-08-03 19:35:19.946503,CSI,0x4601,2,,na,"[4,",,,,,+33.3dB,23.1us,"[0,",1,380.8,normal,0,valid,-11.3dB,-11.3dB,0.21us,-81.8Hz,,"[7,",1111,1
2025-08-03 19:35:19.952249,PHY,0x4601,1,0,na,"[0,",0,0,1,1046.2,+16.0dB,18.9us,"[0,",1,380.19,normal,0,valid,-13.3dB,-13.4dB,na,na,,,,
2025-08-03 19:35:19.966187,PHY,0x4601,1,4,na,"[0,",0,0,,1076.7,+16.1dB,19.4us,"[0,",1,382.7,normal,0,valid,-13.1dB,-13.2dB,na,na,yes,,,
2025-08-03 19:35:19.966440,CSI,0x4601,2,,na,"[4,",,,,,+33.1dB,18.4us,"[0,",1,382.8,normal,0,valid,-11.2dB,-11.3dB,0.24us,-105.5Hz,,"[7,",1111,1
2025-08-03 19:35:19.986250,PHY,0x4601,1,4,na,"[0,",0,0,2,0.1,-20.3dB,17.5us,"[0,",1,384.7,normal,0,invalid,-46.4dB,-66.8dB,na,na,,,,
2025-08-03 19:35:19.986267,PHY,0x4601,1,0,na,"[0,",0,0,1,1041.3,+15.9dB,13.0us,"[0,",1,384.7,normal,0,valid,-13.5dB,-13.6dB,na,na,,,,
2025-08-03 19:35:19.986373,CSI,0x4601,2,,na,"[4,",,,,,+33.8dB,14.4us,"[0,",1,384.8,normal,0,valid,-11.5dB,-11.5dB,0.25us,-55.6Hz,,"[7,",1111,1
2025-08-03 19:35:19.987193,PHY,0x4601,1,0,na,"[0,",0,0,1,1056.5,+16.0dB,15.8us,"[0,",1,384.9,normal,0,valid,-13.5dB,-13.6dB,na,na,,,,
2025-08-03 19:35:20.006202,PHY,0x4601,1,4,na,"[0,",0,0,,1083.5,+16.1dB,21.4us,"[0,",1,386.7,normal,0,valid,-13.2dB,-13.4dB,na,na,yes,,,
2025-08-03 19:35:20.006436,CSI,0x4601,2,,na,"[4,",,,,,+32.4dB,19.1us,"[0,",1,386.8,normal,0,valid,-11.4dB,-11.5dB,0.24us,-60.0Hz,,"[7,",1111,1
2025-08-03 19:35:20.026387,CSI,0x4601,2,,na,"[4,",,,,,+32.6dB,12.4us,"[0,",1,388.8,normal,0,valid,-11.7dB,-11.7dB,0.23us,-167.7Hz,,"[7,",1111,1
2025-08-03 19:35:20.035840,PHY,0x4601,2,,na,"[0,",,,111,,+31.4dB,20.8us,"[0,",1,389.7,normal,0,valid,-13.1dB,-13.2dB,0.24us,+80.3Hz,,"[6,",,1
2025-08-03 19:35:20.046219,PHY,0x4601,1,4,na,"[0,",0,0,,1071.5,+16.0dB,17.7us,"[0,",1,390.7,normal,0,valid,-13.6dB,-13.7dB,na,na,yes,,,
2025-08-03 19:35:20.046489,CSI,0x4601,2,,na,"[4,",,,,,+33.4dB,20.4us,"[0,",1,390.8,normal,0,valid,-11.8dB,-11.8dB,0.23us,-21.0Hz,,"[7,",1111,1
2025-08-03 19:35:20.066171,PHY,0x4601,1,4,na,"[0,",0,0,2,0.1,-18.5dB,16.2us,"[0,",1,392.7,normal,0,invalid,-46.7dB,-66.0dB,na,na,,,,
2025-08-03 19:35:20.066187,PHY,0x4601,1,0,na,"[0,",0,0,1,1054.0,+16.0dB,11.7us,"[0,",1,392.7,normal,0,valid,-13.9dB,-14.0dB,na,na,,,,
2025-08-03 19:35:20.066442,CSI,0x4601,2,,na,"[4,",,,,,+35.0dB,12.8us,"[0,",1,392.8,normal,0,valid,-11.7dB,-11.8dB,0.24us,+41.9Hz,,"[7,",1111,1
2025-08-03 19:35:20.086237,PHY,0x4601,1,4,na,"[0,",0,0,,0.3,-21.6dB,16.4us,"[0,",1,394.7,normal,0,invalid,-46.6dB,-69.1dB,na,na,no,,,
2025-08-03 19:35:20.086373,CSI,0x4601,2,,na,"[4,",,,,,+35.7dB,14.1us,"[0,",1,394.8,normal,0,valid,-11.9dB,-11.9dB,0.24us,-122.8Hz,,"[7,",1111,1
2025-08-03 19:35:20.106198,PHY,0x4601,1,4,na,"[0,",0,0,,0.5,-14.4dB,16.1us,"[0,",1,396.7,normal,0,invalid,-47.0dB,-61.9dB,na,na,no,,,
2025-08-03 19:35:20.106433,CSI,0x4601,2,,na,"[4,",,,,,+32.2dB,13.7us,"[0,",1,396.8,normal,0,valid,-11.8dB,-11.9dB,0.24us,-84.1Hz,,"[7,",1111,1
2025-08-03 19:35:20.126151,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-24.9dB,14.8us,"[0,",1,398.7,normal,0,invalid,-46.1dB,-71.3dB,na,na,no,,,
2025-08-03 19:35:20.126404,CSI,0x4601,2,,na,"[4,",,,,,+32.9dB,11.8us,"[0,",1,398.8,normal,0,valid,-11.7dB,-11.8dB,0.23us,-34.8Hz,,"[7,",1111,1
2025-08-03 19:35:20.146217,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-28.5dB,15.4us,"[0,",1,400.7,normal,0,invalid,-46.7dB,-75.8dB,na,na,no,,,
2025-08-03 19:35:20.146467,CSI,0x4601,2,,na,"[4,",,,,,+33.0dB,12.6us,"[0,",1,400.8,normal,0,valid,-11.8dB,-11.8dB,0.24us,-37.5Hz,,"[7,",1111,1
2025-08-03 19:35:20.156247,PHY,0x4601,1,0,na,"[0,",0,0,1,995.7,+15.7dB,15.5us,"[0,",1,401.7,normal,0,valid,-14.0dB,-14.1dB,na,na,,,,
2025-08-03 19:35:20.166171,PHY,0x4601,1,4,na,"[0,",0,0,,1105.1,+16.2dB,15.4us,"[0,",1,402.7,normal,0,valid,-13.8dB,-13.9dB,na,na,yes,,,
2025-08-03 19:35:20.166414,CSI,0x4601,2,,na,"[4,",,,,,+32.4dB,16.2us,"[0,",1,402.8,normal,0,valid,-12.0dB,-12.0dB,0.24us,-53.7Hz,,"[7,",1111,1
2025-08-03 19:35:20.186233,PHY,0x4601,1,4,na,"[0,",0,0,,0.3,-21.5dB,15.6us,"[0,",1,404.7,normal,0,invalid,-46.9dB,-69.2dB,na,na,no,,,
2025-08-03 19:35:20.186467,CSI,0x4601,2,,na,"[4,",,,,,+32.9dB,13.0us,"[0,",1,404.8,normal,0,valid,-12.0dB,-12.0dB,0.23us,-32.4Hz,,"[7,",1111,1
2025-08-03 19:35:20.206198,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-17.9dB,21.0us,"[0,",1,406.7,normal,0,invalid,-46.6dB,-64.9dB,na,na,no,,,
2025-08-03 19:35:20.206434,CSI,0x4601,2,,na,"[4,",,,,,+34.7dB,12.8us,"[0,",1,406.8,normal,0,valid,-11.9dB,-11.9dB,0.23us,-91.6Hz,,"[7,",1111,1
2025-08-03 19:35:20.226252,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-19.9dB,14.9us,"[0,",1,408.7,normal,0,invalid,-47.0dB,-67.5dB,na,na,no,,,
2025-08-03 19:35:20.226396,CSI,0x4601,2,,na,"[4,",,,,,+34.4dB,12.6us,"[0,",1,408.8,normal,0,valid,-11.9dB,-11.9dB,0.24us,-68.7Hz,,"[7,",1111,1
2025-08-03 19:35:20.246210,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-29.2dB,17.0us,"[0,",1,410.7,normal,0,invalid,-46.7dB,-76.2dB,na,na,no,,,
2025-08-03 19:35:20.246453,CSI,0x4601,2,,na,"[4,",,,,,+36.2dB,12.3us,"[0,",1,410.8,normal,0,valid,-11.8dB,-11.9dB,0.25us,-87.9Hz,,"[7,",1111,1
2025-08-03 19:35:20.266164,PHY,0x4601,1,4,na,"[0,",0,0,,0.0,-25.0dB,15.2us,"[0,",1,412.7,normal,0,invalid,-46.7dB,-72.4dB,na,na,no,,,
2025-08-03 19:35:20.266414,CSI,0x4601,2,,na,"[4,",,,,,+31.4dB,13.9us,"[0,",1,412.8,normal,0,valid,-11.9dB,-12.0dB,0.23us,-68.7Hz,,"[7,",1111,1
2025-08-03 19:35:20.286227,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-28.4dB,17.1us,"[0,",1,414.7,normal,0,invalid,-47.1dB,-75.6dB,na,na,no,,,
2025-08-03 19:35:20.286470,CSI,0x4601,2,,na,"[4,",,,,,+33.2dB,14.8us,"[0,",1,414.8,normal,0,valid,-11.9dB,-12.0dB,0.23us,-124.7Hz,,"[7,",1111,1
2025-08-03 19:35:20.306184,PHY,0x4601,1,4,na,"[0,",0,0,,0.6,-17.2dB,15.7us,"[0,",1,416.7,normal,0,invalid,-47.2dB,-65.4dB,na,na,no,,,
2025-08-03 19:35:20.306435,CSI,0x4601,2,,na,"[4,",,,,,+36.7dB,15.5us,"[0,",1,416.8,normal,0,valid,-11.9dB,-12.0dB,0.24us,-55.9Hz,,"[7,",1111,1
2025-08-03 19:35:20.326274,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-23.8dB,26.7us,"[0,",1,418.7,normal,0,invalid,-46.7dB,-70.7dB,na,na,no,,,
2025-08-03 19:35:20.326390,CSI,0x4601,2,,na,"[4,",,,,,+33.1dB,19.1us,"[0,",1,418.8,normal,0,valid,-11.9dB,-12.0dB,0.24us,+37.2Hz,,"[7,",1111,1
2025-08-03 19:35:20.346210,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-25.9dB,19.8us,"[0,",1,420.7,normal,0,invalid,-45.9dB,-73.0dB,na,na,no,,,
2025-08-03 19:35:20.346451,CSI,0x4601,2,,na,"[4,",,,,,+32.8dB,22.9us,"[0,",1,420.8,normal,0,valid,-11.9dB,-12.0dB,0.24us,-90.4Hz,,"[7,",1111,1
2025-08-03 19:35:20.366159,PHY,0x4601,1,4,na,"[0,",0,0,,0.5,-13.8dB,16.7us,"[0,",1,422.7,normal,0,invalid,-46.4dB,-60.9dB,na,na,no,,,
