time,log_type,rnti,format,prb,prb2,symb,csi1,sinr,t,bwp,n_id,n_id0,slot,cp,ports,status,epre,rsrp,t_align,cfo,prb1,cs,occ,ack,metric,sr
2025-08-03 20:40:23.012109,CSI,0x4601,2,"[7,",na,"[4,",2222,-6.0dB,26.3us,"[0,",1,1,422.8,normal,0,invalid,-46.5dB,-53.9dB,-1.18us,+3172.2Hz,,,,,,
2025-08-03 20:40:23.016930,PHY,0x4601,1,,50,"[0,",,+17.7dB,19.3us,"[0,",1,,422.17,normal,0,valid,-14.8dB,-14.6dB,na,na,0,0,0,1,896.4,
2025-08-03 20:40:23.031922,PHY,0x4601,1,,na,"[0,",,+17.7dB,19.2us,"[0,",1,,424.7,normal,0,valid,-13.2dB,-13.3dB,na,na,4,0,0,,1556.8,yes
2025-08-03 20:40:23.032173,CSI,0x4601,2,"[7,",na,"[4,",1111,+32.7dB,24.0us,"[0,",1,1,424.8,normal,0,valid,-11.4dB,-11.4dB,0.19us,-25.2Hz,,,,,,
2025-08-03 20:40:23.051883,PHY,0x4601,1,,na,"[0,",,-29.5dB,20.7us,"[0,",1,,426.7,normal,0,invalid,-47.7dB,-77.4dB,na,na,4,0,0,2,0.2,
2025-08-03 20:40:23.051908,PHY,0x4601,1,,na,"[0,",,+17.5dB,14.5us,"[0,",1,,426.7,normal,0,valid,-14.0dB,-14.0dB,na,na,0,0,0,1,1514.7,
2025-08-03 20:40:23.052167,CSI,0x4601,2,"[7,",na,"[4,",1111,+32.1dB,33.9us,"[0,",1,1,426.8,normal,0,valid,-11.8dB,-11.9dB,0.23us,-139.4Hz,,,,,,
2025-08-03 20:40:23.057425,PHY,0x4601,1,,na,"[0,",,+17.9dB,17.1us,"[0,",1,,426.18,normal,0,valid,-14.0dB,-14.0dB,na,na,0,0,0,1,1652.6,
2025-08-03 20:40:23.071938,PHY,0x4601,1,,na,"[0,",,+17.7dB,15.4us,"[0,",1,,428.7,normal,0,valid,-13.6dB,-13.7dB,na,na,4,0,0,,1563.0,yes
2025-08-03 20:40:23.072169,CSI,0x4601,2,"[7,",na,"[4,",1111,+35.4dB,14.3us,"[0,",1,1,428.8,normal,0,valid,-11.7dB,-11.7dB,0.20us,-128.9Hz,,,,,,
2025-08-03 20:40:23.091898,PHY,0x4601,1,,na,"[0,",,+17.7dB,21.3us,"[0,",1,,430.7,normal,0,valid,-10.7dB,-10.8dB,na,na,4,0,0,11,1565.4,
2025-08-03 20:40:23.091919,PHY,0x4601,1,,na,"[0,",,-22.1dB,14.0us,"[0,",1,,430.7,normal,0,invalid,-47.1dB,-69.9dB,na,na,0,0,0,22,0.2,
2025-08-03 20:40:23.092145,CSI,0x4601,2,"[7,",na,"[4,",1111,+32.3dB,22.6us,"[0,",1,1,430.8,normal,0,valid,-12.0dB,-12.0dB,0.20us,-20.3Hz,,,,,,
2025-08-03 20:40:23.092950,PHY,0x4601,1,,na,"[0,",,+17.7dB,16.2us,"[0,",1,,430.9,normal,0,valid,-14.1dB,-14.2dB,na,na,0,0,0,1,1586.6,
2025-08-03 20:40:23.111962,PHY,0x4601,1,,na,"[0,",,+17.7dB,16.3us,"[0,",1,,432.7,normal,0,valid,-14.0dB,-14.1dB,na,na,4,0,0,,1568.3,yes
2025-08-03 20:40:23.112227,CSI,0x4601,2,"[7,",na,"[4,",1111,+32.0dB,14.5us,"[0,",1,1,432.8,normal,0,valid,-12.2dB,-12.2dB,0.19us,-95.7Hz,,,,,,
2025-08-03 20:40:23.132152,CSI,0x4601,2,"[7,",na,"[4,",1111,+31.6dB,13.9us,"[0,",1,1,434.8,normal,0,valid,-12.4dB,-12.5dB,0.21us,+20.3Hz,,,,,,
2025-08-03 20:40:23.141484,PHY,0x4601,2,"[6,",na,"[0,",,+32.1dB,20.6us,"[0,",1,1,435.7,normal,0,valid,-13.7dB,-13.8dB,0.19us,+53.3Hz,,,,111,,
2025-08-03 20:40:23.151980,PHY,0x4601,1,,na,"[0,",,+17.7dB,16.5us,"[0,",1,,436.7,normal,0,valid,-14.3dB,-14.4dB,na,na,4,0,0,,1569.9,yes
2025-08-03 20:40:23.152100,CSI,0x4601,2,"[7,",na,"[4,",1111,+34.1dB,14.5us,"[0,",1,1,436.8,normal,0,valid,-12.5dB,-12.6dB,0.19us,-44.8Hz,,,,,,
2025-08-03 20:40:23.171940,PHY,0x4601,1,,na,"[0,",,-24.3dB,18.7us,"[0,",1,,438.7,normal,0,invalid,-47.0dB,-71.2dB,na,na,4,0,0,2,0.3,
2025-08-03 20:40:23.171956,PHY,0x4601,1,,na,"[0,",,+17.7dB,11.6us,"[0,",1,,438.7,normal,0,valid,-14.6dB,-14.7dB,na,na,0,0,0,1,1567.1,
2025-08-03 20:40:23.172209,CSI,0x4601,2,"[7,",na,"[4,",1111,+30.6dB,16.7us,"[0,",1,1,438.8,normal,0,valid,-12.5dB,-12.6dB,0.20us,-24.6Hz,,,,,,
2025-08-03 20:40:23.191890,PHY,0x4601,1,,na,"[0,",,-18.4dB,18.5us,"[0,",1,,440.7,normal,0,invalid,-46.5dB,-65.6dB,na,na,4,0,0,,0.1,no
2025-08-03 20:40:23.192153,CSI,0x4601,2,"[7,",na,"[4,",1111,+35.5dB,13.0us,"[0,",1,1,440.8,normal,0,valid,-12.5dB,-12.5dB,0.18us,-97.5Hz,,,,,,
2025-08-03 20:40:23.211949,PHY,0x4601,1,,na,"[0,",,-21.8dB,14.9us,"[0,",1,,442.7,normal,0,invalid,-46.5dB,-69.2dB,na,na,4,0,0,,0.2,no
2025-08-03 20:40:23.212208,CSI,0x4601,2,"[7,",na,"[4,",1111,+33.5dB,12.9us,"[0,",1,1,442.8,normal,0,valid,-12.5dB,-12.5dB,0.21us,+13.1Hz,,,,,,
2025-08-03 20:40:23.231906,PHY,0x4601,1,,na,"[0,",,-16.8dB,14.9us,"[0,",1,,444.7,normal,0,invalid,-46.7dB,-64.0dB,na,na,4,0,0,,0.3,no
2025-08-03 20:40:23.232170,CSI,0x4601,2,"[7,",na,"[4,",1111,+32.7dB,14.2us,"[0,",1,1,444.8,normal,0,valid,-12.4dB,-12.5dB,0.20us,-126.4Hz,,,,,,
2025-08-03 20:40:23.251968,PHY,0x4601,1,,na,"[0,",,-17.9dB,14.4us,"[0,",1,,446.7,normal,0,invalid,-46.9dB,-65.2dB,na,na,4,0,0,,0.2,no
2025-08-03 20:40:23.252102,CSI,0x4601,2,"[7,",na,"[4,",1111,+33.2dB,12.7us,"[0,",1,1,446.8,normal,0,valid,-12.5dB,-12.5dB,0.19us,-46.8Hz,,,,,,
