time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,max_pusch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_max_pusch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-08-03 22:07:08.747720,metric,51,561,243,0,0,0,0,0,0,0,0,0,1usec,232usec,159.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03 22:07:09.747787,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,296.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03 22:07:10.747669,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,319.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03 22:07:11.747817,metric,51,1400,600,1,0,0,0,0.0143,0.0233,0,0,1,6usec,38usec,466.0,15kbps,73kbps,4.5ms,5.5ms,4.5ms,4.5ms,0x4601,407.8,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,9,15kbps,20,0,0%,0,125,0.0050000004,33.9,-3.2,1,26,73kbps,13,0,0%,110,0,11,0,0,0,0,0,0,203ns,n/a,8,4.58ms,5.5ms,4.46ms,4.5ms,4.1ms
2025-08-03 22:07:12.747855,metric,51,1400,600,0,0,0,0,0.00714,0.0167,0,0,1,8usec,30usec,580.16,16kbps,50kbps,4.5ms,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4ms,,,,4601,1,14,1.0,24,17kbps,10,0,0%,0,20,0.011000001,35.1,-3.3,1,27,51kbps,10,0,0%,52,0,9,0,0,0,0,0,0,181ns,n/a,7,4.5ms,4.5ms,4.5ms,4ms,4.18ms
2025-08-03 22:07:13.747774,metric,51,1400,600,0,0,0,1,0.00786,0.0933,0,0,1,8usec,28usec,682.3,20kbps,830kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,15,1.0,27,21kbps,11,0,0%,0,22,0.011000001,35.3,-3.3,1,27,831kbps,56,0,0%,860,2.01k,6,0,0,0,0,0,0,176ns,n/a,3,4.5ms,4.5ms,4.47ms,4.2ms,4ms
2025-08-03 22:07:14.747814,metric,51,1400,600,0,0,0,2,0.00714,0.167,0,0,1,9usec,34usec,735.0,18kbps,1.6Mbps,4.5ms,4.5ms,,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,4.5ms,,,,4601,1,15,1.0,27,19kbps,10,0,0%,0,20,0.011000001,35.0,-3.3,1,27,1.6Mbps,99,1,1%,1684,0,0,0,0,0,0,0,-0.099000014,209ns,n/a,3,4.5ms,4.5ms,4.47ms,4.2ms,n/a
2025-08-03 22:07:15.747719,metric,51,1400,600,0,0,5,0,0.129,0.0467,0,0,1,9usec,53usec,890.15,5.9Mbps,184kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,15,1.0,26,5.9Mbps,173,2,1%,57.6k,7048,0.011000002,34.9,-3.3,1,27,185kbps,28,0,0%,190,745,18,0,0,0,0,0,-0.099000014,213ns,n/a,7,4.5ms,4.5ms,4.39ms,4.09ms,4ms
2025-08-03 22:07:16.747960,metric,51,1400,600,0,0,46,0,0.953,0.132,0,0,1,15usec,43usec,951.6,54Mbps,547kbps,4.5ms,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4ms,,,,4601,1,15,1.0,27,54Mbps,1330,0,0%,325k,64555,0.011000002,34.6,-3.3,1,27,548kbps,79,0,0%,565,0,19,0,0,0,0,0,-0.099000014,217ns,n/a,7,4.47ms,4.5ms,4.19ms,4ms,3.95ms
2025-08-03 22:07:17.747851,metric,51,1400,600,0,0,49,1,1,0.137,0,0,1,15usec,50usec,57.16,58Mbps,581kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,15,1.0,27,58Mbps,1400,0,0%,630k,69016,0.011000002,34.4,-3.3,1,27,582kbps,82,0,0%,600,535,12,0,0,0,0,0,-0.099000014,224ns,n/a,7,4.49ms,4.5ms,4.2ms,4.02ms,3.96ms
2025-08-03 22:07:18.747781,metric,51,1400,600,0,0,49,1,1,0.133,0,0,1,15usec,59usec,146.16,58Mbps,577kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,15,1.0,27,58Mbps,1400,0,0%,1.06M,68974,0.011000002,34.3,-3.3,1,27,577kbps,79,0,0%,602,198,17,0,0,0,0,0,-0.099000014,230ns,n/a,7,4.49ms,4.5ms,4.23ms,4.03ms,3.95ms
2025-08-03 22:07:19.747891,metric,51,1400,600,0,0,49,0,1,0.125,0,0,1,15usec,44usec,209.16,58Mbps,548kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,15,1.0,27,58Mbps,1400,0,0%,1.35M,68985,0.011000002,34.6,-3.3,1,27,548kbps,76,0,0%,558,535,20,0,0,0,0,0,-0.099000014,198ns,n/a,7,4.49ms,4.5ms,4.2ms,4.03ms,3.95ms
2025-08-03 22:07:20.747902,metric,51,1392,596,0,11,47,0,0.958,0.129,0,0,1,16usec,101usec,336.15,53Mbps,533kbps,11.5ms,4.5ms,10ms,12ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,11.5ms,,10ms,12ms,,,,4601,1,15,1.0,26,53Mbps,1282,45,3%,1.64M,65569,0.0060002427,34.0,-3.8,1,27,533kbps,74,2,2%,571,198,20,5,5,1,2,0,-0.29700005,168ns,n/a,7,4.48ms,4.5ms,4.41ms,4.29ms,3.97ms
2025-08-03 22:07:21.747785,metric,51,1400,600,0,0,49,1,1,0.132,0,0,1,15usec,49usec,407.16,57Mbps,616kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,15,1.0,27,57Mbps,1387,13,0%,1.23M,68932,0.011000265,34.3,-3.3,1,27,616kbps,79,1,1%,651,10,20,2,1,0,0,0,-0.39600006,177ns,n/a,7,4.49ms,4.5ms,4.29ms,4.05ms,3.93ms
2025-08-03 22:07:22.747839,metric,51,1400,600,0,0,49,0,1,0.125,0,0,1,16usec,48usec,532.16,56Mbps,521kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,15,1.0,27,56Mbps,1346,54,3%,1.36M,68953,-0.40000004,34.4,-3.3,1,27,522kbps,75,0,0%,538,0,20,3,0,0,0,0,-0.39600006,188ns,n/a,7,4.5ms,4.5ms,4.29ms,4.08ms,3.95ms
2025-08-03 22:07:23.747944,metric,51,1400,600,0,0,49,0,1,0.0983,0,0,1,15usec,46usec,599.16,24Mbps,402kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,11,1.0,15,24Mbps,1198,202,14%,1.58M,68800,-1.0289471,34.8,-3.7,1,27,402kbps,59,0,0%,415,0,39,5,1,1,0,0,-0.39600006,202ns,n/a,7,4.49ms,4.5ms,4.26ms,4.03ms,3.93ms
2025-08-03 22:07:24.747917,metric,51,1400,600,0,0,49,0,1,0.085,0,0,1,15usec,42usec,697.5,17Mbps,355kbps,4.5ms,4.5ms,5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,5ms,4ms,,,,4601,1,8,1.0,10,17Mbps,1260,140,10%,1.67M,68834,-1.1499181,34.4,-3.7,1,27,356kbps,51,0,0%,367,0,43,44,1,0,0,0,-0.39600006,206ns,n/a,6,4.47ms,4.5ms,4.23ms,4ms,3.93ms
2025-08-03 22:07:25.747925,metric,51,1400,600,0,0,49,0,1,0.0967,0,0,1,15usec,41usec,776.15,15Mbps,393kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,6,1.0,7,15Mbps,1353,47,3%,1.7M,68911,-0.28792065,34.4,-3.4,1,27,393kbps,58,0,0%,406,0,39,22,9,9,0,0,-0.39600006,219ns,n/a,7,4.49ms,4.5ms,4.26ms,4.01ms,3.94ms
