time,log_type,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr
2025-07-24 13:08:04.655665,ULMeasRept,0,4601,-98,-10.5,22.0
2025-07-24 13:08:05.135438,ULMeasRept,0,4601,-98,-10.5,21.5
2025-07-24 13:08:05.615514,ULMeasRept,0,4601,-98,-10.5,21.0
2025-07-24 13:08:06.095498,ULMeasRept,0,4601,-97,-10.5,22.0
2025-07-24 13:08:06.575490,ULMeasRept,0,4601,-98,-10.5,21.5
2025-07-24 13:08:07.065537,ULMeasRept,0,4601,-98,-10.5,22.0
2025-07-24 13:08:07.545552,ULMeasRept,0,4601,-97,-10.5,22.0
2025-07-24 13:08:08.035505,ULMeasRept,0,4601,-96,-10.5,21.5
2025-07-24 13:08:08.515488,ULMeasRept,0,4601,-98,-10.5,21.0
2025-07-24 13:08:08.980599,ULMeasRept,0,4601,-98,-10.5,21.0
2025-07-24 13:08:09.475512,ULMeasRept,0,4601,-98,-10.5,21.5
2025-07-24 13:08:09.945556,ULMeasRept,0,4601,-98,-10.5,21.5
2025-07-24 13:08:10.425548,ULMeasRept,0,4601,-99,-10.5,21.5
2025-07-24 13:08:10.905570,ULMeasRept,0,4601,-99,-10.5,21.5
2025-07-24 13:08:11.385552,ULMeasRept,0,4601,-99,-10.5,21.5
2025-07-24 13:08:11.875538,ULMeasRept,0,4601,-99,-10.5,21.5
2025-07-24 13:08:12.355539,ULMeasRept,0,4601,-99,-10.5,21.5
2025-07-24 13:08:12.835502,ULMeasRept,0,4601,-99,-10.5,21.5
2025-07-24 13:08:13.315529,ULMeasRept,0,4601,-99,-10.5,21.5
2025-07-24 13:08:13.831583,ULMeasRept,0,4601,-124,-22.0,-8.5
2025-07-24 13:08:14.305542,ULMeasRept,0,4601,-106,-12.0,17.5
2025-07-24 13:08:14.785531,ULMeasRept,0,4601,-100,-10.5,21.0
2025-07-24 13:08:15.275552,ULMeasRept,0,4601,-99,-10.5,21.5
2025-07-24 13:08:15.795565,ULMeasRept,0,4601,-99,-10.5,20.5
2025-07-24 13:08:16.235579,ULMeasRept,0,4601,-99,-11.0,19.5
2025-07-24 13:08:16.725535,ULMeasRept,0,4601,-99,-10.5,21.0
2025-07-24 13:08:17.191558,ULMeasRept,0,4601,-99,-10.5,21.5
2025-07-24 13:08:17.705647,ULMeasRept,0,4601,-99,-10.5,21.5
2025-07-24 13:08:18.151565,ULMeasRept,0,4601,-99,-10.5,21.5
2025-07-24 13:08:18.670533,ULMeasRept,0,4601,-99,-10.5,21.0
2025-07-24 13:08:19.150552,ULMeasRept,0,4601,-99,-10.5,20.0
2025-07-24 13:08:19.605579,ULMeasRept,0,4601,-99,-10.5,20.5
2025-07-24 13:08:20.075525,ULMeasRept,0,4601,-99,-10.5,21.0
2025-07-24 13:08:20.555517,ULMeasRept,0,4601,-99,-10.5,21.5
2025-07-24 13:08:21.040585,ULMeasRept,0,4601,-99,-10.5,21.5
2025-07-24 13:08:21.545551,ULMeasRept,0,4601,-99,-10.5,21.0
2025-07-24 13:08:21.985534,ULMeasRept,0,4601,-99,-10.5,21.5
2025-07-24 13:08:22.505624,ULMeasRept,0,4601,-99,-10.5,21.5
2025-07-24 13:08:23.010571,ULMeasRept,0,4601,-99,-10.5,21.0
2025-07-24 13:08:23.445524,ULMeasRept,0,4601,-99,-10.5,21.0
2025-07-24 13:08:23.925548,ULMeasRept,0,4601,-99,-10.5,21.0
2025-07-24 13:08:24.405569,ULMeasRept,0,4601,-99,-10.5,21.0
