time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ul_olla,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_ul_olla
2025-07-24 04:49:15.355180,metric,51,561,241,0,0,0,0,0,0,0,0,0,1usec,226usec,159.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 04:49:16.355128,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,25usec,244.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 04:49:17.355075,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,340.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 04:49:18.355113,metric,51,1400,600,1,0,0,0,0.0121,0.0217,0,0,1,5usec,43usec,470.16,10kbps,65kbps,4.5ms,5.5ms,4.5ms,0x4601,423.8,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,13,1.0,6,10kbps,17,0,0%,0,119,0.001,26.2,-10.4,1,26,65kbps,11,1,8%,112,0,9,0,0,0,0,0,211ns,n/a,10,4.59ms,5.5ms,4.33ms,n/a,n/a,4.05ms,
2025-07-24 04:49:19.355111,metric,51,1400,600,0,0,0,0,0.00214,0.005,0,0,1,7usec,24usec,583.5,3.0kbps,14kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,13,1.0,26,3.5kbps,2,1,33%,0,6,,32.6,-6.4,1,27,15kbps,3,0,0%,15,1.04k,3,0,0,0,0,0,221ns,n/a,13,4.5ms,4.5ms,4.5ms,n/a,n/a,4ms,-0.099000014
2025-07-24 04:49:20.355147,metric,51,1400,600,0,0,0,1,0.00429,0.103,0,0,1,8usec,35usec,646.3,9.0kbps,970kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,14,1.0,24,9.7kbps,6,0,0%,0,12,-0.0019999999,34.3,-6.5,1,27,970kbps,62,0,0%,1006,2.01k,3,0,0,0,0,0,236ns,n/a,7,4.5ms,4.5ms,4.48ms,4.5ms,4.5ms,4.38ms,-0.099000014
2025-07-24 04:49:21.355128,metric,51,1400,600,0,0,0,2,0.00357,0.157,0,0,1,8usec,25usec,781.15,6.0kbps,1.5Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,14,1.0,24,6.3kbps,4,1,20%,0,10,-0.007,34.3,-6.6,1,27,1.5Mbps,94,0,0%,1568,0,1,0,0,0,0,0,166ns,n/a,13,4.49ms,4.5ms,4.44ms,4.17ms,4.5ms,4ms,-0.099000014
2025-07-24 04:49:22.355130,metric,51,1400,600,0,0,1,0,0.0564,0.035,0,0,1,8usec,33usec,885.4,2.3Mbps,111kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,14,1.0,26,2.3Mbps,78,0,0%,22.5k,2586,6.9849193e-10,33.3,-6.5,1,27,112kbps,21,0,0%,115,745,16,0,0,0,0,0,177ns,n/a,13,4.5ms,4.5ms,4.33ms,4.2ms,4.5ms,4.02ms,-0.099000014
2025-07-24 04:49:23.355118,metric,51,1400,600,0,0,23,0,0.527,0.1,0,0,1,11usec,40usec,970.15,27Mbps,413kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,26,27Mbps,720,11,1%,84.4k,32976,0.0019999854,33.2,-6.4,1,27,413kbps,60,0,0%,425,535,27,0,0,0,0,0,181ns,n/a,11,4.48ms,4.5ms,4.31ms,4.06ms,4.5ms,3.95ms,-0.099000014
2025-07-24 04:49:24.355356,metric,51,1399,599,0,9,47,0,0.961,0.129,0,0,1,13usec,54usec,55.16,52Mbps,511kbps,12ms,11ms,10.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12ms,,,metric,,,,,,,,,,,,,,,,,,12ms,,10.5ms,,,,4601,1,15,1.0,26,52Mbps,1296,42,3%,353k,66231,0.005000243,33.1,-6.4,1,27,512kbps,72,5,6%,563,198,19,4,1,0,5,0,191ns,n/a,11,4.59ms,11ms,4.4ms,4.39ms,12ms,3.99ms,-0.5940001
2025-07-24 04:49:25.355160,metric,51,1400,600,0,0,49,1,1,0.133,0,0,1,13usec,40usec,152.3,58Mbps,572kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,15,1.0,27,58Mbps,1400,0,0%,756k,69156,0.005000243,32.8,-6.4,1,27,572kbps,78,2,2%,636,0,17,0,0,0,0,0,201ns,n/a,11,4.45ms,4.5ms,4.24ms,4.02ms,4.5ms,3.95ms,-0.7920002
2025-07-24 04:49:26.355228,metric,51,1400,600,0,0,49,0,1,0.125,0,0,1,13usec,35usec,197.11,58Mbps,538kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,58Mbps,1398,2,0%,412k,69174,0.009000244,33.1,-6.5,1,27,539kbps,75,0,0%,555,384,17,0,0,0,0,0,211ns,n/a,11,4.45ms,4.5ms,4.21ms,4.01ms,4.5ms,3.95ms,-0.7920002
2025-07-24 04:49:27.355207,metric,51,1400,600,0,0,46,0,0.958,0.108,0,0,1,14usec,206usec,334.7,50Mbps,425kbps,5ms,4.5ms,5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ms,,,metric,,,,,,,,,,,,,,,,,,5ms,,5ms,,,,4601,1,15,1.0,26,50Mbps,1275,66,4%,41.2k,65470,-0.043000817,31.4,-7.9,1,27,425kbps,63,2,3%,453,0,28,6,6,2,2,0,221ns,n/a,11,4.44ms,4.5ms,4.28ms,4.09ms,5ms,3.97ms,-0.99000025
