ID,time,Transfer,Bitrate,Retr,Cwnd
6,2025-07-24 14:29:02.993859,5.46,45.8,0,355.0
6,2025-07-24 14:29:03.993859,5.38,45.1,0,405.0
6,2025-07-24 14:29:04.993859,5.38,45.1,0,405.0
6,2025-07-24 14:29:05.993859,5.25,44.0,0,405.0
6,2025-07-24 14:29:06.993859,5.38,45.1,0,425.0
6,2025-07-24 14:29:07.993859,5.38,45.1,0,498.0
6,2025-07-24 14:29:08.993859,5.38,45.1,0,499.0
6,2025-07-24 14:29:09.993859,1.62,13.6,0,558.0
6,2025-07-24 14:29:10.993859,256.0,2.1,0,567.0
6,2025-07-24 14:29:11.993859,256.0,2.1,0,575.0
6,2025-07-24 14:29:12.993859,384.0,3.15,0,636.0
6,2025-07-24 14:29:13.993859,0.0,0.0,0,653.0
6,2025-07-24 14:29:14.993859,512.0,4.19,201,205.0
6,2025-07-24 14:29:15.993859,0.0,0.0,0,653.0
6,2025-07-24 14:29:16.993859,640.0,5.24,0,654.0
6,2025-07-24 14:29:17.993859,256.0,2.1,0,657.0
6,2025-07-24 14:29:18.993859,256.0,2.1,0,661.0
6,2025-07-24 14:29:19.993859,256.0,2.1,0,673.0
6,2025-07-24 14:29:20.993859,384.0,3.15,0,703.0
6,2025-07-24 14:29:21.993859,768.0,6.29,0,756.0
6,2025-07-24 14:29:22.993859,256.0,2.1,0,782.0
6,2025-07-24 14:29:23.993859,256.0,2.1,0,827.0
6,2025-07-24 14:29:24.993859,384.0,3.15,0,894.0
6,2025-07-24 14:29:25.993859,384.0,3.15,0,994.0
6,2025-07-24 14:29:26.993859,128.0,1.05,0,1012.0
6,2025-07-24 14:29:27.993859,1.25,10.5,5,1.15
6,2025-07-24 14:29:28.993859,1.0,8.39,0,1.15
6,2025-07-24 14:29:29.993859,1.12,9.44,0,1.15
6,2025-07-24 14:29:30.993859,1.62,13.6,0,1.16
6,2025-07-24 14:29:31.993859,2.25,18.9,0,1.17
6,2025-07-24 14:29:32.993859,2.88,24.1,0,1.2
6,2025-07-24 14:29:33.993859,5.0,43.0,0,1.25
