time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ul_olla,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_ul_olla
2025-07-24 04:17:57.158597,metric,51,575,247,0,0,0,0,0,0,0,0,0,1usec,226usec,158.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 04:17:58.158642,metric,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,19usec,211.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 04:17:59.158760,metric,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,18usec,384.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 04:18:00.158668,metric,51,1400,600,1,0,0,0,0.0129,0.02,0,0,1,5usec,36usec,428.0,11kbps,63kbps,4.5ms,5.5ms,4.5ms,0x4601,423.8,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,13,1.0,6,11kbps,17,1,5%,0,123,0.001,25.5,-9.9,1,26,64kbps,10,1,9%,112,0,8,1,0,0,0,0,207ns,n/a,8,4.6ms,5.5ms,4.41ms,n/a,n/a,4.08ms,
2025-07-24 04:18:01.158768,metric,51,1400,600,0,0,0,0,0.00286,0.00833,0,0,1,8usec,31usec,549.3,6.0kbps,28kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,13,1.0,25,6.9kbps,4,0,0%,0,8,0.0050000004,33.3,-5.0,1,27,28kbps,5,0,0%,29,0,4,0,0,0,0,0,237ns,n/a,9,4.5ms,4.5ms,4.4ms,n/a,n/a,4.14ms,-0.099000014
2025-07-24 04:18:02.158675,metric,51,1400,600,0,0,0,1,0.00357,0.103,0,0,1,8usec,32usec,642.0,9.0kbps,966kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,9.3kbps,5,0,0%,0,10,0.0050000004,34.6,-5.3,1,27,967kbps,62,0,0%,1002,2.01k,4,0,0,0,0,0,176ns,n/a,6,4.48ms,4.5ms,4.42ms,4.5ms,4.5ms,4.08ms,-0.099000014
2025-07-24 04:18:03.158785,metric,51,1400,600,0,0,0,2,0.00571,0.152,0,0,1,8usec,32usec,719.6,11kbps,1.5Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,13,1.0,24,12kbps,7,1,12%,0,16,0.0010000003,34.6,-5.3,1,27,1.5Mbps,91,0,0%,1539,0,0,0,0,0,0,0,166ns,n/a,6,4.49ms,4.5ms,4.47ms,4.43ms,4.5ms,4ms,-0.099000014
2025-07-24 04:18:04.158751,metric,51,1400,600,0,0,3,0,0.0914,0.0383,0,0,1,9usec,40usec,897.5,3.9Mbps,143kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,25,3.9Mbps,125,2,1%,22.5k,4812,0.06999997,34.2,-5.2,1,27,143kbps,23,0,0%,147,2.01k,17,0,0,0,0,0,187ns,n/a,11,4.5ms,4.5ms,4.33ms,4ms,4ms,3.99ms,-0.099000014
2025-07-24 04:18:05.158750,metric,51,1400,600,0,0,38,0,0.814,0.112,0,0,1,12usec,38usec,936.15,44Mbps,461kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,26,44Mbps,1099,32,2%,171k,53794,0.034000143,33.4,-5.1,1,27,461kbps,67,0,0%,476,745,27,0,0,0,0,0,199ns,n/a,10,4.47ms,4.5ms,4.25ms,4.02ms,4.5ms,3.95ms,-0.099000014
2025-07-24 04:18:06.158797,metric,51,1400,600,0,0,49,0,1,0.107,0,0,1,13usec,37usec,66.14,57Mbps,434kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,57Mbps,1371,29,2%,486k,69163,0.013000132,32.6,-5.7,1,27,434kbps,63,1,1%,455,384,26,0,1,0,0,0,206ns,n/a,10,4.45ms,4.5ms,4.2ms,4.01ms,4.5ms,3.94ms,-0.19800003
