time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-07-24 10:01:44.018698,metric,51,561,241,0,0,0,0,0,0,0,0,0,1usec,226usec,159.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 10:01:45.018562,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,282.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 10:01:46.018612,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,306.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 10:01:47.018582,metric,51,1400,600,1,0,0,0,0.00357,0.00667,0,0,1,4usec,31usec,492.0,4.0kbps,12kbps,4.5ms,4.5ms,4.5ms,0x4601,488.8,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,8,4.3kbps,5,0,0%,0,34,0,29.1,-6.1,1,22,13kbps,3,0,0%,36,1.04k,3,0,0,0,0,0,0,174ns,n/a,15,4.5ms,4.5ms,4.33ms,n/a,n/a,4.14ms
2025-07-24 10:01:48.018616,metric,51,1400,600,0,0,0,0,0.00857,0.0167,0,0,1,6usec,44usec,540.0,8.0kbps,61kbps,4.5ms,5.5ms,4.5ms,0x4601,535.18,ue_reconf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,13,1.0,8,8.6kbps,12,0,0%,0,86,0.003,31.5,-6.9,1,28,62kbps,10,0,0%,77,0,8,0,0,0,0,0,0,189ns,n/a,13,4.6ms,5.5ms,4.45ms,n/a,n/a,4.19ms
2025-07-24 10:01:49.018670,metric,51,1400,600,0,0,0,1,0.00429,0.0883,0,0,1,8usec,30usec,606.6,8.0kbps,830kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,14,1.0,25,8.3kbps,5,1,16%,0,12,-0.0019999999,33.9,-7.3,1,27,831kbps,53,0,0%,861,2.01k,3,0,0,0,0,0,0,171ns,n/a,8,4.5ms,4.5ms,4.45ms,4.5ms,4.5ms,4ms
2025-07-24 10:01:50.018600,metric,51,1400,600,0,0,0,2,0.00214,0.165,0,0,1,8usec,28usec,757.1,3.0kbps,1.6Mbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,4601,1,14,1.0,25,3.3kbps,2,1,33%,0,6,-0.009000001,34.1,-7.3,1,27,1.6Mbps,99,0,0%,1675,0,0,0,0,0,0,0,0,172ns,n/a,8,4.49ms,4.5ms,4.45ms,4.33ms,4.5ms,n/a
2025-07-24 10:01:51.018577,metric,51,1400,600,0,0,1,0,0.0379,0.03,0,0,1,8usec,35usec,869.0,1.3Mbps,104kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,13,1.0,25,1.3Mbps,52,0,0%,0,1605,0.023000004,33.1,-7.2,1,27,105kbps,18,0,0%,108,0,15,0,0,0,0,0,0,207ns,n/a,11,4.5ms,4.5ms,4.42ms,4ms,4ms,4.04ms
2025-07-24 10:01:52.018575,metric,51,1400,600,0,0,30,0,0.655,0.113,0,0,1,12usec,44usec,942.4,36Mbps,499kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,36Mbps,902,7,0%,179k,42516,0.008999993,32.8,-7.1,1,27,500kbps,68,0,0%,515,20,24,0,0,0,0,0,0,211ns,n/a,12,4.48ms,4.5ms,4.3ms,4.05ms,4.5ms,3.95ms
2025-07-24 10:01:53.018696,metric,51,1400,600,0,0,49,0,0.999,0.127,0,0,1,13usec,34usec,68.5,58Mbps,547kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,15,1.0,27,58Mbps,1399,0,0%,315k,69084,0.008999993,32.5,-7.1,1,27,548kbps,76,0,0%,565,1.45k,20,0,0,0,0,0,0,217ns,n/a,12,4.45ms,4.5ms,4.26ms,4.03ms,4.5ms,3.95ms
